Sample,Group,Zone,Zone_Start,Zone_End,Mean_Depth,Min_Depth,Max_Depth,Positions
RNP_Cas1_S65_L002,RNP_Cas,upstream_500bp,15849094,15849593,50.52,43,66,500
RNP_Cas1_S65_L002,RNP_Cas,upstream_100bp,15849594,15849693,49.77,44,53,100
RNP_Cas1_S65_L002,RNP_Cas,sgRNA_site,15849694,15849713,51.70,51,53,20
RNP_Cas1_S65_L002,RNP_Cas,downstream_100bp,15849714,15849813,52.22,42,60,100
RNP_Cas1_S65_L002,RNP_Cas,downstream_500bp,15849814,15850313,50.89,29,67,500
RNP_Cas2_S66_L002,RNP_Cas,upstream_500bp,15849094,15849593,53.76,44,63,500
RNP_Cas2_S66_L002,RNP_Cas,upstream_100bp,15849594,15849693,57.92,54,63,100
RNP_Cas2_S66_L002,RNP_Cas,sgRNA_site,15849694,15849713,54.55,52,56,20
RNP_Cas2_S66_L002,RNP_Cas,downstream_100bp,15849714,15849813,52.01,48,57,100
RNP_Cas2_S66_L002,RNP_Cas,downstream_500bp,15849814,15850313,54.77,45,63,500
RNP_Cas3_S67_L002,RNP_Cas,upstream_500bp,15849094,15849593,64.51,53,78,500
RNP_Cas3_S67_L002,RNP_Cas,upstream_100bp,15849594,15849693,70.49,63,77,100
RNP_Cas3_S67_L002,RNP_Cas,sgRNA_site,15849694,15849713,69.25,66,72,20
RNP_Cas3_S67_L002,RNP_Cas,downstream_100bp,15849714,15849813,63.20,58,69,100
RNP_Cas3_S67_L002,RNP_Cas,downstream_500bp,15849814,15850313,66.63,48,78,500
RNP_Cas4_S68_L002,RNP_Cas,upstream_500bp,15849094,15849593,49.36,36,67,500
RNP_Cas4_S68_L002,RNP_Cas,upstream_100bp,15849594,15849693,54.91,53,57,100
RNP_Cas4_S68_L002,RNP_Cas,sgRNA_site,15849694,15849713,54.50,52,58,20
RNP_Cas4_S68_L002,RNP_Cas,downstream_100bp,15849714,15849813,64.47,58,69,100
RNP_Cas4_S68_L002,RNP_Cas,downstream_500bp,15849814,15850313,59.15,48,76,500
