Sample,Group,Zone,Region,NumReads,CovBases,Coverage_Pct,Mean_Depth,Mean_BaseQ,Mean_MapQ
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,upstream_500bp,NC_088832.1:15849094-15849593,171,500,100,40.784,39.2,60
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,downstream_100bp,NC_088832.1:15849714-15849813,81,100,100,46.17,38.8,60
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,downstream_500bp,NC_088832.1:15849814-15850313,222,500,100,51.998,38.9,60
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,full_region,NC_088832.1:15849094-15850313,489,1220,100,54.3369,39.2,60
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,sgRNA_site,NC_088832.1:15849694-15849713,62,20,100,58.65,39.2,60
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,upstream_100bp,NC_088832.1:15849594-15849693,98,100,100,59.1,39.1,60
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,upstream_500bp,NC_088832.1:15849094-15849593,198,500,100,45.778,39.3,60
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,downstream_100bp,NC_088832.1:15849714-15849813,98,100,100,54.57,39.1,60
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,downstream_500bp,NC_088832.1:15849814-15850313,257,500,100,61.724,39.1,60
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,full_region,NC_088832.1:15849094-15850313,384,1220,100,42.8893,39.2,60
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,sgRNA_site,NC_088832.1:15849694-15849713,57,20,100,49.95,39.1,60
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,upstream_100bp,NC_088832.1:15849594-15849693,73,100,100,47.3,39,60
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,upstream_500bp,NC_088832.1:15849094-15849593,171,500,100,37.326,39.1,60
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,downstream_100bp,NC_088832.1:15849714-15849813,88,100,100,49.13,39.1,60
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,downstream_500bp,NC_088832.1:15849814-15850313,195,500,100,46.04,39.3,60
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,full_region,NC_088832.1:15849094-15850313,373,1220,100,40.3697,39.1,60
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,sgRNA_site,NC_088832.1:15849694-15849713,47,20,100,43,39.3,60
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,upstream_100bp,NC_088832.1:15849594-15849693,72,100,100,45.19,38.8,60
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,upstream_500bp,NC_088832.1:15849094-15849593,185,500,100,41.398,39.2,60
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,downstream_100bp,NC_088832.1:15849714-15849813,68,100,100,42.73,39.1,60
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,downstream_500bp,NC_088832.1:15849814-15850313,167,500,100,37.8,39.2,60
