Group,N,Mean_Depth_mean,Mean_Depth_std,Total_Reads_mean,Coverage_Pct_mean,Mean_MapQ_mean
Control,3,49.07,0.53,453.33,100.0,60.0
Only_MNP,4,44.57,4.31,404.75,100.0,60.0
Plasmid_Ko,4,45.7,6.09,414.0,100.0,60.0
RNP_Cas,4,56.54,6.49,523.75,100.0,59.98
