## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/mapping/trimmomatic/RNP_Cas2_S66_L002.sorted.bam --OUTPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/markdup/RNP_Cas2_S66_L002.markdup.bam --METRICS_FILE /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/metrics/RNP_Cas2_S66_L002_dup_metrics.txt --REMOVE_DUPLICATES false --TMP_DIR /tmp/da.martinez33_439671 --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:49:48 COT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	2022905	139105181	5468588	6048125	1141723	8616686	1454550	0.065571	1276475649

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.010002	124462919	0	125794890
2.0	1.915723	5577884	1414507	4342028
3.0	2.72793	224614	19119	132895
4.0	3.456278	57855	525	55046
5.0	4.109426	30497	39	29995
6.0	4.695138	19257	7	19057
7.0	5.220376	13535	1	13313
8.0	5.691384	10179	0	10156
9.0	6.113761	7972	1	7895
10.0	6.492529	6645	0	6619
11.0	6.83219	5836	1	5801
12.0	7.136782	5098	0	5069
13.0	7.409925	4539	0	4529
14.0	7.654866	4173	0	4210
15.0	7.874518	3919	0	3884
16.0	8.071491	3621	1	3635
17.0	8.248127	3314	0	3313
18.0	8.406526	3029	0	3022
19.0	8.548571	2858	0	2840
20.0	8.675949	2641	0	2655
21.0	8.790176	2455	0	2437
22.0	8.892609	2291	0	2327
23.0	8.984467	2205	0	2151
24.0	9.06684	2051	0	2022
25.0	9.140708	1868	0	1890
26.0	9.20695	1778	0	1716
27.0	9.266352	1670	0	1708
28.0	9.319621	1532	0	1496
29.0	9.36739	1445	0	1448
30.0	9.410227	1352	0	1334
31.0	9.448642	1229	0	1181
32.0	9.48309	1125	0	1134
33.0	9.513981	1041	0	1023
34.0	9.541683	1014	0	1032
35.0	9.566524	968	0	928
36.0	9.588801	941	0	970
37.0	9.608778	829	0	769
38.0	9.626692	726	0	727
39.0	9.642757	724	0	692
40.0	9.657163	666	0	703
41.0	9.670082	645	0	639
42.0	9.681666	620	0	589
43.0	9.692055	521	0	502
44.0	9.701371	493	0	482
45.0	9.709725	472	0	454
46.0	9.717217	418	0	431
47.0	9.723935	405	0	399
48.0	9.72996	382	0	396
49.0	9.735362	363	0	338
50.0	9.740207	384	0	384
51.0	9.744551	350	0	315
52.0	9.748447	260	0	257
53.0	9.751941	270	0	258
54.0	9.755074	248	0	237
55.0	9.757883	238	0	247
56.0	9.760403	213	0	200
57.0	9.762662	186	0	175
58.0	9.764688	202	0	208
59.0	9.766505	188	0	175
60.0	9.768134	159	0	184
61.0	9.769595	178	0	168
62.0	9.770905	153	0	144
63.0	9.77208	150	0	148
64.0	9.773134	132	0	125
65.0	9.774079	142	0	154
66.0	9.774926	142	0	118
67.0	9.775686	111	0	117
68.0	9.776367	126	0	104
69.0	9.776978	90	0	93
70.0	9.777526	104	0	113
71.0	9.778017	92	0	97
72.0	9.778458	102	0	91
73.0	9.778853	85	0	78
74.0	9.779208	68	0	69
75.0	9.779525	70	0	70
76.0	9.77981	75	0	63
77.0	9.780066	63	0	69
78.0	9.780295	74	0	81
79.0	9.7805	69	0	56
80.0	9.780685	54	0	54
81.0	9.78085	53	0	56
82.0	9.780998	48	0	47
83.0	9.781131	48	0	51
