## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/mapping/trimmomatic/Plasmid_Ko_P3_S63_L002.sorted.bam --OUTPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/markdup/Plasmid_Ko_P3_S63_L002.markdup.bam --METRICS_FILE /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/metrics/Plasmid_Ko_P3_S63_L002_dup_metrics.txt --REMOVE_DUPLICATES false --TMP_DIR /tmp/da.martinez33_439505 --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:45:37 COT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1611651	106484035	4170809	4835019	881541	7130403	1524604	0.070567	947289853

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.013725	94019866	0	95403516
2.0	1.919669	4949110	1471718	3681265
3.0	2.729292	212415	25298	101845
4.0	3.452834	44355	683	40716
5.0	4.099448	23065	44	22568
6.0	4.677314	14898	9	14669
7.0	5.19374	10772	2	10665
8.0	5.655259	8583	0	8483
9.0	6.067708	7025	1	7020
10.0	6.436305	6061	0	6049
11.0	6.765713	5224	0	5246
12.0	7.060097	4794	0	4773
13.0	7.323182	4195	0	4168
14.0	7.558295	3748	0	3721
15.0	7.768411	3472	0	3468
16.0	7.956187	3072	0	3037
17.0	8.123998	2730	0	2717
18.0	8.273968	2482	0	2483
19.0	8.407992	2390	0	2387
20.0	8.527767	2078	0	2017
21.0	8.634807	1942	0	1931
22.0	8.730467	1769	0	1787
23.0	8.815956	1734	0	1664
24.0	8.892355	1469	0	1438
25.0	8.960632	1333	0	1327
26.0	9.021649	1264	0	1219
27.0	9.076179	1118	0	1158
28.0	9.124911	1096	0	1016
29.0	9.168462	979	0	1004
30.0	9.207383	867	0	844
31.0	9.242165	831	0	784
32.0	9.273249	655	0	659
33.0	9.301029	653	0	679
34.0	9.325855	640	0	580
35.0	9.348041	556	0	534
36.0	9.367868	528	0	507
37.0	9.385588	442	0	436
38.0	9.401423	384	0	383
39.0	9.415575	373	0	374
40.0	9.428222	400	0	374
41.0	9.439524	322	0	319
42.0	9.449625	334	0	307
43.0	9.458652	253	0	236
44.0	9.466719	228	0	247
45.0	9.473929	233	0	202
46.0	9.480371	198	0	193
47.0	9.486129	183	0	197
48.0	9.491275	185	0	188
49.0	9.495874	178	0	167
50.0	9.499983	152	0	134
51.0	9.503656	140	0	140
52.0	9.506938	148	0	137
53.0	9.509871	115	0	99
54.0	9.512493	107	0	120
55.0	9.514835	99	0	99
56.0	9.516929	99	0	97
57.0	9.5188	93	0	90
58.0	9.520472	77	0	66
59.0	9.521966	82	0	77
60.0	9.523302	59	0	67
61.0	9.524495	72	0	60
62.0	9.525562	60	0	65
63.0	9.526515	55	0	55
64.0	9.527367	55	0	47
65.0	9.528128	43	0	44
66.0	9.528808	40	0	28
67.0	9.529416	37	0	46
68.0	9.52996	42	0	41
69.0	9.530445	35	0	30
70.0	9.530879	31	0	34
71.0	9.531267	24	0	28
72.0	9.531614	45	0	51
73.0	9.531923	31	0	25
74.0	9.5322	28	0	22
75.0	9.532447	19	0	17
76.0	9.532669	23	0	19
77.0	9.532866	19	0	24
78.0	9.533043	24	0	19
79.0	9.5332	16	0	13
80.0	9.533341	13	0	19
81.0	9.533467	18	0	11
82.0	9.53358	9	0	10
83.0	9.533681	12	0	12
84.0	9.533771	12	0	14
