## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/mapping/trimmomatic/RNP_Cas3_S67_L002.sorted.bam --OUTPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/markdup/RNP_Cas3_S67_L002.markdup.bam --METRICS_FILE /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/metrics/RNP_Cas3_S67_L002_dup_metrics.txt --REMOVE_DUPLICATES false --TMP_DIR /tmp/da.martinez33_439672 --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:52:29 COT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	2335933	171623110	6614190	7247405	1372610	11411443	1841353	0.070014	1448896144

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.010216	151835486	0	153503693
2.0	1.907586	7812967	1787704	6285779
3.0	2.704716	306502	25465	171561
4.0	3.412802	71314	737	67289
5.0	4.041793	36860	81	36060
6.0	4.600522	22367	16	22018
7.0	5.096838	15014	8	14885
8.0	5.537714	11092	1	10937
9.0	5.929341	8412	2	8347
10.0	6.277223	6949	1	6941
11.0	6.586244	5938	0	5888
12.0	6.860746	5151	0	5134
13.0	7.104585	4685	0	4673
14.0	7.321186	4257	0	4284
15.0	7.513592	3878	0	3867
16.0	7.684505	3591	0	3587
17.0	7.836326	3344	0	3333
18.0	7.971188	3109	0	3161
19.0	8.090986	3052	0	3003
20.0	8.197401	2783	0	2798
21.0	8.29193	2720	0	2741
22.0	8.375899	2476	0	2449
23.0	8.450488	2395	0	2362
24.0	8.516746	2219	0	2213
25.0	8.575602	2141	1	2103
26.0	8.627884	1881	0	1917
27.0	8.674325	1850	0	1831
28.0	8.715579	1683	0	1698
29.0	8.752225	1758	0	1748
30.0	8.784777	1510	0	1510
31.0	8.813693	1440	0	1390
32.0	8.839378	1393	0	1431
33.0	8.862195	1285	0	1229
34.0	8.882463	1245	0	1267
35.0	8.900467	1123	0	1045
36.0	8.91646	1020	0	1033
37.0	8.930666	987	0	961
38.0	8.943285	893	0	918
39.0	8.954495	920	0	906
40.0	8.964453	888	0	874
41.0	8.973298	794	0	790
42.0	8.981155	788	0	759
43.0	8.988135	688	0	679
44.0	8.994334	579	0	581
45.0	8.999842	614	0	596
46.0	9.004734	583	0	579
47.0	9.009079	531	0	550
48.0	9.01294	546	0	517
49.0	9.016369	452	0	451
50.0	9.019415	460	0	443
51.0	9.02212	401	0	410
52.0	9.024524	432	0	420
53.0	9.026659	383	0	346
54.0	9.028555	347	0	335
55.0	9.03024	289	0	295
56.0	9.031737	299	0	303
57.0	9.033066	289	0	270
58.0	9.034247	248	0	261
59.0	9.035296	223	0	205
60.0	9.036227	243	0	230
61.0	9.037055	214	0	200
62.0	9.03779	198	0	214
63.0	9.038443	211	0	194
64.0	9.039024	160	0	168
65.0	9.039539	182	0	166
66.0	9.039997	161	0	152
67.0	9.040403	123	0	125
68.0	9.040764	129	0	132
69.0	9.041085	133	0	126
70.0	9.04137	138	0	127
71.0	9.041624	115	0	127
72.0	9.041848	122	0	107
73.0	9.042048	116	0	118
74.0	9.042226	112	0	108
75.0	9.042383	92	0	86
76.0	9.042523	87	0	80
77.0	9.042648	80	0	86
78.0	9.042758	89	0	82
79.0	9.042856	73	0	84
80.0	9.042944	71	0	62
81.0	9.043021	71	0	72
82.0	9.04309	68	0	67
83.0	9.043151	63	0	60
