## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/mapping/trimmomatic/Plasmid_Ko_P4_S64_L002.sorted.bam --OUTPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/markdup/Plasmid_Ko_P4_S64_L002.markdup.bam --METRICS_FILE /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/metrics/Plasmid_Ko_P4_S64_L002_dup_metrics.txt --REMOVE_DUPLICATES false --TMP_DIR /tmp/da.martinez33_439570 --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:46:54 COT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1754584	115791315	4524616	5349584	971877	7414516	1455754	0.067717	1058471772

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.012049	102816140	0	104141651
2.0	1.919225	5170206	1411447	3951246
3.0	2.732397	212154	21292	110469
4.0	3.461305	46927	527	43639
5.0	4.114681	23962	29	23412
6.0	4.700352	15196	2	14999
7.0	5.225334	10862	1	10729
8.0	5.695915	8490	0	8387
9.0	6.117733	6931	0	6930
10.0	6.49584	6121	0	6125
11.0	6.834767	5310	1	5265
12.0	7.138573	4606	0	4613
13.0	7.410897	4253	0	4293
14.0	7.655002	3839	0	3799
15.0	7.873813	3572	0	3562
16.0	8.069949	3303	0	3274
17.0	8.245761	2937	0	2959
18.0	8.403355	2650	0	2601
19.0	8.544618	2516	0	2514
20.0	8.671243	2190	0	2192
21.0	8.784747	2100	0	2057
22.0	8.886489	1916	0	1921
23.0	8.977688	1819	0	1706
24.0	9.059437	1499	0	1553
25.0	9.132715	1440	0	1402
26.0	9.198399	1361	0	1333
27.0	9.257277	1237	0	1230
28.0	9.310054	1144	0	1096
29.0	9.357362	994	0	1013
30.0	9.399767	916	0	904
31.0	9.437779	866	0	837
32.0	9.471852	781	0	764
33.0	9.502393	714	0	708
34.0	9.52977	698	0	676
35.0	9.55431	608	0	609
36.0	9.576308	551	0	543
37.0	9.596025	515	0	472
38.0	9.6137	447	0	424
39.0	9.629543	387	0	412
40.0	9.643744	405	0	365
41.0	9.656474	355	0	387
42.0	9.667885	330	0	302
43.0	9.678113	286	0	271
44.0	9.687281	261	0	273
45.0	9.695499	247	0	229
46.0	9.702866	217	0	213
47.0	9.709469	205	0	191
48.0	9.715388	182	0	175
49.0	9.720694	175	0	177
50.0	9.72545	173	0	151
51.0	9.729713	143	0	144
52.0	9.733534	111	0	109
53.0	9.73696	93	0	86
54.0	9.74003	96	0	106
55.0	9.742782	108	0	102
56.0	9.745249	106	0	96
57.0	9.747461	81	0	80
58.0	9.749443	91	0	74
59.0	9.75122	56	0	58
60.0	9.752813	66	0	73
61.0	9.75424	68	0	65
62.0	9.75552	45	0	47
63.0	9.756667	49	0	45
64.0	9.757695	47	0	43
65.0	9.758617	45	0	41
66.0	9.759443	28	0	37
67.0	9.760184	41	0	38
68.0	9.760848	30	0	22
69.0	9.761443	42	0	47
70.0	9.761976	37	0	32
71.0	9.762454	30	0	30
72.0	9.762883	25	0	27
73.0	9.763267	27	0	27
74.0	9.763611	36	0	31
75.0	9.76392	20	0	14
76.0	9.764197	22	0	24
77.0	9.764445	12	0	15
78.0	9.764667	17	0	14
79.0	9.764866	17	0	13
80.0	9.765045	13	0	13
81.0	9.765205	14	0	12
82.0	9.765349	10	0	9
83.0	9.765477	9	0	10
84.0	9.765593	12	0	11
85.0	9.765696	7	0	7
86.0	9.765789	6	0	10
87.0	9.765872	9	0	9
88.0	9.765946	7	0	4
89.0	9.766013	12	0	11
90.0	9.766073	9	0	5
91.0	9.766126	6	0	6
92.0	9.766174	4	0	5
93.0	9.766217	8	0	6
94.0	9.766256	4	0	4
95.0	9.766291	2	0	3
96.0	9.766322	3	0	4
97.0	9.766349	4	0	3
98.0	9.766374	5	0	3
99.0	9.766397	2	0	4
100.0	9.766417	3	0	2
101.0	0	4	0	6
102.0	0	2	0	3
103.0	0	2	0	2
104.0	0	3	0	4
105.0	0	4	0	4
106.0	0	7	0	3
107.0	0	1	0	1
108.0	0	1	0	2
109.0	0	3	0	3
110.0	0	3	0	1
111.0	0	1	0	0
112.0	0	1	0	1
113.0	0	3	0	3
114.0	0	1	0	1
117.0	0	0	0	1
118.0	0	2	0	3
119.0	0	2	0	0
121.0	0	1	0	2
123.0	0	1	0	0
125.0	0	1	0	1
132.0	0	1	0	2
134.0	0	2	0	1
137.0	0	0	0	1
138.0	0	1	0	0
151.0	0	0	0	1
155.0	0	1	0	0
157.0	0	0	0	1
159.0	0	1	0	0
