## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/mapping/trimmomatic/Only_MNP_C4_S60_L002.sorted.bam --OUTPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/markdup/Only_MNP_C4_S60_L002.markdup.bam --METRICS_FILE /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/metrics/Only_MNP_C4_S60_L002_dup_metrics.txt --REMOVE_DUPLICATES false --TMP_DIR /tmp/da.martinez33_439502 --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:16:59 COT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1692699	116696112	4595994	5241749	946620	6738774	1071798	0.061357	1140686889

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.008804	104964798	0	105949310
2.0	1.919507	4641635	1046941	3728241
3.0	2.741649	179188	12018	111151
4.0	3.483843	45822	242	43863
5.0	4.153863	23373	10	23042
6.0	4.758727	14624	2	14431
7.0	5.304771	10297	1	10191
8.0	5.797716	8027	0	8022
9.0	6.242724	6694	0	6625
10.0	6.644458	5899	0	5937
11.0	7.007126	5197	2	5168
12.0	7.334526	4581	0	4592
13.0	7.630088	4196	0	4150
14.0	7.896909	3753	0	3749
15.0	8.137783	3434	0	3449
16.0	8.355233	3232	0	3192
17.0	8.551537	2892	0	2944
18.0	8.728752	2638	0	2569
19.0	8.888734	2332	0	2321
20.0	9.033158	2159	1	2131
21.0	9.163538	2043	0	2042
22.0	9.28124	1702	0	1692
23.0	9.387495	1653	0	1623
24.0	9.483418	1535	0	1502
25.0	9.570013	1310	0	1326
26.0	9.648186	1277	0	1272
27.0	9.718758	1175	0	1141
28.0	9.782468	1032	0	1011
29.0	9.839982	965	0	959
30.0	9.891902	846	0	846
31.0	9.938774	786	0	780
32.0	9.981088	681	0	651
33.0	10.019287	650	0	640
34.0	10.053772	587	0	592
35.0	10.084903	559	0	549
36.0	10.113007	508	0	490
37.0	10.138378	464	0	470
38.0	10.161281	447	0	426
39.0	10.181958	356	0	351
40.0	10.200623	335	0	330
41.0	10.217474	278	0	265
42.0	10.232686	279	0	277
43.0	10.246419	265	0	256
44.0	10.258816	221	0	224
45.0	10.270007	218	0	211
46.0	10.280111	196	0	204
47.0	10.289232	194	0	175
48.0	10.297466	162	0	164
49.0	10.304899	154	0	150
50.0	10.311609	135	0	124
51.0	10.317667	108	0	128
52.0	10.323136	123	0	104
53.0	10.328073	110	0	108
54.0	10.33253	110	0	102
55.0	10.336553	93	0	93
56.0	10.340185	56	0	60
57.0	10.343464	71	0	60
58.0	10.346424	71	0	79
59.0	10.349097	64	0	61
60.0	10.351509	61	0	59
61.0	10.353687	51	0	46
62.0	10.355653	46	0	46
63.0	10.357428	43	0	41
64.0	10.35903	42	0	39
65.0	10.360476	44	0	37
66.0	10.361782	28	0	32
67.0	10.362961	34	0	34
68.0	10.364025	23	0	28
69.0	10.364986	32	0	30
70.0	10.365853	21	0	13
71.0	10.366636	17	0	19
72.0	10.367343	12	0	19
73.0	10.367981	22	0	14
74.0	10.368557	10	0	13
75.0	10.369077	17	0	20
76.0	10.369546	15	0	18
77.0	10.36997	22	0	10
78.0	10.370353	13	0	15
79.0	10.370698	15	0	14
80.0	10.37101	13	0	15
81.0	10.371291	8	0	12
82.0	10.371545	16	0	10
83.0	10.371775	6	0	4
84.0	10.371982	6	0	9
85.0	10.372169	6	0	5
86.0	10.372338	9	0	8
87.0	10.37249	10	0	9
88.0	10.372627	4	0	4
89.0	10.372752	3	0	9
90.0	10.372864	10	0	5
91.0	10.372965	7	0	6
92.0	10.373056	2	0	1
93.0	10.373139	3	0	3
94.0	10.373213	3	0	3
95.0	10.37328	5	0	4
96.0	10.373341	2	0	3
97.0	10.373396	2	0	4
98.0	10.373445	5	0	3
99.0	10.37349	5	0	4
100.0	10.37353	1	0	2
101.0	0	2	0	0
103.0	0	2	0	4
104.0	0	2	0	2
105.0	0	1	0	0
106.0	0	2	0	1
109.0	0	0	0	1
110.0	0	2	0	1
112.0	0	1	0	1
113.0	0	1	0	1
117.0	0	1	0	1
118.0	0	1	0	1
119.0	0	0	0	1
120.0	0	1	0	0
123.0	0	1	0	1
125.0	0	1	0	1
126.0	0	1	0	1
127.0	0	2	0	3
128.0	0	1	0	1
132.0	0	1	0	0
133.0	0	0	0	1
137.0	0	1	0	0
138.0	0	2	0	3
139.0	0	1	0	0
143.0	0	0	0	1
145.0	0	1	0	0
148.0	0	1	0	1
155.0	0	1	0	1
156.0	0	0	0	1
157.0	0	1	0	0
163.0	0	0	0	1
164.0	0	1	0	0
173.0	0	1	0	1
175.0	0	0	0	1
176.0	0	1	0	0
216.0	0	1	0	1
241.0	0	1	0	1
293.0	0	1	0	1
348.0	0	1	0	1
361.0	0	1	0	1
474.0	0	0	0	1
475.0	0	1	0	0
491.0	0	1	0	1
736.0	0	0	0	1
737.0	0	1	0	0
777.0	0	0	0	1
778.0	0	2	0	1
843.0	0	1	0	1
1053.0	0	1	0	1
1776.0	0	0	0	1
1779.0	0	1	0	0
2433.0	0	1	0	1
3528.0	0	0	0	1
3531.0	0	1	0	0
4851.0	0	0	0	1
4857.0	0	1	0	0
4955.0	0	0	0	1
4965.0	0	1	0	0
5273.0	0	0	0	1
5278.0	0	1	0	0
6984.0	0	0	0	1
6994.0	0	1	0	0
10610.0	0	0	0	1
10629.0	0	1	0	0

