## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/mapping/trimmomatic/Plasmid_Ko_P2_S62_L002.sorted.bam --OUTPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/markdup/Plasmid_Ko_P2_S62_L002.markdup.bam --METRICS_FILE /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/metrics/Plasmid_Ko_P2_S62_L002_dup_metrics.txt --REMOVE_DUPLICATES false --TMP_DIR /tmp/da.martinez33_439504 --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:44:11 COT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1824007	118919465	4701298	5240477	1022741	6881690	1184089	0.061695	1176873341

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.009558	107103750	0	108195344
2.0	1.922087	4565524	1154654	3547720
3.0	2.746914	183734	14210	113381
4.0	3.492468	48081	297	45877
5.0	4.166367	25407	25	24997
6.0	4.775497	15927	0	15737
7.0	5.326085	11111	1	11008
8.0	5.823756	8571	1	8565
9.0	6.273596	7139	0	7093
10.0	6.680202	6121	0	6091
11.0	7.047729	5202	0	5233
12.0	7.379934	4790	1	4783
13.0	7.680211	4321	0	4301
14.0	7.951628	4038	0	3994
15.0	8.196959	3440	0	3470
16.0	8.418712	3216	0	3173
17.0	8.619152	2903	0	2867
18.0	8.800328	2616	0	2683
19.0	8.964092	2544	0	2514
20.0	9.112116	2302	0	2303
21.0	9.245914	2143	0	2087
22.0	9.366852	2028	0	2043
23.0	9.476167	1785	0	1752
24.0	9.574976	1616	0	1590
25.0	9.664288	1484	0	1499
26.0	9.745017	1484	0	1468
27.0	9.817987	1330	0	1292
28.0	9.883944	1192	0	1166
29.0	9.943562	1079	0	1104
30.0	9.997449	1106	0	1088
31.0	10.046158	904	0	859
32.0	10.090186	852	0	873
33.0	10.129982	761	0	706
34.0	10.165953	657	0	663
35.0	10.198467	658	0	656
36.0	10.227856	598	0	594
37.0	10.25442	571	0	574
38.0	10.278432	538	0	508
39.0	10.300136	477	0	460
40.0	10.319753	416	0	394
41.0	10.337486	367	0	368
42.0	10.353514	368	0	372
43.0	10.368001	324	0	326
44.0	10.381097	301	0	287
45.0	10.392933	283	0	275
46.0	10.403632	265	0	268
47.0	10.413303	250	0	238
48.0	10.422044	226	0	225
49.0	10.429946	202	0	212
50.0	10.437087	176	0	160
51.0	10.443543	178	0	166
52.0	10.449378	156	0	163
53.0	10.454652	168	0	171
54.0	10.459419	153	0	149
55.0	10.463728	141	0	133
56.0	10.467623	113	0	117
57.0	10.471144	121	0	109
58.0	10.474326	98	0	98
59.0	10.477203	96	0	87
60.0	10.479803	96	0	92
61.0	10.482153	70	0	70
62.0	10.484277	77	0	72
63.0	10.486197	55	0	68
64.0	10.487933	67	0	61
65.0	10.489501	62	0	50
66.0	10.490919	44	0	41
67.0	10.492201	46	0	43
68.0	10.493359	34	0	46
69.0	10.494407	56	0	55
70.0	10.495353	46	0	41
71.0	10.496209	51	0	42
72.0	10.496982	30	0	38
73.0	10.497681	37	0	39
74.0	10.498313	33	0	30
75.0	10.498884	30	0	28
76.0	10.4994	31	0	29
77.0	10.499867	30	0	35
78.0	10.500288	30	0	25
79.0	10.50067	25	0	28
80.0	10.501014	24	0	28
81.0	10.501326	31	0	22
82.0	10.501607	25	0	24
83.0	10.501862	18	0	19
84.0	10.502092	20	0	19
