## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/mapping/trimmomatic/RNP_Cas1_S65_L002.sorted.bam --OUTPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/markdup/RNP_Cas1_S65_L002.markdup.bam --METRICS_FILE /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/metrics/RNP_Cas1_S65_L002_dup_metrics.txt --REMOVE_DUPLICATES false --TMP_DIR /tmp/da.martinez33_439670 --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:48:34 COT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	2370698	151208550	5993895	7165276	1396536	9094420	1584809	0.064259	1440270800

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.010046	135390452	0	136841682
2.0	1.919427	6236376	1542456	4893829
3.0	2.738177	259685	20375	156145
4.0	3.475328	66450	466	63140
5.0	4.139012	33614	30	33002
6.0	4.736551	19907	4	19565
7.0	5.274538	13485	0	13314
8.0	5.758907	9840	2	9729
9.0	6.195003	8085	0	8080
10.0	6.587636	6539	0	6451
11.0	6.941137	5616	0	5594
12.0	7.259408	5088	1	5113
13.0	7.545959	4676	1	4661
14.0	7.803952	4159	0	4128
15.0	8.036232	3803	0	3819
16.0	8.245362	3376	0	3357
17.0	8.43365	3130	0	3105
18.0	8.603173	2893	0	2948
19.0	8.7558	2708	0	2677
20.0	8.893216	2522	0	2515
21.0	9.016937	2322	0	2251
22.0	9.128327	2124	0	2140
23.0	9.228616	1987	0	1980
24.0	9.31891	1808	0	1782
25.0	9.400205	1669	0	1688
26.0	9.473397	1582	0	1535
27.0	9.539296	1416	0	1399
28.0	9.598626	1372	0	1381
29.0	9.652044	1268	1	1265
30.0	9.700137	1192	0	1151
31.0	9.743438	1072	0	1067
32.0	9.782423	1011	0	1010
33.0	9.817523	956	0	920
34.0	9.849124	832	0	820
35.0	9.877576	755	0	759
36.0	9.903193	759	0	741
37.0	9.926256	679	0	692
38.0	9.947021	683	0	658
39.0	9.965716	601	0	594
40.0	9.982548	609	0	587
41.0	9.997703	503	0	485
42.0	10.011347	471	0	472
43.0	10.023632	425	0	406
44.0	10.034692	411	0	401
45.0	10.04465	386	0	394
46.0	10.053615	335	0	331
47.0	10.061687	337	0	335
48.0	10.068954	303	0	267
49.0	10.075497	272	0	283
50.0	10.081388	258	0	257
51.0	10.086692	231	0	214
52.0	10.091468	215	0	213
53.0	10.095767	191	0	177
54.0	10.099638	184	0	180
55.0	10.103123	173	0	188
56.0	10.106261	156	0	142
57.0	10.109086	142	0	144
58.0	10.111629	142	0	147
59.0	10.113919	146	0	134
60.0	10.115981	112	0	107
61.0	10.117837	111	0	96
62.0	10.119509	86	0	81
63.0	10.121013	71	0	82
64.0	10.122368	89	0	88
65.0	10.123588	89	0	80
66.0	10.124686	71	0	72
67.0	10.125675	73	0	70
68.0	10.126565	63	0	61
69.0	10.127366	75	0	71
70.0	10.128088	55	0	50
71.0	10.128738	50	0	48
72.0	10.129322	45	0	44
73.0	10.129849	34	0	44
74.0	10.130323	52	0	40
75.0	10.13075	40	0	47
76.0	10.131134	42	0	42
77.0	10.131481	44	0	41
78.0	10.131792	39	0	31
79.0	10.132073	30	0	27
80.0	10.132325	28	0	36
81.0	10.132553	34	0	28
82.0	10.132757	21	0	18
83.0	10.132942	24	0	29
84.0	10.133107	18	0	15
85.0	10.133257	23	0	24
86.0	10.133391	21	0	19
87.0	10.133513	15	0	12
88.0	10.133622	14	0	18
89.0	10.13372	20	0	17
90.0	10.133808	18	0	21
91.0	10.133888	20	0	17
92.0	10.133959	10	0	13
93.0	10.134024	19	0	9
94.0	10.134082	6	0	8
95.0	10.134134	5	0	2
96.0	10.134181	10	0	9
97.0	10.134224	13	0	13
98.0	10.134262	5	0	9
99.0	10.134296	4	0	6
100.0	10.134327	12	0	8
101.0	0	4	0	3
102.0	0	6	0	7
103.0	0	4	0	4
104.0	0	6	0	7
105.0	0	11	0	9
106.0	0	5	0	4
107.0	0	3	0	4
108.0	0	4	0	4
109.0	0	5	0	5
110.0	0	4	0	3
111.0	0	1	0	2
112.0	0	1	0	1
113.0	0	2	0	2
114.0	0	1	0	2
115.0	0	2	0	0
116.0	0	5	0	3
117.0	0	3	0	6
118.0	0	2	0	0
119.0	0	2	0	2
120.0	0	2	0	1
121.0	0	0	0	3
122.0	0	2	0	1
123.0	0	5	0	3
125.0	0	2	0	5
126.0	0	1	0	1
127.0	0	2	0	0
128.0	0	1	0	1
129.0	0	1	0	0
130.0	0	0	0	1
131.0	0	2	0	4
132.0	0	2	0	1
133.0	0	2	0	0
134.0	0	1	0	1
137.0	0	0	0	1
138.0	0	0	0	1
139.0	0	4	0	2
141.0	0	1	0	2
145.0	0	1	0	0
146.0	0	0	0	1
149.0	0	0	0	1
150.0	0	1	0	1
151.0	0	2	0	1
155.0	0	1	0	0
157.0	0	0	0	1
160.0	0	0	0	1
161.0	0	1	0	0
162.0	0	1	0	0
164.0	0	0	0	1
165.0	0	1	0	1
166.0	0	1	0	0
171.0	0	1	0	1
174.0	0	1	0	1
175.0	0	1	0	2
176.0	0	1	0	0
192.0	0	1	0	1
213.0	0	1	0	1
234.0	0	1	0	1
239.0	0	1	0	1
250.0	0	1	0	1
289.0	0	0	0	1
290.0	0	1	0	0
349.0	0	1	0	1
439.0	0	0	0	1
440.0	0	1	0	0
483.0	0	0	0	1
484.0	0	1	0	0
553.0	0	1	0	1
635.0	0	0	0	1
