## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/mapping/trimmomatic/Only_MNP_C1_S57_L002.sorted.bam --OUTPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/markdup/Only_MNP_C1_S57_L002.markdup.bam --METRICS_FILE /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/metrics/Only_MNP_C1_S57_L002_dup_metrics.txt --REMOVE_DUPLICATES false --TMP_DIR /tmp/da.martinez33_439499 --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:16:58 COT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1695973	109437161	4327134	5162485	931608	6787750	1308938	0.065771	1030637777

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.011474	97641212	0	98837538
2.0	1.921052	4643164	1270462	3538273
3.0	2.738998	191922	18564	104603
4.0	3.474543	44554	399	41753
5.0	4.135989	23328	23	22967
6.0	4.730801	14918	4	14705
7.0	5.265691	10733	3	10629
8.0	5.746695	8487	1	8458
9.0	6.179243	6989	0	6965
10.0	6.568216	6089	0	6082
11.0	6.918003	5318	0	5313
12.0	7.232552	4759	0	4710
13.0	7.515414	4268	0	4284
14.0	7.769779	3870	0	3834
15.0	7.99852	3495	1	3536
16.0	8.204217	3210	0	3135
17.0	8.389192	2892	0	2916
18.0	8.555533	2630	0	2610
19.0	8.705116	2433	0	2406
20.0	8.839631	2198	0	2170
21.0	8.960594	2024	0	2001
22.0	9.069371	1881	0	1876
23.0	9.16719	1633	0	1607
24.0	9.255154	1545	0	1511
25.0	9.334257	1373	0	1365
26.0	9.405391	1249	0	1256
27.0	9.469359	1143	0	1106
28.0	9.526883	1068	0	1046
29.0	9.578612	959	0	958
30.0	9.625129	920	0	877
31.0	9.666961	772	0	761
32.0	9.704578	762	0	780
33.0	9.738406	690	0	666
34.0	9.768826	617	0	588
35.0	9.796181	545	0	538
36.0	9.82078	469	0	473
37.0	9.842902	458	0	427
38.0	9.862795	420	0	417
39.0	9.880683	381	0	374
40.0	9.89677	334	0	333
41.0	9.911236	323	0	292
42.0	9.924245	277	0	282
43.0	9.935943	247	0	224
44.0	9.946463	234	0	240
45.0	9.955923	242	0	225
46.0	9.96443	187	0	196
47.0	9.97208	169	0	159
48.0	9.978959	165	0	170
49.0	9.985145	155	0	138
50.0	9.990709	133	0	133
51.0	9.995711	115	0	114
52.0	10.00021	132	0	119
53.0	10.004255	104	0	102
54.0	10.007893	87	0	101
55.0	10.011165	90	0	75
56.0	10.014107	90	0	75
57.0	10.016752	66	0	66
58.0	10.019131	56	0	63
59.0	10.02127	62	0	67
60.0	10.023194	52	0	37
61.0	10.024924	54	0	59
62.0	10.02648	49	0	45
63.0	10.027879	47	0	43
64.0	10.029137	40	0	37
65.0	10.030268	29	0	28
66.0	10.031286	33	0	30
67.0	10.032201	32	0	29
68.0	10.033023	33	0	36
69.0	10.033763	33	0	29
70.0	10.034428	23	0	19
71.0	10.035027	25	0	26
72.0	10.035565	23	0	23
73.0	10.036049	15	0	21
74.0	10.036484	15	0	13
75.0	10.036875	13	0	11
76.0	10.037227	17	0	20
77.0	10.037543	16	0	6
78.0	10.037828	9	0	7
79.0	10.038083	11	0	17
80.0	10.038313	10	0	14
81.0	10.03852	13	0	7
82.0	10.038706	9	0	8
83.0	10.038874	6	0	8
84.0	10.039024	8	0	11
