Sample,Group,Zone,Zone_Start,Zone_End,Mean_Depth,Min_Depth,Max_Depth,Positions
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,sgRNA_site,15922039,15922058,41.25,38,45,20
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,downstream_100bp,15922059,15922158,46.17,40,55,100
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,downstream_500bp,15922159,15922658,52.00,41,62,500
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,upstream_500bp,15921439,15921938,45.78,30,60,500
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,upstream_100bp,15921939,15922038,59.10,51,63,100
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,sgRNA_site,15922039,15922058,58.65,57,61,20
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,downstream_100bp,15922059,15922158,54.57,50,59,100
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,downstream_500bp,15922159,15922658,61.72,50,72,500
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,upstream_500bp,15921439,15921938,37.33,30,45,500
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,upstream_100bp,15921939,15922038,47.30,43,50,100
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,sgRNA_site,15922039,15922058,49.95,48,52,20
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,downstream_100bp,15922059,15922158,49.13,44,56,100
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,downstream_500bp,15922159,15922658,46.04,22,57,500
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,upstream_500bp,15921439,15921938,41.40,31,50,500
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,upstream_100bp,15921939,15922038,45.19,40,50,100
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,sgRNA_site,15922039,15922058,43.00,41,45,20
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,downstream_100bp,15922059,15922158,42.73,36,53,100
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,downstream_500bp,15922159,15922658,37.80,22,53,500
RNP_Cas1_S65_L002,RNP_Cas,upstream_500bp,15921439,15921938,50.52,43,66,500
RNP_Cas1_S65_L002,RNP_Cas,upstream_100bp,15921939,15922038,49.77,44,53,100
