Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_001	9.350091855097517	40.0	151.0	151	9.090909090909092	120.971746
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R1_001	10.119559786724992	40.0	151.0	151	9.090909090909092	158.124486
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R2_001	10.471817574685119	40.0	151.0	151	9.090909090909092	158.124486
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R1_001	9.810155440814341	40.0	151.0	151	9.090909090909092	145.051817
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R2_001	10.246908740536213	40.0	151.0	151	9.090909090909092	145.051817
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R1_001	10.684077101549136	40.0	151.0	151	9.090909090909092	178.692039
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R2_001	11.001932955131863	40.0	151.0	151	9.090909090909092	178.692039
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R1_001	10.634034807840493	40.0	151.0	151	9.090909090909092	163.873852
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R2_001	11.029101696362432	40.0	151.0	151	9.090909090909092	163.873852
trimmed_fastp | fastqc_results | Control_MNP_III_S56_L002_R1_filtered	9.118161634128313	39.0	150.5684974754133	151	9.090909090909092	131.79385
trimmed_fastp | fastqc_results | Control_MNP_III_S56_L002_R2_filtered	9.363658489900274	39.0	150.56296387881528	151	9.090909090909092	131.79385
trimmed_fastp | fastqc_results | Control_MNP_II_S55_L002_R1_filtered	9.036153834968957	39.0	150.54294485775745	151	9.090909090909092	125.94732599999999
trimmed_fastp | fastqc_results | Control_MNP_II_S55_L002_R2_filtered	9.171560432750965	39.0	150.53388286306293	151	9.090909090909092	125.94732599999999
trimmed_fastp | fastqc_results | Control_MNP_I_S54_L002_R1_filtered	8.801200670114227	39.0	150.57628303514684	151	9.090909090909092	123.652205
trimmed_fastp | fastqc_results | Control_MNP_I_S54_L002_R2_filtered	8.9361157953076	39.0	150.5699488335044	151	9.090909090909092	123.652205
trimmed_fastp | fastqc_results | Only_MNP_C1_S57_L002_R1_filtered	8.829700985765214	39.0	150.52539216271344	151	9.090909090909092	112.79049099999999
trimmed_fastp | fastqc_results | Only_MNP_C1_S57_L002_R2_filtered	9.091819695735296	39.0	150.5200171794624	151	9.090909090909092	112.79049099999999
trimmed_fastp | fastqc_results | Only_MNP_C2_S58_L002_R1_filtered	9.020719633203981	39.0	150.5370347956234	151	9.090909090909092	120.31924099999999
trimmed_fastp | fastqc_results | Only_MNP_C2_S58_L002_R2_filtered	9.163164394750439	39.0	150.53064852694675	151	9.090909090909092	120.31924099999999
