Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R1_001	(0.0, 0.0007158850666049703)	(1.0, 0.0007065344257141009)	(2.0, 0.0007663785274156659)	(3.0, 0.0009496510888767084)	(4.0, 0.0012787936482353153)	(5.0, 0.0017362270006166525)	(6.0, 0.0022699615826674846)	(7.0, 0.002873264932946386)	(8.0, 0.003650116178159826)	(9.0, 0.004697387957937212)	(10.0, 0.0061164412195355705)	(11.0, 0.008328054803044029)	(12.0, 0.011656508934557943)	(13.0, 0.01650762142874105)	(14.0, 0.023489931994771136)	(15.0, 0.03381603174337616)	(16.0, 0.05033262978737245)	(17.0, 0.07663747871593095)	(18.0, 0.11594570289296822)	(19.0, 0.17300667983977475)	(20.0, 0.25473315135415253)	(21.0, 0.366875013532715)	(22.0, 0.5152322819072509)	(23.0, 0.7048116636363672)	(24.0, 0.9380233799160942)	(25.0, 1.215842889604168)	(26.0, 1.5225076303380316)	(27.0, 1.846875378432125)	(28.0, 2.1882590487937876)	(29.0, 2.5281028556135414)	(30.0, 2.850426553608891)	(31.0, 3.1548635976569135)	(32.0, 3.4420135508515326)	(33.0, 3.7040244930238666)	(34.0, 3.9283284147653155)	(35.0, 4.096661644287834)	(36.0, 4.187728283975283)	(37.0, 4.196081398495915)	(38.0, 4.141644959434357)	(39.0, 4.052459294668515)	(40.0, 3.9507104828273367)	(41.0, 3.8365410276779985)	(42.0, 3.6985225759236786)	(43.0, 3.535764198500297)	(44.0, 3.3578244945521347)	(45.0, 3.1664554001565066)	(46.0, 2.965043717444084)	(47.0, 2.7578454841227558)	(48.0, 2.545750507179697)	(49.0, 2.3344230308409606)	(50.0, 2.134183170444982)	(51.0, 1.9333067184171528)	(52.0, 1.727957667838403)	(53.0, 1.5329956831868667)	(54.0, 1.3506290118153315)	(55.0, 1.189748617108472)	(56.0, 1.0481163296626494)	(57.0, 0.916635097967955)	(58.0, 0.8041741919221961)	(59.0, 0.7174249301468788)	(60.0, 0.6409415499928294)	(61.0, 0.557451173580798)	(62.0, 0.4660666121030589)	(63.0, 0.3854809187773672)	(64.0, 0.3215143065198357)	(65.0, 0.2681386041609387)	(66.0, 0.22531117277821375)	(67.0, 0.1900577605170931)	(68.0, 0.16104945429416645)	(69.0, 0.13205610909666513)	(70.0, 0.10658795551502165)	(71.0, 0.0914739536046558)	(72.0, 0.08069303868311888)	(73.0, 0.06959195781747858)	(74.0, 0.05666002146540604)	(75.0, 0.047542024519901346)	(76.0, 0.042065167137301254)	(77.0, 0.03672669923988603)	(78.0, 0.03146079231578395)	(79.0, 0.02667999664110018)	(80.0, 0.021694982969359823)	(81.0, 0.016585792786588716)	(82.0, 0.013062845324544718)	(83.0, 0.009594131579667762)	(84.0, 0.006570882366831829)	(85.0, 0.004271372758949196)	(86.0, 0.0024644549131975706)	(87.0, 0.002663062525719639)	(88.0, 0.0027217845505142996)	(89.0, 0.0019516657667422862)	(90.0, 0.0009851835242620124)	(91.0, 0.00034485163605526783)	(92.0, 0.00018215048455413822)	(93.0, 0.00022778161210158148)	(94.0, 0.0003493399436828852)	(95.0, 0.000665391605794275)	(96.0, 0.0020159981760714684)	(97.0, 0.008211732830361612)	(98.0, 0.037319529872367155)	(99.0, 0.04228472018541887)	(100.0, 0.013253972424354091)
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R2_001	(0.0, 0.0006162226666920593)	(1.0, 0.0006461727355470805)	(2.0, 0.0007513723524003421)	(3.0, 0.0009464221758186671)	(4.0, 0.0012309478299413676)	(5.0, 0.0016465050353047855)	(6.0, 0.002190847536744794)	(7.0, 0.0027213381313393554)	(8.0, 0.003419549111522035)	(9.0, 0.004505987859237926)	(10.0, 0.00586646973697726)	(11.0, 0.00790045378809388)	(12.0, 0.011190094475957263)	(13.0, 0.01601579932022254)	(14.0, 0.022845538146749413)	(15.0, 0.03316782937763244)	(16.0, 0.049847771474715065)	(17.0, 0.07615404007766217)	(18.0, 0.11507303142718003)	(19.0, 0.1716217564323454)	(20.0, 0.25323756594158137)	(21.0, 0.3655390928720899)	(22.0, 0.5148341961005991)	(23.0, 0.7057756188237366)	(24.0, 0.9388586603051922)	(25.0, 1.2164295340638962)	(26.0, 1.5234510592794637)	(27.0, 1.8479087658307032)	(28.0, 2.1882441270095714)	(29.0, 2.528777158642883)	(30.0, 2.852971304588198)	(31.0, 3.154185137076917)	(32.0, 3.438552804586407)	(33.0, 3.702970356855707)	(34.0, 3.9266093928754526)	(35.0, 4.092349330160533)	(36.0, 4.182429403504059)	(37.0, 4.189857769331825)	(38.0, 4.136409250829015)	(39.0, 4.04908945070634)	(40.0, 3.9448227784979126)	(41.0, 3.8273784503691366)	(42.0, 3.6874150398441303)	(43.0, 3.5261844598010343)	(44.0, 3.3477048863526107)	(45.0, 3.1529313523194733)	(46.0, 2.9519637696712566)	(47.0, 2.7450267639243737)	(48.0, 2.533904236055002)	(49.0, 2.324831416022895)	(50.0, 2.1263889985550177)	(51.0, 1.9271798593244516)	(52.0, 1.7231030851532234)	(53.0, 1.528304093561559)	(54.0, 1.3466097545974096)	(55.0, 1.1863240992266897)	(56.0, 1.0459762046927572)	(57.0, 0.9146500196496786)	(58.0, 0.802104025282141)	(59.0, 0.7161035256925299)	(60.0, 0.6388001517225563)	(61.0, 0.5558875042318979)	(62.0, 0.46680664006054795)	(63.0, 0.3871634169612758)	(64.0, 0.3244315002409914)	(65.0, 0.2715838549945852)	(66.0, 0.22822813532005665)	(67.0, 0.1932355979974321)	(68.0, 0.16465986292699575)	(69.0, 0.13644053367593417)	(70.0, 0.11108667726257672)	(71.0, 0.09617715861068653)	(72.0, 0.0859409738277617)	(73.0, 0.07436826722218154)	(74.0, 0.061185744415644)	(75.0, 0.05194165566354173)	(76.0, 0.04623841380182434)	(77.0, 0.04053255130908213)	(78.0, 0.035227645363136516)	(79.0, 0.0303970736326823)	(80.0, 0.02535273328577537)	(81.0, 0.020445040128019475)	(82.0, 0.017054317957770397)	(83.0, 0.013748204732036754)	(84.0, 0.010771916639569029)	(85.0, 0.008442175658509075)	(86.0, 0.0065586907033889355)	(87.0, 0.00654783380342899)	(88.0, 0.006367384638577487)	(89.0, 0.005616761037898522)	(90.0, 0.004909565037059336)	(91.0, 0.0044659296421443355)	(92.0, 0.004305322397909284)	(93.0, 0.004310938035819601)	(94.0, 0.004404532000991542)	(95.0, 0.004643383800110335)	(96.0, 0.005365929211237719)	(97.0, 0.007335520614316045)	(98.0, 0.011413596864787857)	(99.0, 0.02182199454362907)	(100.0, 0.11003992235609375)
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R1_001	(0.0, 0.000692104537518289)	(1.0, 0.0007257322156123979)	(2.0, 0.0008223140352547806)	(3.0, 0.0010498873916590995)	(4.0, 0.0013630940213495795)	(5.0, 0.001754895573097221)	(6.0, 0.0023582386812275712)	(7.0, 0.0030104592284481957)	(8.0, 0.003722896780628039)	(9.0, 0.0048286999626064135)	(10.0, 0.006311836974361707)	(11.0, 0.008513276830987678)	(12.0, 0.012027369191822063)	(13.0, 0.016982368457037746)	(14.0, 0.02402658497872813)	(15.0, 0.034927817973910265)	(16.0, 0.052015761699383)	(17.0, 0.07857810821811459)	(18.0, 0.11855477014029385)	(19.0, 0.17695470742389216)	(20.0, 0.2592259949396679)	(21.0, 0.37172621894497127)	(22.0, 0.5227747105924797)	(23.0, 0.7166687743270101)	(24.0, 0.9516691553559744)	(25.0, 1.2326784563298832)	(26.0, 1.5420272875078458)	(27.0, 1.868670129694486)	(28.0, 2.2113303041807657)	(29.0, 2.5518543390690436)	(30.0, 2.8743265671329885)	(31.0, 3.174945887689428)	(32.0, 3.4611846836264837)	(33.0, 3.7263608224912455)	(34.0, 3.9546630392672784)	(35.0, 4.12257542045947)	(36.0, 4.21085159463212)	(37.0, 4.2160752243025765)	(38.0, 4.154637456424639)	(39.0, 4.056778176034193)	(40.0, 3.9475500033113486)	(41.0, 3.8273341822810107)	(42.0, 3.68449436326408)	(43.0, 3.5209191705070033)	(44.0, 3.340001089302159)	(45.0, 3.145027420693002)	(46.0, 2.9453947545897607)	(47.0, 2.7394095854828344)	(48.0, 2.5293265318825795)	(49.0, 2.318792241764643)	(50.0, 2.1166941976336884)	(51.0, 1.916743241647091)	(52.0, 1.7127354582160008)	(53.0, 1.517641355596926)	(54.0, 1.3365871996016543)	(55.0, 1.1767646211081724)	(56.0, 1.0363283990359444)	(57.0, 0.9055390193620859)	(58.0, 0.7942665966267302)	(59.0, 0.7097457738542636)	(60.0, 0.633988480400927)	(61.0, 0.5515576569239606)	(62.0, 0.4618433129835179)	(63.0, 0.38154980216309103)	(64.0, 0.3184005418779689)	(65.0, 0.2652590350014587)	(66.0, 0.22225431797275869)	(67.0, 0.18744928012584322)	(68.0, 0.15857561726741073)	(69.0, 0.13050980072226231)	(70.0, 0.1056483890838723)	(71.0, 0.09083930707854451)	(72.0, 0.08018598045442826)	(73.0, 0.06893791315146153)	(74.0, 0.0560831466707193)	(75.0, 0.046956751243783214)	(76.0, 0.04157593172921306)	(77.0, 0.03617282410241774)	(78.0, 0.030890541505053576)	(79.0, 0.026266344747600874)	(80.0, 0.021427087258150963)	(81.0, 0.016414217105052392)	(82.0, 0.012974418451635225)	(83.0, 0.00958349723730833)	(84.0, 0.006689952843164071)	(85.0, 0.0043852838351794415)	(86.0, 0.0024774996326078413)	(87.0, 0.002717194593906548)	(88.0, 0.0028008727696290986)	(89.0, 0.00196291795386543)	(90.0, 0.0009818499964454371)	(91.0, 0.00037967994685325347)	(92.0, 0.00020606728320459792)	(93.0, 0.000220143985662597)	(94.0, 0.00028505322477448175)	(95.0, 0.0004883833713900243)	(96.0, 0.0013834270360111338)	(97.0, 0.005191566070412612)	(98.0, 0.02513864447291006)	(99.0, 0.028910418692628368)	(100.0, 0.00889647595345543)
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R2_001	(0.0, 0.0006551947826769005)	(1.0, 0.0006837665981699792)	(2.0, 0.0008105784915913147)	(3.0, 0.001028193963018051)	(4.0, 0.0013307420914584595)	(5.0, 0.0017377926135516357)	(6.0, 0.0022505197134959245)	(7.0, 0.002877534075412528)	(8.0, 0.003652887041053472)	(9.0, 0.0046642510305619014)	(10.0, 0.006057224884532682)	(11.0, 0.008257646072232524)	(12.0, 0.011618161247897918)	(13.0, 0.01632194314647079)	(14.0, 0.02314082218099705)	(15.0, 0.0339538844635626)	(16.0, 0.05094902655041826)	(17.0, 0.07730672204014974)	(18.0, 0.11708182036437753)	(19.0, 0.17491665444862775)	(20.0, 0.25718234775312415)	(21.0, 0.37001636108261976)	(22.0, 0.5207788723870782)	(23.0, 0.7133619108892825)	(24.0, 0.9472370936999773)	(25.0, 1.2267567302476972)	(26.0, 1.5364157181932874)	(27.0, 1.8633986198012702)	(28.0, 2.205505013883945)	(29.0, 2.545041510151175)	(30.0, 2.8666744371567616)	(31.0, 3.1689806836523107)	(32.0, 3.454839740686899)	(33.0, 3.716549351314112)	(34.0, 3.9422451669991303)	(35.0, 4.111088549379181)	(36.0, 4.201806411938103)	(37.0, 4.206906676700984)	(38.0, 4.1435868368315285)	(39.0, 4.046321723182631)	(40.0, 3.938759405508975)	(41.0, 3.817070086350289)	(42.0, 3.6742297958320687)	(43.0, 3.511416632099989)	(44.0, 3.329344499146642)	(45.0, 3.1346631934819937)	(46.0, 2.934470267190311)	(47.0, 2.728178236777688)	(48.0, 2.517555423646833)	(49.0, 2.3081005323985995)	(50.0, 2.1095506811951346)	(51.0, 1.9116110143800773)	(52.0, 1.708221175911032)	(53.0, 1.5141954564237936)	(54.0, 1.3335425207715141)	(55.0, 1.1754182659381611)	(56.0, 1.0375181597371144)	(57.0, 0.9079465420549335)	(58.0, 0.7980503375896989)	(59.0, 0.7128828437363575)	(60.0, 0.6342598612098621)	(61.0, 0.5519452435637681)	(62.0, 0.4653049313309683)	(63.0, 0.38613203920491446)	(64.0, 0.32309517772726004)	(65.0, 0.27018800332873394)	(66.0, 0.22755728903412936)	(67.0, 0.19340066209898576)	(68.0, 0.16466328663394034)	(69.0, 0.1367736721601005)	(70.0, 0.1116938804729019)	(71.0, 0.09659230610324507)	(72.0, 0.08614010976430445)	(73.0, 0.07472312540905643)	(74.0, 0.06155699799300609)	(75.0, 0.05208837661754637)	(76.0, 0.04646990522846219)	(77.0, 0.040776286050683896)	(78.0, 0.035494414131792155)	(79.0, 0.030876739074431305)	(80.0, 0.02564574847080121)	(81.0, 0.0206832546538595)	(82.0, 0.017538789370689718)	(83.0, 0.014236200615476044)	(84.0, 0.011238899751832256)	(85.0, 0.008973115643757837)	(86.0, 0.007140996899605763)	(87.0, 0.007168394530900497)	(88.0, 0.00699813782214037)	(89.0, 0.006167598199177179)	(90.0, 0.005391853838803453)	(91.0, 0.004969930316864565)	(92.0, 0.004818851950010751)	(93.0, 0.0048243314762696984)	(94.0, 0.004904567396489988)	(95.0, 0.0050439039213603445)	(96.0, 0.005744500493039945)	(97.0, 0.008140227652397953)	(98.0, 0.01324636333627062)	(99.0, 0.026009745572288377)	(100.0, 0.11466808904731156)
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R1_001	(0.0, 0.0006615640101717938)	(1.0, 0.0006934466130716393)	(2.0, 0.0008106151787285714)	(3.0, 0.0010254242157662803)	(4.0, 0.001320338292589851)	(5.0, 0.001763107940361455)	(6.0, 0.0023194593609637587)	(7.0, 0.0029208449581620945)	(8.0, 0.0037948268101541086)	(9.0, 0.00484894536853025)	(10.0, 0.006272105055472103)	(11.0, 0.00851982855991121)	(12.0, 0.011744355310694331)	(13.0, 0.016640327518501856)	(14.0, 0.02390876391459413)	(15.0, 0.0346735262511907)	(16.0, 0.05156971165796381)	(17.0, 0.07807092972085164)	(18.0, 0.11782215901637898)	(19.0, 0.1757516528877895)	(20.0, 0.2584156700889001)	(21.0, 0.37198907373633844)	(22.0, 0.5230703670327637)	(23.0, 0.7156600195770341)	(24.0, 0.9511142375900016)	(25.0, 1.2330927453520326)	(26.0, 1.542469966448582)	(27.0, 1.867876963218101)	(28.0, 2.2109712324788457)	(29.0, 2.55323495993405)	(30.0, 2.878417582885661)	(31.0, 3.1793762026865062)	(32.0, 3.461720563316813)	(33.0, 3.7231300098180085)	(34.0, 3.943286556427094)	(35.0, 4.107012091501062)	(36.0, 4.197891856936926)	(37.0, 4.206282560955093)	(38.0, 4.1539281387332565)	(39.0, 4.063360025740739)	(40.0, 3.9568916601495308)	(41.0, 3.839595962613535)	(42.0, 3.6992451578555894)	(43.0, 3.536606022475434)	(44.0, 3.3530184228599347)	(45.0, 3.154334809303895)	(46.0, 2.9496943299285556)	(47.0, 2.7377379887853106)	(48.0, 2.5257103103180767)	(49.0, 2.31770342660905)	(50.0, 2.117112436334527)	(51.0, 1.9157757916846838)	(52.0, 1.7102892277348898)	(53.0, 1.5168849746865285)	(54.0, 1.3367964907392875)	(55.0, 1.178009969387042)	(56.0, 1.0382195013750608)	(57.0, 0.9061095524016523)	(58.0, 0.79414263340783)	(59.0, 0.7079065690843279)	(60.0, 0.6299763213487719)	(61.0, 0.5468181238027137)	(62.0, 0.45808525313961745)	(63.0, 0.3781978121185471)	(64.0, 0.31484189923358286)	(65.0, 0.2626464914937096)	(66.0, 0.2201681040526367)	(67.0, 0.1860939707359631)	(68.0, 0.15768497742205578)	(69.0, 0.12911298430082302)	(70.0, 0.10403094059951457)	(71.0, 0.08958373762798583)	(72.0, 0.07955705754852067)	(73.0, 0.06850136646046301)	(74.0, 0.05566184374015898)	(75.0, 0.046425453680073746)	(76.0, 0.04101417890289748)	(77.0, 0.03568540036072455)	(78.0, 0.03034944823289916)	(79.0, 0.025811358242642406)	(80.0, 0.021113058172813927)	(81.0, 0.01637091952399816)	(82.0, 0.012991363616614538)	(83.0, 0.009485871427776526)	(84.0, 0.006531948269105843)	(85.0, 0.00430415139147914)	(86.0, 0.00245336629314311)	(87.0, 0.0026390824550347096)	(88.0, 0.0027976984044614413)	(89.0, 0.001990670018559102)	(90.0, 0.0009668399329378143)	(91.0, 0.000378207376899417)	(92.0, 0.0002128163743564686)	(93.0, 0.0002263664805889029)	(94.0, 0.0003343687979121295)	(95.0, 0.0005974002718358547)	(96.0, 0.0016156509019496698)	(97.0, 0.006321124557430615)	(98.0, 0.028001693061861795)	(99.0, 0.03151316323874352)	(100.0, 0.00968952155379929)
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R2_001	(0.0, 0.0006350579116769196)	(1.0, 0.0006649758409330558)	(2.0, 0.0007722814805317314)	(3.0, 0.0009745266823032126)	(4.0, 0.0012932523553119176)	(5.0, 0.0017172891393022229)	(6.0, 0.0021931836673364973)	(7.0, 0.002816274407310962)	(8.0, 0.0035901515107363544)	(9.0, 0.004555503361401018)	(10.0, 0.00591258063245936)	(11.0, 0.008111348979923669)	(12.0, 0.011372403268842524)	(13.0, 0.01626298743791227)	(14.0, 0.023375476486404402)	(15.0, 0.03388544558122337)	(16.0, 0.05067179732825631)	(17.0, 0.07699000133629429)	(18.0, 0.11684227872836148)	(19.0, 0.17490141114854296)	(20.0, 0.2571725253571304)	(21.0, 0.37070947126127396)	(22.0, 0.5219075054187653)	(23.0, 0.7143164898622757)	(24.0, 0.9496373585964477)	(25.0, 1.2303317588404759)	(26.0, 1.5393357004638304)	(27.0, 1.8649736118478735)	(28.0, 2.2092595679901277)	(29.0, 2.5522351188309633)	(30.0, 2.8760157251667855)	(31.0, 3.1771584316987975)	(32.0, 3.458693326302061)	(33.0, 3.716918164957561)	(34.0, 3.9380647166216227)	(35.0, 4.1029472116208705)	(36.0, 4.190050669762909)	(37.0, 4.199546620508807)	(38.0, 4.147755892626371)	(39.0, 4.0579877442519185)	(40.0, 3.9523646889946082)	(41.0, 3.8338402248306056)	(42.0, 3.691946267766049)	(43.0, 3.5267749650230487)	(44.0, 3.341306541261238)	(45.0, 3.1425374039635967)	(46.0, 2.9399483454585313)	(47.0, 2.7292786537142457)	(48.0, 2.516509920053349)	(49.0, 2.3052773723333244)	(50.0, 2.105067786468431)	(51.0, 1.906626150769713)	(52.0, 1.7022599672668333)	(53.0, 1.5103791340011248)	(54.0, 1.3334309375857385)	(55.0, 1.175068556635711)	(56.0, 1.0346485562191738)	(57.0, 0.9041501389554181)	(58.0, 0.7939149357239818)	(59.0, 0.7067987125987938)	(60.0, 0.6270901687574253)	(61.0, 0.5449534857776287)	(62.0, 0.45842405297158456)	(63.0, 0.3807686768886338)	(64.0, 0.3184173188845053)	(65.0, 0.26611359824175757)	(66.0, 0.22457993322549555)	(67.0, 0.19032988781307073)	(68.0, 0.16164856629952143)	(69.0, 0.1334650791287942)	(70.0, 0.10849836771168676)	(71.0, 0.0945183177288794)	(72.0, 0.0844339810409444)	(73.0, 0.07317486699755178)	(74.0, 0.06015697761962177)	(75.0, 0.05063948596465969)	(76.0, 0.045086718294720794)	(77.0, 0.039287027981987924)	(78.0, 0.034039024284738206)	(79.0, 0.02973483152908873)	(80.0, 0.024930809902000077)	(81.0, 0.020104050648676753)	(82.0, 0.016668674558625477)	(83.0, 0.01344152725619691)	(84.0, 0.010744126754463661)	(85.0, 0.008452014467720207)	(86.0, 0.006502961103113783)	(87.0, 0.006505753443177689)	(88.0, 0.00644073181026102)	(89.0, 0.005723898225283994)	(90.0, 0.0049915073170937775)	(91.0, 0.004563082570145906)	(92.0, 0.004385968428949579)	(93.0, 0.00438756405184324)	(94.0, 0.004526383243591712)	(95.0, 0.004802824909918411)	(96.0, 0.005628559757387773)	(97.0, 0.007970535259558122)	(98.0, 0.013005523300504149)	(99.0, 0.024811935996422355)	(100.0, 0.11136610095731829)
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R1_001	(0.0, 0.0007233003778177454)	(1.0, 0.0007298599338439038)	(2.0, 0.0008146968584488872)	(3.0, 0.0010263518662262687)	(4.0, 0.0013770694617582103)	(5.0, 0.0017916334026114283)	(6.0, 0.002334327337842276)	(7.0, 0.0029872218143125865)	(8.0, 0.00379929485035101)	(9.0, 0.004778417913188938)	(10.0, 0.006155050071212071)	(11.0, 0.008390546764926891)	(12.0, 0.011790583305152386)	(13.0, 0.01670762650236081)	(14.0, 0.02377139373506337)	(15.0, 0.03446128353902636)	(16.0, 0.05118596488705518)	(17.0, 0.07759823587824997)	(18.0, 0.11755336624105163)	(19.0, 0.17556564243266243)	(20.0, 0.2572434848554479)	(21.0, 0.36986450226856343)	(22.0, 0.5196843246022887)	(23.0, 0.7107843076160998)	(24.0, 0.9443219942967459)	(25.0, 1.222510578847453)	(26.0, 1.5300431186293126)	(27.0, 1.8559529105740582)	(28.0, 2.1962771082344195)	(29.0, 2.534204006819087)	(30.0, 2.858153366119481)	(31.0, 3.1624450479206834)	(32.0, 3.450442792552908)	(33.0, 3.7223761844770706)	(34.0, 3.9599169495486133)	(35.0, 4.134089779585055)	(36.0, 4.223822319504228)	(37.0, 4.223810512303381)	(38.0, 4.153994533694565)	(39.0, 4.048559728559974)	(40.0, 3.9371622869976046)	(41.0, 3.8190710371624084)	(42.0, 3.6778556031200624)	(43.0, 3.5129571106971387)	(44.0, 3.3337325479130855)	(45.0, 3.1446817702018457)	(46.0, 2.9463172975409324)	(47.0, 2.739226428846552)	(48.0, 2.5304541272908)	(49.0, 2.3233068464145945)	(50.0, 2.126223673697457)	(51.0, 1.9295170194962206)	(52.0, 1.7241027733221264)	(53.0, 1.5279545559905838)	(54.0, 1.345428350006697)	(55.0, 1.1836421482663184)	(56.0, 1.0431793139520407)	(57.0, 0.9126918151386096)	(58.0, 0.8019984325897145)	(59.0, 0.717319811936829)	(60.0, 0.6398755069733263)	(61.0, 0.5559271835580198)	(62.0, 0.4667832544662607)	(63.0, 0.3858195290428563)	(64.0, 0.32061885405404594)	(65.0, 0.2678008716276825)	(66.0, 0.2253819720214557)	(67.0, 0.18993107012994956)	(68.0, 0.16062516032374874)	(69.0, 0.13193890991015234)	(70.0, 0.10669642641028913)	(71.0, 0.09272588398577673)	(72.0, 0.08279209233976229)	(73.0, 0.07141257454558249)	(74.0, 0.05807174949958131)	(75.0, 0.048621178480827205)	(76.0, 0.042971651527364416)	(77.0, 0.03730375781702838)	(78.0, 0.03230187769521498)	(79.0, 0.02775785458402744)	(80.0, 0.02270874565882569)	(81.0, 0.017478592987301974)	(82.0, 0.01370947209467129)	(83.0, 0.010128829111858898)	(84.0, 0.007059831499086868)	(85.0, 0.004613117101329743)	(86.0, 0.002559976065142129)	(87.0, 0.002803554245580148)	(88.0, 0.0029054460158531438)	(89.0, 0.002016407522441127)	(90.0, 0.000980434974043159)	(91.0, 0.00033235083865869796)	(92.0, 0.00015436821848226366)	(93.0, 0.00018541678367274726)	(94.0, 0.00024226626923278774)	(95.0, 0.0004604808330363275)	(96.0, 0.00136919799452682)	(97.0, 0.005394141572177684)	(98.0, 0.024491632986735578)	(99.0, 0.027693133631236006)	(100.0, 0.008492875838934965)
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R2_001	(0.0, 0.0006022667236053829)	(1.0, 0.0006184613956790742)	(2.0, 0.0007432041400304797)	(3.0, 0.000992689628733291)	(4.0, 0.001322710783964729)	(5.0, 0.0016824951203045725)	(6.0, 0.0021530159981212778)	(7.0, 0.0027587842724452966)	(8.0, 0.003522122329107933)	(9.0, 0.004541073588230994)	(10.0, 0.005991153279586106)	(11.0, 0.008126223830274374)	(12.0, 0.01128330949696451)	(13.0, 0.016031849965274684)	(14.0, 0.023089225438685433)	(15.0, 0.033854305429291826)	(16.0, 0.050631110309956304)	(17.0, 0.0769846564060901)	(18.0, 0.1164690176971087)	(19.0, 0.17389182331969927)	(20.0, 0.2563047587273547)	(21.0, 0.36856972709290114)	(22.0, 0.5185538374934338)	(23.0, 0.7102475446666782)	(24.0, 0.9436153954116082)	(25.0, 1.222828174327959)	(26.0, 1.5298957892110587)	(27.0, 1.8540960540666043)	(28.0, 2.1945133133816723)	(29.0, 2.5335400193676025)	(30.0, 2.8551692706079894)	(31.0, 3.1582232329798523)	(32.0, 3.4469287158944253)	(33.0, 3.7179185406418993)	(34.0, 3.9564616833489734)	(35.0, 4.1308065197928965)	(36.0, 4.219068357982193)	(37.0, 4.217670801551618)	(38.0, 4.148525241816873)	(39.0, 4.044912167583236)	(40.0, 3.930991841115455)	(41.0, 3.8097086288740623)	(42.0, 3.6676507162190015)	(43.0, 3.504665785694014)	(44.0, 3.326562034553635)	(45.0, 3.1342603706368677)	(46.0, 2.9348903889006936)	(47.0, 2.729107754717177)	(48.0, 2.5205733393626537)	(49.0, 2.314701853329652)	(50.0, 2.1176805367380034)	(51.0, 1.9208553069865977)	(52.0, 1.7174532895979144)	(53.0, 1.5215901109064542)	(54.0, 1.3398180476944648)	(55.0, 1.1802655122614196)	(56.0, 1.0406280465406161)	(57.0, 0.9109726265309644)	(58.0, 0.8009272036271933)	(59.0, 0.7152604522142454)	(60.0, 0.6371215971525249)	(61.0, 0.554645633831934)	(62.0, 0.46705302952373634)	(63.0, 0.3872728225626552)	(64.0, 0.3234167928822508)	(65.0, 0.27051974156349723)	(66.0, 0.22753820649224094)	(67.0, 0.19328516197486445)	(68.0, 0.16483593777362704)	(69.0, 0.13631274331345844)	(70.0, 0.11106174799985515)	(71.0, 0.09640950901772302)	(72.0, 0.08634955380308194)	(73.0, 0.07542427786709796)	(74.0, 0.062272015674061515)	(75.0, 0.05254864702224931)	(76.0, 0.04678246837633557)	(77.0, 0.040794816647468105)	(78.0, 0.03542300015124073)	(79.0, 0.03064382111414249)	(80.0, 0.025464152213600266)	(81.0, 0.020619756794367432)	(82.0, 0.017040734266081665)	(83.0, 0.013466088676194194)	(84.0, 0.010500275217509547)	(85.0, 0.008227768801114817)	(86.0, 0.006196431690466139)	(87.0, 0.006148285368084893)	(88.0, 0.006123774513054442)	(89.0, 0.0053652510886299295)	(90.0, 0.004564709055581787)	(91.0, 0.004022844081872873)	(92.0, 0.003923925274071408)	(93.0, 0.003993956288444127)	(94.0, 0.004134018317189565)	(95.0, 0.004433838597472768)	(96.0, 0.0052330675490014225)	(97.0, 0.007494631619400415)	(98.0, 0.012106611609683788)	(99.0, 0.023491466077488737)	(100.0, 0.10603439655557359)
