Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_001	(1, 38.931885268482446)	(2, 38.701282653223835)	(3, 38.86276684805392)	(4, 39.057271521897356)	(5, 39.145760159566514)	(6, 39.2208480565371)	(7, 39.14418621353121)	(8, 39.263384881623516)	(9, 39.24003919063878)	(10, 39.282394851108464)	(15, 39.31693653656946)	(20, 39.35369490988417)	(25, 39.26305808796047)	(30, 39.240217323142545)	(35, 39.21563537654487)	(40, 39.224824355267216)	(45, 39.13882534356411)	(50, 39.18029088213706)	(55, 39.124588108367064)	(60, 39.04582198226684)	(65, 39.05108906008515)	(70, 38.99269347571457)	(75, 39.00380413125557)	(80, 38.959283788464134)	(85, 38.919829165729325)	(90, 38.8956631889896)	(95, 38.850539558220476)	(100, 38.82348432170269)	(105, 38.761201191557575)	(110, 38.748505382405575)	(115, 38.662662732833496)	(120, 38.615935826866554)	(125, 38.627796363292966)	(130, 38.620367823739606)	(135, 38.56789082634221)	(140, 38.50736168757951)	(145, 38.519415488968804)	(150, 38.30582527096864)
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_001	(1, 38.829933916966034)	(2, 38.918146829095114)	(3, 39.11522935281103)	(4, 39.179246689553445)	(5, 39.152067359596515)	(6, 39.257556991861556)	(7, 39.278396494335134)	(8, 39.285651262733694)	(9, 39.29912056489621)	(10, 39.306321105756375)	(15, 39.30743290586217)	(20, 39.280258079436166)	(25, 39.26824104861643)	(30, 39.21417344178864)	(35, 39.212623112838266)	(40, 39.180055536273734)	(45, 39.14120789824758)	(50, 39.125214036342)	(55, 39.08068138158476)	(60, 39.06166127750194)	(65, 39.014406853315975)	(70, 38.95038038220925)	(75, 38.903544326788506)	(80, 38.88302964726987)	(85, 38.85448716926017)	(90, 38.79093684239293)	(95, 38.77412770747311)	(100, 38.72712462792758)	(105, 38.679780004167256)	(110, 38.62544695519233)	(115, 38.59223478844391)	(120, 38.54813145376938)	(125, 38.508440187347546)	(130, 38.44640433147092)	(135, 38.41500394315214)	(140, 38.35998421151993)	(145, 38.31795688226241)	(150, 38.0975347086418)
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R1_001	(1, 38.93290907519535)	(2, 38.7977569204557)	(3, 38.96152480773914)	(4, 39.10454759043454)	(5, 39.16884458995174)	(6, 39.22711464181455)	(7, 39.18985369539794)	(8, 39.29550731314314)	(9, 39.265102224585256)	(10, 39.29792560274315)	(15, 39.33073069657282)	(20, 39.36712404048542)	(25, 39.28025629756039)	(30, 39.258808661676845)	(35, 39.23630996277199)	(40, 39.24501436924829)	(45, 39.16041702990896)	(50, 39.19982688702621)	(55, 39.1447230038743)	(60, 39.06580718181749)	(65, 39.07103252307173)	(70, 39.01243848217157)	(75, 39.02281090861538)	(80, 38.97897270635239)	(85, 38.93967452327402)	(90, 38.91543569918703)	(95, 38.870542025983255)	(100, 38.843340491870435)	(105, 38.78141878671467)	(110, 38.76952008179177)	(115, 38.68413645562775)	(120, 38.637370166692584)	(125, 38.65001690630002)	(130, 38.64301824955814)	(135, 38.59137658667235)	(140, 38.531778028356726)	(145, 38.544830760746315)	(150, 38.334856367533106)
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R2_001	(1, 38.9629889706013)	(2, 39.01496774509673)	(3, 39.18016622042964)	(4, 39.22840759779608)	(5, 39.19152941942211)	(6, 39.29972495847354)	(7, 39.31162203430024)	(8, 39.309496006836035)	(9, 39.32753074688255)	(10, 39.34043532384984)	(15, 39.33974577093645)	(20, 39.30796855839266)	(25, 39.29896229733831)	(30, 39.245422775318936)	(35, 39.24663738922762)	(40, 39.21026182371274)	(45, 39.166248795901225)	(50, 39.1483130360974)	(55, 39.09884237916195)	(60, 39.07810209988603)	(65, 39.02793864575787)	(70, 38.962706350235976)	(75, 38.915301124204134)	(80, 38.89409141731534)	(85, 38.863939597564915)	(90, 38.79981670643976)	(95, 38.78263155144738)	(100, 38.73558671235776)	(105, 38.688802375616895)	(110, 38.63437302556671)	(115, 38.602327639502974)	(120, 38.55876754976456)	(125, 38.52102960701482)	(130, 38.459928615989305)	(135, 38.430401936610885)	(140, 38.376156995697684)	(145, 38.336102757671576)	(150, 38.12425438334705)
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R1_001	(1, 38.91612963386732)	(2, 38.792974927022115)	(3, 38.93865367436245)	(4, 39.081870177469064)	(5, 39.18570503670423)	(6, 39.24776271503031)	(7, 39.22040482953757)	(8, 39.28626551434375)	(9, 39.25872313616037)	(10, 39.29881368531909)	(15, 39.3306834825792)	(20, 39.365778437646185)	(25, 39.276984502717404)	(30, 39.25722796012959)	(35, 39.233306599668445)	(40, 39.24226714788413)	(45, 39.156107383335986)	(50, 39.19678183417723)	(55, 39.14135845261421)	(60, 39.06197526915501)	(65, 39.06745625806259)	(70, 39.0082370729627)	(75, 39.01892321279919)	(80, 38.974077688389116)	(85, 38.935154356597955)	(90, 38.91053765979367)	(95, 38.865426492382376)	(100, 38.83781855417916)	(105, 38.775570581097924)	(110, 38.762973466233795)	(115, 38.677273274005245)	(120, 38.630439156787666)	(125, 38.64315418537639)	(130, 38.63603987808026)	(135, 38.58421406606716)	(140, 38.5241017215248)	(145, 38.53755165438568)	(150, 38.327104978629805)
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R2_001	(1, 38.91445332256679)	(2, 38.949799918742144)	(3, 39.14128999845621)	(4, 39.18856678644708)	(5, 39.1446427796213)	(6, 39.24926910774237)	(7, 39.26973313957177)	(8, 39.27948906700011)	(9, 39.29072692002197)	(10, 39.30304033351061)	(15, 39.31078461154333)	(20, 39.286921304818954)	(25, 39.272376029594994)	(30, 39.21962767002084)	(35, 39.221786989403924)	(40, 39.18950037006431)	(45, 39.14889453332391)	(50, 39.13321117652735)	(55, 39.08530629437065)	(60, 39.06474187910379)	(65, 39.01439906678315)	(70, 38.94831820135008)	(75, 38.89912147463827)	(80, 38.87633426198308)	(85, 38.84514978119853)	(90, 38.77880542509853)	(95, 38.75997744998947)	(100, 38.71077956920733)	(105, 38.66234175473996)	(110, 38.605369887920816)	(115, 38.57172881881239)	(120, 38.525293193672994)	(125, 38.48491640197792)	(130, 38.42086307267699)	(135, 38.38961752130275)	(140, 38.33200312961264)	(145, 38.28953184778099)	(150, 38.07379498389875)
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R1_001	(1, 38.941553490248104)	(2, 38.65560733234456)	(3, 38.86873210395232)	(4, 39.07967595579342)	(5, 39.216909019656995)	(6, 39.25404410993374)	(7, 39.193279724117986)	(8, 39.283732539422196)	(9, 39.26489905350512)	(10, 39.30689848135875)	(15, 39.33982696005836)	(20, 39.375617266306975)	(25, 39.28951902104604)	(30, 39.267816543298835)	(35, 39.24493112756971)	(40, 39.25279419638834)	(45, 39.16833228703602)	(50, 39.207470839817326)	(55, 39.153621864486084)	(60, 39.07568166033407)	(65, 39.08142734215484)	(70, 39.02305462975885)	(75, 39.03406360593378)	(80, 38.99040481148687)	(85, 38.951684963424704)	(90, 38.92839829982577)	(95, 38.88380033986853)	(100, 38.85712828426564)	(105, 38.79647727563285)	(110, 38.78402481713245)	(115, 38.69993812874899)	(120, 38.653087298421845)	(125, 38.66547727176587)	(130, 38.658314031550105)	(135, 38.60687738864516)	(140, 38.546640294367)	(145, 38.55960960857355)	(150, 38.348795748533604)
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R2_001	(1, 38.96652596817702)	(2, 39.02461545586818)	(3, 39.190176569645615)	(4, 39.24163531985888)	(5, 39.21032789267126)	(6, 39.30892855836739)	(7, 39.32512487587653)	(8, 39.32703209010895)	(9, 39.34401221422069)	(10, 39.354677894743816)	(15, 39.35716693232204)	(20, 39.331557160193356)	(25, 39.321997432689216)	(30, 39.265592992645864)	(35, 39.26702403569305)	(40, 39.23648116746824)	(45, 39.196499718714385)	(50, 39.181392042876624)	(55, 39.13420674549469)	(60, 39.11393387704307)	(65, 39.06480932259103)	(70, 38.998863558773316)	(75, 38.95131198206317)	(80, 38.929130442123395)	(85, 38.89840673092325)	(90, 38.83353500488066)	(95, 38.81535958857127)	(100, 38.7672856371626)	(105, 38.71942715142447)	(110, 38.66331560523522)	(115, 38.630071265793774)	(120, 38.584525446038484)	(125, 38.545135615135045)	(130, 38.48228548782747)	(135, 38.45108900794399)	(140, 38.39498968725742)	(145, 38.35326541883603)	(150, 38.13434451884004)
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R1_001	(1, 38.88945338271538)	(2, 38.65701621513114)	(3, 38.821951478872904)	(4, 39.00267458166542)	(5, 39.13333717205842)	(6, 39.22472731647267)	(7, 39.168442967948295)	(8, 39.252163224917666)	(9, 39.215618242744426)	(10, 39.25699343297307)	(15, 39.29517130164244)	(20, 39.33224509911442)	(25, 39.24203794147708)	(30, 39.22213344322925)	(35, 39.19890438774821)	(40, 39.20755204558199)	(45, 39.121880752519324)	(50, 39.161595942713305)	(55, 39.10619120248665)	(60, 39.02673836213968)	(65, 39.03094185398168)	(70, 38.97185874290671)	(75, 38.981996535969635)	(80, 38.93665777747142)	(85, 38.897220239870855)	(90, 38.87176379060158)	(95, 38.8266349142754)	(100, 38.79784595531446)	(105, 38.73577356319176)	(110, 38.72207742208928)	(115, 38.63685584445772)	(120, 38.58895395465532)	(125, 38.60119022893292)	(130, 38.59380663243335)	(135, 38.5420546921665)	(140, 38.481389862001905)	(145, 38.49383087180986)	(150, 38.28190477575397)
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R2_001	(1, 38.783896219147884)	(2, 38.76332773943704)	(3, 38.9706865192868)	(4, 39.05002405142707)	(5, 39.03902991796397)	(6, 39.14051566323101)	(7, 39.16022709345967)	(8, 39.17660666205613)	(9, 39.17381876151907)	(10, 39.19307359053231)	(15, 39.193206595277935)	(20, 39.16844492921299)	(25, 39.17961522378812)	(30, 39.14194420596155)	(35, 39.14885966554322)	(40, 39.11853509002766)	(45, 39.0801404167884)	(50, 39.06538513417015)	(55, 39.019748516071985)	(60, 39.000687559355114)	(65, 38.95190032025366)	(70, 38.886727395655534)	(75, 38.83860222434998)	(80, 38.81671302997138)	(85, 38.786266087160755)	(90, 38.721165653688296)	(95, 38.70264266931371)	(100, 38.653905836057355)	(105, 38.60564409873028)	(110, 38.54990710293427)	(115, 38.51552685049474)	(120, 38.469916491619415)	(125, 38.4296922415664)	(130, 38.36617551285729)	(135, 38.334854669798084)	(140, 38.27881534633116)	(145, 38.23655788478079)	(150, 38.017903249750916)
trimmed_fastp | fastqc_results | Control_MNP_III_S56_L002_R1_filtered	(1, 39.009192098113836)	(2, 38.742678865516105)	(3, 38.92616887662057)	(4, 39.125122894581196)	(5, 39.22611629450084)	(6, 39.293177746913074)	(7, 39.22102774901864)	(8, 39.31653766848756)	(9, 39.29965899774534)	(10, 39.33754630280548)	(15, 39.37247065473844)	(20, 39.4121893790947)	(25, 39.33400510570107)	(30, 39.32066508869723)	(35, 39.30470518465012)	(40, 39.320067869631245)	(45, 39.24130404415685)	(50, 39.288921075735935)	(55, 39.24119448425062)	(60, 39.16880088069938)	(65, 39.181654880998266)	(70, 39.128294473454744)	(75, 39.14559564521443)	(80, 39.10680719767634)	(85, 39.07421618690471)	(90, 39.05685097728616)	(95, 39.01722019382316)	(100, 38.99671934272182)	(105, 38.94107014523679)	(110, 38.934649458213315)	(115, 38.853858206464984)	(120, 38.81341147677087)	(125, 38.83161513955265)	(130, 38.82911489530677)	(135, 38.78153797280173)	(140, 38.72571322600037)	(145, 38.74262876656084)	(150, 38.53544364853194)
trimmed_fastp | fastqc_results | Control_MNP_III_S56_L002_R2_filtered	(1, 39.06452211540979)	(2, 39.134331351576726)	(3, 39.31169569748513)	(4, 39.358405479466605)	(5, 39.33317732959467)	(6, 39.445097885826996)	(7, 39.45053964202427)	(8, 39.456348266630044)	(9, 39.481641487823595)	(10, 39.49487398691214)	(15, 39.50257459813186)	(20, 39.48300950006393)	(25, 39.48687172580511)	(30, 39.435209419862915)	(35, 39.446133483466795)	(40, 39.421651838837704)	(45, 39.389372719592004)	(50, 39.38316135173862)	(55, 39.34003348204532)	(60, 39.32977705981081)	(65, 39.287987321983294)	(70, 39.232398240562546)	(75, 39.19176752068607)	(80, 39.1781987716719)	(85, 39.156185674965485)	(90, 39.09888007932407)	(95, 39.09008432997239)	(100, 39.05037347107803)	(105, 39.01172559647022)	(110, 38.9634960422013)	(115, 38.93865030036742)	(120, 38.90202011235366)	(125, 38.87132132147618)	(130, 38.81624372396076)	(135, 38.79432986946912)	(140, 38.74557831816403)	(145, 38.711333388014815)	(150, 38.499118300888114)
trimmed_fastp | fastqc_results | Control_MNP_II_S55_L002_R1_filtered	(1, 39.04037391790279)	(2, 38.82503364938451)	(3, 39.031207530360746)	(4, 39.15808003736419)	(5, 39.30584040347153)	(6, 39.361372626521664)	(7, 39.2497413641001)	(8, 39.370597498830584)	(9, 39.33654970967784)	(10, 39.37587982455459)	(15, 39.40620598169746)	(20, 39.441743071226455)	(25, 39.36581399751195)	(30, 39.35581987346043)	(35, 39.33794547412623)	(40, 39.35437708617967)	(45, 39.27721119224079)	(50, 39.32472974650011)	(55, 39.27776219767294)	(60, 39.20578337214387)	(65, 39.2186484336406)	(70, 39.16632118120349)	(75, 39.1836353657064)	(80, 39.14532017239517)	(85, 39.113199230499994)	(90, 39.09602423280395)	(95, 39.057315352307995)	(100, 39.036467318945)	(105, 38.98165231402268)	(110, 38.975383779240055)	(115, 38.895126100065845)	(120, 38.85545600513587)	(125, 38.87325894312435)	(130, 38.870718027856874)	(135, 38.823128621414824)	(140, 38.7676200331232)	(145, 38.784904186194595)	(150, 38.580824399438825)
trimmed_fastp | fastqc_results | Control_MNP_II_S55_L002_R2_filtered	(1, 39.05020982343047)	(2, 39.11472327725322)	(3, 39.30442983759735)	(4, 39.350749963520464)	(5, 39.3129785780446)	(6, 39.414335966132384)	(7, 39.430730153016505)	(8, 39.44527077930976)	(9, 39.462470747493285)	(10, 39.4740969220736)	(15, 39.485773166791965)	(20, 39.46791310043374)	(25, 39.46320540540893)	(30, 39.418191925726155)	(35, 39.42599019529799)	(40, 39.40385816210183)	(45, 39.37018214265224)	(50, 39.36282598673031)	(55, 39.323148220214385)	(60, 39.3091809799925)	(65, 39.26541344816226)	(70, 39.205782488183246)	(75, 39.16240138811958)	(80, 39.14607521084402)	(85, 39.12119047285876)	(90, 39.06127516211832)	(95, 39.04998101417475)	(100, 39.00855564847232)	(105, 38.96758038636269)	(110, 38.91821267723178)	(115, 38.89120133827528)	(120, 38.852327747128314)	(125, 38.820153892888655)	(130, 38.76377962200693)	(135, 38.73992812670095)	(140, 38.689720260363984)	(145, 38.65354679640476)	(150, 38.43992655115687)
trimmed_fastp | fastqc_results | Control_MNP_I_S54_L002_R1_filtered	(1, 38.998444920573796)	(2, 38.73147797081338)	(3, 38.94923853561689)	(4, 39.13624678993796)	(5, 39.27625213800272)	(6, 39.34185386342281)	(7, 39.26089380290469)	(8, 39.410286278356295)	(9, 39.349152188592186)	(10, 39.38331826755536)	(15, 39.41402648339348)	(20, 39.44894380168959)	(25, 39.37402997221117)	(30, 39.361252073102946)	(35, 39.34513866210473)	(40, 39.361253093707475)	(45, 39.2833200200514)	(50, 39.33077190082785)	(55, 39.28369318141618)	(60, 39.21299326125093)	(65, 39.22525795174454)	(70, 39.173378723689765)	(75, 39.19082574406266)	(80, 39.15241153146802)	(85, 39.12101257443898)	(90, 39.10358768886558)	(95, 39.065406172050416)	(100, 39.04424226366033)	(105, 38.99094974044898)	(110, 38.983743216471666)	(115, 38.90528938692398)	(120, 38.8641451506153)	(125, 38.88328995635534)	(130, 38.88022857731189)	(135, 38.83348134076057)	(140, 38.77800449229652)	(145, 38.79564315862025)	(150, 38.59183729968068)
trimmed_fastp | fastqc_results | Control_MNP_I_S54_L002_R2_filtered	(1, 39.0756697464473)	(2, 39.13106827330738)	(3, 39.33018622676401)	(4, 39.368994527837174)	(5, 39.34779991994482)	(6, 39.4512958664991)	(7, 39.45862616036649)	(8, 39.47480609019467)	(9, 39.49177873536505)	(10, 39.50422660881785)	(15, 39.513991118880575)	(20, 39.4955960243491)	(25, 39.493848269021974)	(30, 39.447612931771005)	(35, 39.45894389509674)	(40, 39.434693479182194)	(45, 39.401283027666196)	(50, 39.39372084500161)	(55, 39.35533928210126)	(60, 39.34137655775586)	(65, 39.299572706446035)	(70, 39.23970662659367)	(75, 39.19881230553129)	(80, 39.18355948256974)	(85, 39.16053573477613)	(90, 39.101908368640856)	(95, 39.09203825020362)	(100, 39.05208582050384)	(105, 39.01185198900641)	(110, 38.96416557251202)	(115, 38.938041242101896)	(120, 38.90124598993392)	(125, 38.86947567726655)	(130, 38.8144691382281)	(135, 38.79150059193745)	(140, 38.74301659681132)	(145, 38.70795674623612)	(150, 38.498643661252174)
trimmed_fastp | fastqc_results | Only_MNP_C1_S57_L002_R1_filtered	(1, 38.975050999645)	(2, 38.853659667107934)	(3, 39.00150247594897)	(4, 39.12553539641919)	(5, 39.24380793767446)	(6, 39.28557310739963)	(7, 39.26439430075715)	(8, 39.34438336650206)	(9, 39.30525613191985)	(10, 39.34136840666825)	(15, 39.37325179123478)	(20, 39.41052263528137)	(25, 39.3337412867544)	(30, 39.320014684571234)	(35, 39.30390971167951)	(40, 39.3181086533261)	(45, 39.24060711642793)	(50, 39.285988882818636)	(55, 39.23763712757792)	(60, 39.16505798679903)	(65, 39.17624367468507)	(70, 39.12313655399366)	(75, 39.139194733203055)	(80, 39.10032810483877)	(85, 39.06689454960561)	(90, 39.04935865874867)	(95, 39.00965752126298)	(100, 38.98838566624369)	(105, 38.93237258303294)	(110, 38.9259875116514)	(115, 38.845249092959875)	(120, 38.80510964443066)	(125, 38.82354805697435)	(130, 38.82105994997862)	(135, 38.77382825793954)	(140, 38.71825017004689)	(145, 38.73628348237194)	(150, 38.53113366518504)
trimmed_fastp | fastqc_results | Only_MNP_C1_S57_L002_R2_filtered	(1, 39.02412512771134)	(2, 39.097820045840564)	(3, 39.275659363873146)	(4, 39.32144285993045)	(5, 39.304609091558966)	(6, 39.407150280071036)	(7, 39.42231222311108)	(8, 39.4464313130794)	(9, 39.46416483815112)	(10, 39.47957565323482)	(15, 39.49322042227833)	(20, 39.47502871851138)	(25, 39.473148049333346)	(30, 39.42608981815674)	(35, 39.437382323302415)	(40, 39.41225224385273)	(45, 39.37774104201745)	(50, 39.36983771811389)	(55, 39.33025492940892)	(60, 39.3161129761866)	(65, 39.27306135278373)	(70, 39.212597534007266)	(75, 39.17102581444935)	(80, 39.154170618101155)	(85, 39.129893658706635)	(90, 39.07070535257178)	(95, 39.05972610952665)	(100, 39.01885062052115)	(105, 38.978568246431706)	(110, 38.92986550108194)	(115, 38.90289516759187)	(120, 38.86540522310596)	(125, 38.83315273977665)	(130, 38.77745257731526)	(135, 38.75356070745384)	(140, 38.7051302900242)	(145, 38.66932349231134)	(150, 38.46008999058154)
trimmed_fastp | fastqc_results | Only_MNP_C2_S58_L002_R1_filtered	(1, 38.994745902693985)	(2, 38.886134953261546)	(3, 39.03208337226795)	(4, 39.13227079781861)	(5, 39.288017782625474)	(6, 39.31475358957758)	(7, 39.245192795057605)	(8, 39.37442292376163)	(9, 39.31079484618757)	(10, 39.344617945188006)	(15, 39.375102620535976)	(20, 39.40911378920683)	(25, 39.3310578047945)	(30, 39.3190659422461)	(35, 39.302504318490506)	(40, 39.3187514289589)	(45, 39.2392613962716)	(50, 39.28847556886574)	(55, 39.23894097912476)	(60, 39.166646068317476)	(65, 39.17912293201037)	(70, 39.126151369105465)	(75, 39.14376676451435)	(80, 39.10441945520067)	(85, 39.072407046741205)	(90, 39.05379273288523)	(95, 39.016169619398696)	(100, 38.99304016834822)	(105, 38.939390116752165)	(110, 38.93159619892077)	(115, 38.852661578514514)	(120, 38.81067228700675)	(125, 38.831354657076425)	(130, 38.828116775613196)	(135, 38.782074016475214)	(140, 38.72614632769516)	(145, 38.74484255410165)	(150, 38.54035540868314)
trimmed_fastp | fastqc_results | Only_MNP_C2_S58_L002_R2_filtered	(1, 39.0765992365261)	(2, 39.14437095726028)	(3, 39.31995466128314)	(4, 39.37095945444004)	(5, 39.35303941952227)	(6, 39.45485564524131)	(7, 39.46387455186822)	(8, 39.472822846347576)	(9, 39.48926298496181)	(10, 39.50679627043193)	(15, 39.515793102451504)	(20, 39.49433813000865)	(25, 39.49411357905757)	(30, 39.444602924315326)	(35, 39.45745859217978)	(40, 39.43321260146579)	(45, 39.3996066863487)	(50, 39.39077267606005)	(55, 39.351855750783706)	(60, 39.336153255147835)	(65, 39.29410620813468)	(70, 39.233509478395014)	(75, 39.19158223314443)	(80, 39.17518497203843)	(85, 39.152363032503146)	(90, 39.093374810669694)	(95, 39.08396130640984)	(100, 39.04381806788329)	(105, 39.00375880651396)	(110, 38.956012991006176)	(115, 38.93039576280753)	(120, 38.89468118904933)	(125, 38.86240735907539)	(130, 38.80831999208938)	(135, 38.78472835847249)	(140, 38.737078173584514)	(145, 38.70176552092929)	(150, 38.496979292308964)
trimmed_fastp | fastqc_results | Only_MNP_C3_S59_L002_R1_filtered	(1, 39.005740869486296)	(2, 38.80858819551167)	(3, 38.979544945866735)	(4, 39.138357071336394)	(5, 39.23170957920852)	(6, 39.305056544655386)	(7, 39.24457872525922)	(8, 39.355468885313115)	(9, 39.319886673970565)	(10, 39.358839320285455)	(15, 39.39234361491198)	(20, 39.4313321209933)	(25, 39.356837883668405)	(30, 39.344039779408334)	(35, 39.32850659895007)	(40, 39.34352361813764)	(45, 39.26670015269827)	(50, 39.31174114993557)	(55, 39.26413795711214)	(60, 39.19194115673141)	(65, 39.20324999042193)	(70, 39.15009647461635)	(75, 39.166663608151644)	(80, 39.127576635720786)	(85, 39.094529967032535)	(90, 39.076555872609205)	(95, 39.037361833652525)	(100, 39.01602332916858)	(105, 38.96037631906925)	(110, 38.953920131000736)	(115, 38.87359791622585)	(120, 38.832867762109316)	(125, 38.849930402034154)	(130, 38.84740614659446)	(135, 38.79963791573501)	(140, 38.74417277333943)	(145, 38.761410247647376)	(150, 38.55689100112498)
trimmed_fastp | fastqc_results | Only_MNP_C3_S59_L002_R2_filtered	(1, 39.01524540194468)	(2, 39.100674391159934)	(3, 39.281980330676646)	(4, 39.34087019514327)	(5, 39.31567574206061)	(6, 39.41084110395891)	(7, 39.42758859711486)	(8, 39.44015239901428)	(9, 39.46305789234743)	(10, 39.479080363398175)	(15, 39.491901913610064)	(20, 39.47266487356375)	(25, 39.47284558026619)	(30, 39.42636788679256)	(35, 39.436983877200184)	(40, 39.41092972612077)	(45, 39.376680522402395)	(50, 39.36762539087088)	(55, 39.3282245014781)	(60, 39.31307472330642)	(65, 39.27081867964724)	(70, 39.21064946711074)	(75, 39.17026168172856)	(80, 39.15359753936132)	(85, 39.12984112294923)	(90, 39.071138334307456)	(95, 39.06117889185729)	(100, 39.02079286216059)	(105, 38.981251560977924)	(110, 38.932844067566705)	(115, 38.90699775313155)	(120, 38.86979314690896)	(125, 38.83873700922161)	(130, 38.78391445983058)	(135, 38.760414850143164)	(140, 38.71238451813203)	(145, 38.677315850272414)	(150, 38.467398978781624)
trimmed_fastp | fastqc_results | Only_MNP_C4_S60_L002_R1_filtered	(1, 38.97129963779777)	(2, 38.81338891680277)	(3, 38.966969131787934)	(4, 39.11813206562623)	(5, 39.202411782805044)	(6, 39.24534996217456)	(7, 39.179083265611865)	(8, 39.33270949154712)	(9, 39.268137684239086)	(10, 39.30472847991997)	(15, 39.34128463588088)	(20, 39.37814512497878)	(25, 39.299244841952344)	(30, 39.28460892685843)	(35, 39.26869413707383)	(40, 39.28521974885528)	(45, 39.20561669184715)	(50, 39.253997565689076)	(55, 39.204076936971695)	(60, 39.131914191138826)	(65, 39.14244645099921)	(70, 39.089103917288014)	(75, 39.1049459999835)	(80, 39.06456293963524)	(85, 39.03196187978834)	(90, 39.01180768792134)	(95, 38.97272890925233)	(100, 38.94878025988681)	(105, 38.893382696414776)	(110, 38.88543336832589)	(115, 38.80519010853167)	(120, 38.76235985064581)	(125, 38.78178060893311)	(130, 38.777956406650716)	(135, 38.73091857767758)	(140, 38.67481509531351)	(145, 38.69219405271531)	(150, 38.48536577606814)
trimmed_fastp | fastqc_results | Only_MNP_C4_S60_L002_R2_filtered	(1, 38.965706802062265)	(2, 39.03442872548844)	(3, 39.231801302144845)	(4, 39.287968045827974)	(5, 39.26245849473962)	(6, 39.37028105291132)	(7, 39.39746073157261)	(8, 39.41499249329851)	(9, 39.42849964525874)	(10, 39.43902371622271)	(15, 39.45471395792193)	(20, 39.43681553187181)	(25, 39.430619894427345)	(30, 39.38699386966515)	(35, 39.3945063075411)	(40, 39.373780475314916)	(45, 39.341797496503254)	(50, 39.334474179106735)	(55, 39.29628611929636)	(60, 39.282865463340485)	(65, 39.241220706738915)	(70, 39.181187922185174)	(75, 39.139678755827845)	(80, 39.12312980432411)	(85, 39.10014932197507)	(90, 39.0408693665111)	(95, 39.03061537942766)	(100, 38.98978952549059)	(105, 38.94984548851051)	(110, 38.90135736005301)	(115, 38.87491217565497)	(120, 38.83818643744945)	(125, 38.805521092098346)	(130, 38.75087941439608)	(135, 38.72660959087083)	(140, 38.678722718130004)	(145, 38.64263684785745)	(150, 38.433881411581176)
trimmed_fastp | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_filtered	(1, 39.00282645471754)	(2, 38.79470898940151)	(3, 38.957291447453585)	(4, 39.10924378638218)	(5, 39.25235968759635)	(6, 39.31071011353572)	(7, 39.254440289006226)	(8, 39.35591762462429)	(9, 39.32145528449922)	(10, 39.356970544100214)	(15, 39.38870096425344)	(20, 39.42648191132361)	(25, 39.35088927218358)	(30, 39.33687681281438)	(35, 39.32169230515909)	(40, 39.33658837040067)	(45, 39.25966080414592)	(50, 39.305337300620145)	(55, 39.25799638845891)	(60, 39.18641501496198)	(65, 39.198238104122744)	(70, 39.14568804119535)	(75, 39.162712272982915)	(80, 39.124575825133576)	(85, 39.0919107147004)	(90, 39.07459935277704)	(95, 39.03610528502733)	(100, 39.01519899906405)	(105, 38.96058458869386)	(110, 38.954287596062315)	(115, 38.87484536322211)	(120, 38.8349417705335)	(125, 38.85297709396873)	(130, 38.85068210122925)	(135, 38.803368092868894)	(140, 38.747824803081386)	(145, 38.76616886105655)	(150, 38.56223386989586)
trimmed_fastp | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_filtered	(1, 39.04339049354095)	(2, 39.0940627654395)	(3, 39.28947322755456)	(4, 39.34919359126739)	(5, 39.30755738025057)	(6, 39.409369566072485)	(7, 39.439755960113494)	(8, 39.45277517891537)	(9, 39.47041965424745)	(10, 39.482400721301175)	(15, 39.49869464704623)	(20, 39.48225018788655)	(25, 39.478840368410374)	(30, 39.4366336976647)	(35, 39.44728926237175)	(40, 39.42309246540917)	(45, 39.38966271796731)	(50, 39.38262602437726)	(55, 39.34415144232257)	(60, 39.33054329255197)	(65, 39.28835086489342)	(70, 39.22885431651894)	(75, 39.18858626337841)	(80, 39.17205206687868)	(85, 39.14835042975518)	(90, 39.09014343962015)	(95, 39.07948362151083)	(100, 39.039097348754346)	(105, 38.99962997925011)	(110, 38.951165504952826)	(115, 38.924967282786966)	(120, 38.887628538636754)	(125, 38.85629936537431)	(130, 38.801315251203825)	(135, 38.77800686742968)	(140, 38.73069666985045)	(145, 38.695351950540875)	(150, 38.48689981903519)
