Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R1_001	(1, 38.97004412116645)	(2, 38.7561128210216)	(3, 38.925604099785886)	(4, 39.08596226970115)	(5, 39.18153972037457)	(6, 39.257722040457224)	(7, 39.19915327129194)	(8, 39.310551534095)	(9, 39.27652830757422)	(10, 39.31570390808425)	(15, 39.3497283951567)	(20, 39.387273283017336)	(25, 39.30302583708286)	(30, 39.282002031734535)	(35, 39.25987646545291)	(40, 39.267649018881535)	(45, 39.18410680473177)	(50, 39.22175572365802)	(55, 39.16760963876298)	(60, 39.08887524943267)	(65, 39.09346133513542)	(70, 39.03451843262263)	(75, 39.044936046840995)	(80, 39.00073056887298)	(85, 38.96131951347458)	(90, 38.93696226977387)	(95, 38.89165395617148)	(100, 38.864447161112835)	(105, 38.8019185757809)	(110, 38.78968359999913)	(115, 38.70408305690823)	(120, 38.65716444836106)	(125, 38.66775542721829)	(130, 38.6606190354241)	(135, 38.60818925463589)	(140, 38.548017181739255)	(145, 38.5603875698585)	(150, 38.350874985670316)
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R2_001	(1, 38.92465785375679)	(2, 38.990194532290936)	(3, 39.16457216177846)	(4, 39.21917073461904)	(5, 39.19052755872573)	(6, 39.28221318544951)	(7, 39.29640345785157)	(8, 39.30537492519212)	(9, 39.32616040385683)	(10, 39.338719391512974)	(15, 39.343039599397976)	(20, 39.3168708314577)	(25, 39.308803599838164)	(30, 39.25373484931046)	(35, 39.25570033538997)	(40, 39.221214904979334)	(45, 39.17993464863872)	(50, 39.16318466933884)	(55, 39.11598206173583)	(60, 39.094660840536974)	(65, 39.045955776567254)	(70, 38.98001965668698)	(75, 38.93361236344539)	(80, 38.91092393822421)	(85, 38.880530955023595)	(90, 38.81557834986693)	(95, 38.7975661187827)	(100, 38.74926518120943)	(105, 38.70143067683843)	(110, 38.645869685737445)	(115, 38.61235923546928)	(120, 38.56709126113596)	(125, 38.52826828217459)	(130, 38.46553765788582)	(135, 38.43389804242874)	(140, 38.378203293868346)	(145, 38.33645961995289)	(150, 38.119722848971826)
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R1_001	(1, 38.9303055330881)	(2, 38.75190775173562)	(3, 38.903615006737716)	(4, 39.0571889834891)	(5, 39.144747085155316)	(6, 39.190133674969005)	(7, 39.126390524152875)	(8, 39.28238079010722)	(9, 39.219119056702944)	(10, 39.25642685554599)	(15, 39.294096084384435)	(20, 39.32968840498948)	(25, 39.24063526444847)	(30, 39.21777731355704)	(35, 39.19543070797706)	(40, 39.205004756178454)	(45, 39.11905405147935)	(50, 39.16047470945134)	(55, 39.10460360756376)	(60, 39.02655956367424)	(65, 39.03105332423911)	(70, 38.9727810276194)	(75, 38.98336101213927)	(80, 38.93869466040318)	(85, 38.90067628039763)	(90, 38.87518289137446)	(95, 38.83105799672813)	(100, 38.80243863538989)	(105, 38.74141772165906)	(110, 38.72858862322312)	(115, 38.64433206026615)	(120, 38.59654845731889)	(125, 38.6103674338811)	(130, 38.603057682722415)	(135, 38.552153717402135)	(140, 38.49214181831617)	(145, 38.50564683842212)	(150, 38.2945078035615)
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R2_001	(1, 38.868860627918984)	(2, 38.90963291318994)	(3, 39.098575128086495)	(4, 39.14777559191065)	(5, 39.11681714251176)	(6, 39.22138583774982)	(7, 39.24574760608202)	(8, 39.25956050808015)	(9, 39.26997928023656)	(10, 39.27654393521638)	(15, 39.28351346481716)	(20, 39.2590415498623)	(25, 39.244617110006274)	(30, 39.19296904178045)	(35, 39.19254461527204)	(40, 39.164018024019654)	(45, 39.12590467066747)	(50, 39.111704866549175)	(55, 39.0666902616964)	(60, 39.04805476820403)	(65, 39.00114234475924)	(70, 38.936248893146704)	(75, 38.88977805439117)	(80, 38.86836850942372)	(85, 38.839803513792184)	(90, 38.77568455103976)	(95, 38.75876170700866)	(100, 38.71170565131719)	(105, 38.66503774549417)	(110, 38.61077530473974)	(115, 38.57802424327328)	(120, 38.53487499913909)	(125, 38.49539306127665)	(130, 38.43421358664747)	(135, 38.40327734224293)	(140, 38.348894403480315)	(145, 38.307517022672926)	(150, 38.09312300160694)
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_001	(1, 38.96653455088086)	(2, 38.73725092231653)	(3, 38.89674118987476)	(4, 39.050501428958114)	(5, 39.19735608769444)	(6, 39.25929468986076)	(7, 39.205410457302364)	(8, 39.308669005126994)	(9, 39.27583134471049)	(10, 39.31212608749239)	(15, 39.34494912902127)	(20, 39.381356190516286)	(25, 39.29593896490423)	(30, 39.27368398495615)	(35, 39.251996065554366)	(40, 39.25976848107739)	(45, 39.17630990979832)	(50, 39.21479338429522)	(55, 39.16114691055261)	(60, 39.083223305113975)	(65, 39.08870111167611)	(70, 39.030746941698034)	(75, 39.04199708502942)	(80, 38.998985375119204)	(85, 38.96046526279032)	(90, 38.937215147692015)	(95, 38.892946407390085)	(100, 38.866700440917796)	(105, 38.805774164925054)	(110, 38.79397516471008)	(115, 38.70997830805707)	(120, 38.66424629913306)	(125, 38.67612209460935)	(130, 38.66971762448544)	(135, 38.61819930691276)	(140, 38.55818745696581)	(145, 38.5720920904712)	(150, 38.36337837183268)
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_001	(1, 38.953093671221886)	(2, 38.971168901995156)	(3, 39.15644385257415)	(4, 39.20799151920113)	(5, 39.158895449248064)	(6, 39.25660601317325)	(7, 39.28411598246452)	(8, 39.29257026512853)	(9, 39.306891282578945)	(10, 39.314381651814436)	(15, 39.32114996627529)	(20, 39.297444772327275)	(25, 39.284992495738365)	(30, 39.23402841459642)	(35, 39.23601002420749)	(40, 39.20332769503589)	(45, 39.16305877681465)	(50, 39.14840171889249)	(55, 39.10237576318152)	(60, 39.08292003791182)	(65, 39.03471403661045)	(70, 38.96978490538809)	(75, 38.92396702878088)	(80, 38.90205625877644)	(85, 38.87206330735036)	(90, 38.80823031291207)	(95, 38.79007108871272)	(100, 38.742496519708006)	(105, 38.69544510689569)	(110, 38.64044204616545)	(115, 38.60717128769079)	(120, 38.56269409947454)	(125, 38.52414250312332)	(130, 38.461979349374616)	(135, 38.43144118624865)	(140, 38.37701907210028)	(145, 38.33566065250569)	(150, 38.12119221177649)
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_001	(1, 38.92751487690727)	(2, 38.772726789413966)	(3, 38.92829078809503)	(4, 39.03521089706543)	(5, 39.19258967278352)	(6, 39.205477198027175)	(7, 39.18565566533337)	(8, 39.24885493813372)	(9, 39.22175636636805)	(10, 39.261565886470635)	(15, 39.29911156219638)	(20, 39.33427576958502)	(25, 39.244346649576286)	(30, 39.22407606081995)	(35, 39.20258975865218)	(40, 39.21257958377928)	(45, 39.1263173876297)	(50, 39.16910085052349)	(55, 39.11250002396429)	(60, 39.03367705072294)	(65, 39.039654692294796)	(70, 38.981092673764465)	(75, 38.99131439906184)	(80, 38.9470698896984)	(85, 38.9080774236346)	(90, 38.882915539855254)	(95, 38.838174877158266)	(100, 38.81013091878167)	(105, 38.748241979250494)	(110, 38.735860587760214)	(115, 38.64957457715281)	(120, 38.6032137451341)	(125, 38.61749817311596)	(130, 38.61031534469656)	(135, 38.559318358751135)	(140, 38.49963555598761)	(145, 38.51373978060185)	(150, 38.30214447968318)
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_001	(1, 38.790755608323344)	(2, 38.83371385664254)	(3, 39.04111825038262)	(4, 39.10015016222331)	(5, 39.061836562867775)	(6, 39.1777187022129)	(7, 39.208067531822195)	(8, 39.22168121114836)	(9, 39.239647577922874)	(10, 39.25474567997245)	(15, 39.26735665656226)	(20, 39.246133893865064)	(25, 39.2330818084946)	(30, 39.182991142945276)	(35, 39.1845518905066)	(40, 39.15416350009183)	(45, 39.1150488926994)	(50, 39.10020125488435)	(55, 39.05413150313968)	(60, 39.03429525999976)	(65, 38.98620137116953)	(70, 38.92007846849354)	(75, 38.872192824869146)	(80, 38.84985163167459)	(85, 38.82048972945522)	(90, 38.75437917382327)	(95, 38.73710434139887)	(100, 38.689068751431115)	(105, 38.641090666080984)	(110, 38.58628710611758)	(115, 38.55256775581374)	(120, 38.50834665975808)	(125, 38.46813398385801)	(130, 38.406020740230744)	(135, 38.374661751971765)	(140, 38.319156201980306)	(145, 38.277030170849486)	(150, 38.06112719586757)
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_001	(1, 38.98089281476005)	(2, 38.7116593839128)	(3, 38.91178226470856)	(4, 39.081231593658345)	(5, 39.21291592482146)	(6, 39.26177893046171)	(7, 39.21860891085878)	(8, 39.322574458568745)	(9, 39.2869300471773)	(10, 39.326552014601575)	(15, 39.35629463825237)	(20, 39.38925361000768)	(25, 39.300951206960505)	(30, 39.27911957436276)	(35, 39.25373912906523)	(40, 39.261065211054415)	(45, 39.17467966463788)	(50, 39.21303831838028)	(55, 39.157980084307084)	(60, 39.0781653684679)	(65, 39.08217600627058)	(70, 39.0228910367228)	(75, 39.03214569240207)	(80, 38.9875748827885)	(85, 38.94694735002169)	(90, 38.92288692127871)	(95, 38.876472058301154)	(100, 38.84892631048351)	(105, 38.78650974868516)	(110, 38.773180591206106)	(115, 38.687583262904226)	(120, 38.63963453849682)	(125, 38.650075892996085)	(130, 38.64226814223586)	(135, 38.589391623915226)	(140, 38.5282200585666)	(145, 38.539804690265)	(150, 38.3270832341105)
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_001	(1, 38.930770148816)	(2, 38.99118511071524)	(3, 39.1750861029472)	(4, 39.22527170516045)	(5, 39.19314521636619)	(6, 39.28628485377956)	(7, 39.29733361654205)	(8, 39.30436046313543)	(9, 39.32569090512208)	(10, 39.33749693656519)	(15, 39.33842872236929)	(20, 39.31034276722928)	(25, 39.301915666406096)	(30, 39.244390488796995)	(35, 39.24394257421873)	(40, 39.20903336021407)	(45, 39.16734400691466)	(50, 39.14983895380916)	(55, 39.10154227211025)	(60, 39.07873342201046)	(65, 39.028037450792894)	(70, 38.96129346627674)	(75, 38.91198917140181)	(80, 38.888479703354335)	(85, 38.85663955525731)	(90, 38.79078601871633)	(95, 38.771321190777584)	(100, 38.72204151485236)	(105, 38.67268184037553)	(110, 38.61657758950655)	(115, 38.58168396708386)	(120, 38.535725449142106)	(125, 38.49520628793829)	(130, 38.43186620898039)	(135, 38.39988698799961)	(140, 38.34286903123291)	(145, 38.30027038413706)	(150, 38.081583271750006)
