Sample	Unique Reads	Duplicate Reads
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R1_paired	114554312.0	11497620.0
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R1_unpaired	1356681.0	44300.0
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R2_paired	114211727.0	11840205.0
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R2_unpaired	290270.0	11041.0
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R1_paired	112755013.0	10999027.0
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R1_unpaired	1238951.0	38280.0
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R2_paired	112433116.0	11320924.0
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R2_unpaired	301331.0	13609.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R1_paired	102814826.0	10051564.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R1_unpaired	1061946.0	33095.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R2_paired	102354551.0	10511839.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R2_unpaired	265165.0	11552.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R1_paired	109378350.0	10988050.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R1_unpaired	1035863.0	22430.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R2_paired	109117977.0	11248423.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R2_unpaired	292183.0	7784.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R1_paired	110908626.0	11310131.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R1_unpaired	1095306.0	27237.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R2_paired	110495926.0	11722831.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R2_unpaired	287285.0	9940.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R1_paired	109436875.0	10726461.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R1_unpaired	1172668.0	39399.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R2_paired	109022896.0	11140440.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R2_unpaired	298989.0	12502.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_paired	112613991.0	11470536.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_unpaired	1244358.0	40556.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_paired	112380003.0	11704524.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_unpaired	304685.0	12711.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_paired	111111732.0	11339975.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_unpaired	1238451.0	32087.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_paired	110610510.0	11841197.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_unpaired	288795.0	9312.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_paired	100061561.0	9645809.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_unpaired	1096043.0	25646.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_paired	99662211.0	10045159.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_unpaired	282633.0	7869.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_paired	108431386.0	10912013.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_unpaired	1158265.0	25804.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_paired	108207104.0	11136295.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_unpaired	301447.0	10509.0
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R1_paired	140315605.0	15660932.0
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R1_unpaired	1548069.0	58422.0
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_paired	139603962.0	16372575.0
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_unpaired	375217.0	16764.0
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R1_paired	129206432.0	13934264.0
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R1_unpaired	1379838.0	35249.0
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_paired	128509342.0	14631354.0
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_unpaired	344104.0	12640.0
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_paired	157610757.0	18804022.0
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_unpaired	1556925.0	44979.0
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_paired	157011791.0	19402988.0
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_unpaired	458534.0	13871.0
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R1_paired	144258332.0	17067064.0
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R1_unpaired	1840759.0	55177.0
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_paired	143547333.0	17778063.0
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_unpaired	415860.0	13690.0
