Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R1_001	(12.0, 28.0)	(13.0, 784.0)	(14.0, 7231.0)	(15.0, 20449.0)	(16.0, 26416.0)	(17.0, 32473.0)	(18.0, 47438.0)	(19.0, 68711.0)	(20.0, 91348.0)	(21.0, 111678.0)	(22.0, 135436.0)	(23.0, 161559.0)	(24.0, 188627.0)	(25.0, 224045.0)	(26.0, 265924.0)	(27.0, 303207.0)	(28.0, 355737.0)	(29.0, 418363.0)	(30.0, 473600.0)	(31.0, 574196.0)	(32.0, 687852.0)	(33.0, 837813.0)	(34.0, 1134758.0)	(35.0, 1490467.0)	(36.0, 2473947.0)	(37.0, 4206743.0)	(38.0, 10160542.0)	(39.0, 72106817.0)	(40.0, 27149152.0)			
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R2_001	(9.0, 2.0)	(10.0, 88.0)	(11.0, 990.0)	(12.0, 5716.0)	(13.0, 34714.0)	(14.0, 112885.0)	(15.0, 153230.0)	(16.0, 136708.0)	(17.0, 116045.0)	(18.0, 113537.0)	(19.0, 123795.0)	(20.0, 137833.0)	(21.0, 152260.0)	(22.0, 171075.0)	(23.0, 191788.0)	(24.0, 214098.0)	(25.0, 242144.0)	(26.0, 274006.0)	(27.0, 302692.0)	(28.0, 343256.0)	(29.0, 385811.0)	(30.0, 434081.0)	(31.0, 511639.0)	(32.0, 598660.0)	(33.0, 734578.0)	(34.0, 967633.0)	(35.0, 1269411.0)	(36.0, 2116348.0)	(37.0, 3657221.0)	(38.0, 9542632.0)	(39.0, 73059427.0)	(40.0, 27651038.0)
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R1_001	(12.0, 35.0)	(13.0, 987.0)	(14.0, 9419.0)	(15.0, 24956.0)	(16.0, 30437.0)	(17.0, 34981.0)	(18.0, 49736.0)	(19.0, 70928.0)	(20.0, 92426.0)	(21.0, 112689.0)	(22.0, 136069.0)	(23.0, 160926.0)	(24.0, 188936.0)	(25.0, 225770.0)	(26.0, 267976.0)	(27.0, 308148.0)	(28.0, 362659.0)	(29.0, 426683.0)	(30.0, 488084.0)	(31.0, 594112.0)	(32.0, 714324.0)	(33.0, 869901.0)	(34.0, 1185033.0)	(35.0, 1565265.0)	(36.0, 2614687.0)	(37.0, 4461612.0)	(38.0, 10882820.0)	(39.0, 73106192.0)	(40.0, 22833650.0)			
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R2_001	(9.0, 2.0)	(10.0, 95.0)	(11.0, 1187.0)	(12.0, 6644.0)	(13.0, 40525.0)	(14.0, 136097.0)	(15.0, 179382.0)	(16.0, 152198.0)	(17.0, 124941.0)	(18.0, 118146.0)	(19.0, 126489.0)	(20.0, 137514.0)	(21.0, 150280.0)	(22.0, 168010.0)	(23.0, 188578.0)	(24.0, 208213.0)	(25.0, 236232.0)	(26.0, 267666.0)	(27.0, 296115.0)	(28.0, 336307.0)	(29.0, 380300.0)	(30.0, 429307.0)	(31.0, 509289.0)	(32.0, 598854.0)	(33.0, 737260.0)	(34.0, 978962.0)	(35.0, 1291163.0)	(36.0, 2172111.0)	(37.0, 3783525.0)	(38.0, 9947360.0)	(39.0, 73766907.0)	(40.0, 24349782.0)
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_001	(12.0, 31.0)	(13.0, 867.0)	(14.0, 7972.0)	(15.0, 22302.0)	(16.0, 28910.0)	(17.0, 35086.0)	(18.0, 50549.0)	(19.0, 73152.0)	(20.0, 95063.0)	(21.0, 115886.0)	(22.0, 140830.0)	(23.0, 168070.0)	(24.0, 194847.0)	(25.0, 231311.0)	(26.0, 274250.0)	(27.0, 313786.0)	(28.0, 366935.0)	(29.0, 430629.0)	(30.0, 487138.0)	(31.0, 587408.0)	(32.0, 704073.0)	(33.0, 851616.0)	(34.0, 1150966.0)	(35.0, 1509710.0)	(36.0, 2493058.0)	(37.0, 4227886.0)	(38.0, 10130741.0)	(39.0, 72790974.0)	(40.0, 28325800.0)			
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_001	(9.0, 3.0)	(10.0, 95.0)	(11.0, 988.0)	(12.0, 5860.0)	(13.0, 43698.0)	(14.0, 155371.0)	(15.0, 200686.0)	(16.0, 163007.0)	(17.0, 130417.0)	(18.0, 122838.0)	(19.0, 131753.0)	(20.0, 144598.0)	(21.0, 158498.0)	(22.0, 176798.0)	(23.0, 198125.0)	(24.0, 220073.0)	(25.0, 247422.0)	(26.0, 278217.0)	(27.0, 307967.0)	(28.0, 346279.0)	(29.0, 388385.0)	(30.0, 436561.0)	(31.0, 512063.0)	(32.0, 595946.0)	(33.0, 731052.0)	(34.0, 958843.0)	(35.0, 1259061.0)	(36.0, 2082329.0)	(37.0, 3593990.0)	(38.0, 9312248.0)	(39.0, 73239460.0)	(40.0, 29667215.0)
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_001	(12.0, 32.0)	(13.0, 850.0)	(14.0, 7314.0)	(15.0, 19947.0)	(16.0, 25771.0)	(17.0, 32163.0)	(18.0, 47950.0)	(19.0, 69060.0)	(20.0, 89962.0)	(21.0, 110090.0)	(22.0, 133423.0)	(23.0, 160262.0)	(24.0, 186548.0)	(25.0, 223993.0)	(26.0, 266554.0)	(27.0, 306324.0)	(28.0, 362559.0)	(29.0, 424717.0)	(30.0, 484470.0)	(31.0, 592803.0)	(32.0, 713323.0)	(33.0, 870641.0)	(34.0, 1188910.0)	(35.0, 1578508.0)	(36.0, 2655334.0)	(37.0, 4566857.0)	(38.0, 11368792.0)	(39.0, 75597260.0)	(40.0, 22058657.0)			
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_001	(9.0, 5.0)	(10.0, 137.0)	(11.0, 1367.0)	(12.0, 7135.0)	(13.0, 42609.0)	(14.0, 141276.0)	(15.0, 186236.0)	(16.0, 157388.0)	(17.0, 129387.0)	(18.0, 121836.0)	(19.0, 129278.0)	(20.0, 140878.0)	(21.0, 154542.0)	(22.0, 171965.0)	(23.0, 192595.0)	(24.0, 212154.0)	(25.0, 241200.0)	(26.0, 272905.0)	(27.0, 301541.0)	(28.0, 343219.0)	(29.0, 389081.0)	(30.0, 438849.0)	(31.0, 522293.0)	(32.0, 614289.0)	(33.0, 756717.0)	(34.0, 1007476.0)	(35.0, 1333017.0)	(36.0, 2248328.0)	(37.0, 3947096.0)	(38.0, 10638655.0)	(39.0, 76271456.0)	(40.0, 23028164.0)
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_001	(12.0, 26.0)	(13.0, 997.0)	(14.0, 8479.0)	(15.0, 23861.0)	(16.0, 30205.0)	(17.0, 35155.0)	(18.0, 49716.0)	(19.0, 69959.0)	(20.0, 90821.0)	(21.0, 110842.0)	(22.0, 133388.0)	(23.0, 158715.0)	(24.0, 183940.0)	(25.0, 216546.0)	(26.0, 254686.0)	(27.0, 288991.0)	(28.0, 334934.0)	(29.0, 391157.0)	(30.0, 441885.0)	(31.0, 527778.0)	(32.0, 631198.0)	(33.0, 759216.0)	(34.0, 1012373.0)	(35.0, 1318722.0)	(36.0, 2158531.0)	(37.0, 3643122.0)	(38.0, 8687536.0)	(39.0, 63664346.0)	(40.0, 26012389.0)			
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_001	(9.0, 1.0)	(10.0, 80.0)	(11.0, 825.0)	(12.0, 5218.0)	(13.0, 39072.0)	(14.0, 135217.0)	(15.0, 175752.0)	(16.0, 144571.0)	(17.0, 115687.0)	(18.0, 110282.0)	(19.0, 118551.0)	(20.0, 130959.0)	(21.0, 144768.0)	(22.0, 162533.0)	(23.0, 183171.0)	(24.0, 203765.0)	(25.0, 228344.0)	(26.0, 255638.0)	(27.0, 281455.0)	(28.0, 318053.0)	(29.0, 355644.0)	(30.0, 397947.0)	(31.0, 464320.0)	(32.0, 539915.0)	(33.0, 658179.0)	(34.0, 856330.0)	(35.0, 1117439.0)	(36.0, 1831614.0)	(37.0, 3131931.0)	(38.0, 8062885.0)	(39.0, 64158429.0)	(40.0, 26910939.0)
