Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
trimmed_fastp | fastqc_results | Control_MNP_III_S56_L002_R1_filtered	(18.0, 645.0)	(19.0, 7400.0)	(20.0, 29850.0)	(21.0, 56976.0)	(22.0, 89795.0)	(23.0, 124213.0)	(24.0, 158447.0)	(25.0, 199384.0)	(26.0, 244845.0)	(27.0, 285814.0)	(28.0, 343298.0)	(29.0, 410439.0)	(30.0, 470472.0)	(31.0, 578745.0)	(32.0, 703929.0)	(33.0, 860170.0)	(34.0, 1182567.0)	(35.0, 1567299.0)	(36.0, 2629898.0)	(37.0, 4508061.0)	(38.0, 10885265.0)	(39.0, 77473403.0)	(40.0, 28982935.0)									
trimmed_fastp | fastqc_results | Control_MNP_III_S56_L002_R2_filtered	(18.0, 3069.0)	(19.0, 17275.0)	(20.0, 46135.0)	(21.0, 74260.0)	(22.0, 109615.0)	(23.0, 144890.0)	(24.0, 175949.0)	(25.0, 206699.0)	(26.0, 236166.0)	(27.0, 264335.0)	(28.0, 306003.0)	(29.0, 349478.0)	(30.0, 401847.0)	(31.0, 483807.0)	(32.0, 573326.0)	(33.0, 715601.0)	(34.0, 953798.0)	(35.0, 1260228.0)	(36.0, 2119362.0)	(37.0, 3735722.0)	(38.0, 9850427.0)	(39.0, 78082219.0)	(40.0, 31683639.0)									
trimmed_fastp | fastqc_results | Control_MNP_II_S55_L002_R1_filtered	(18.0, 552.0)	(19.0, 6146.0)	(20.0, 24641.0)	(21.0, 47706.0)	(22.0, 76829.0)	(23.0, 108002.0)	(24.0, 139364.0)	(25.0, 177686.0)	(26.0, 218336.0)	(27.0, 257330.0)	(28.0, 309373.0)	(29.0, 369563.0)	(30.0, 427807.0)	(31.0, 524169.0)	(32.0, 637519.0)	(33.0, 781460.0)	(34.0, 1075563.0)	(35.0, 1430181.0)	(36.0, 2391020.0)	(37.0, 4122127.0)	(38.0, 10042944.0)	(39.0, 74204285.0)	(40.0, 28574723.0)									
trimmed_fastp | fastqc_results | Control_MNP_II_S55_L002_R2_filtered	(18.0, 3249.0)	(19.0, 17989.0)	(20.0, 47905.0)	(21.0, 77419.0)	(22.0, 113049.0)	(23.0, 149358.0)	(24.0, 180777.0)	(25.0, 211206.0)	(26.0, 240936.0)	(27.0, 269867.0)	(28.0, 310223.0)	(29.0, 353820.0)	(30.0, 403370.0)	(31.0, 483632.0)	(32.0, 570509.0)	(33.0, 707600.0)	(34.0, 942427.0)	(35.0, 1238549.0)	(36.0, 2071393.0)	(37.0, 3635100.0)	(38.0, 9650661.0)	(39.0, 75795110.0)	(40.0, 28473177.0)									
trimmed_fastp | fastqc_results | Control_MNP_I_S54_L002_R1_filtered	(18.0, 635.0)	(19.0, 6776.0)	(20.0, 26786.0)	(21.0, 50481.0)	(22.0, 80127.0)	(23.0, 112374.0)	(24.0, 144516.0)	(25.0, 181097.0)	(26.0, 222941.0)	(27.0, 260981.0)	(28.0, 309626.0)	(29.0, 369654.0)	(30.0, 424426.0)	(31.0, 518959.0)	(32.0, 626533.0)	(33.0, 761930.0)	(34.0, 1041793.0)	(35.0, 1378542.0)	(36.0, 2290071.0)	(37.0, 3929961.0)	(38.0, 9516591.0)	(39.0, 71997735.0)	(40.0, 29399670.0)									
trimmed_fastp | fastqc_results | Control_MNP_I_S54_L002_R2_filtered	(17.0, 2.0)	(18.0, 3214.0)	(19.0, 17066.0)	(20.0, 45680.0)	(21.0, 72566.0)	(22.0, 106219.0)	(23.0, 141230.0)	(24.0, 172023.0)	(25.0, 201623.0)	(26.0, 229710.0)	(27.0, 255504.0)	(28.0, 292905.0)	(29.0, 334057.0)	(30.0, 378123.0)	(31.0, 455804.0)	(32.0, 535399.0)	(33.0, 661531.0)	(34.0, 876824.0)	(35.0, 1146649.0)	(36.0, 1914897.0)	(37.0, 3357636.0)	(38.0, 8897923.0)	(39.0, 73540604.0)	(40.0, 30015016.0)								
trimmed_fastp | fastqc_results | Only_MNP_C1_S57_L002_R1_filtered	(17.0, 1.0)	(18.0, 485.0)	(19.0, 5252.0)	(20.0, 22208.0)	(21.0, 43602.0)	(22.0, 70461.0)	(23.0, 98523.0)	(24.0, 127891.0)	(25.0, 162451.0)	(26.0, 201176.0)	(27.0, 236685.0)	(28.0, 285745.0)	(29.0, 342578.0)	(30.0, 395756.0)	(31.0, 489176.0)	(32.0, 593358.0)	(33.0, 732823.0)	(34.0, 1011767.0)	(35.0, 1348637.0)	(36.0, 2270464.0)	(37.0, 3916628.0)	(38.0, 9654330.0)	(39.0, 67967210.0)	(40.0, 22813284.0)								
trimmed_fastp | fastqc_results | Only_MNP_C1_S57_L002_R2_filtered	(18.0, 2663.0)	(19.0, 15307.0)	(20.0, 41227.0)	(21.0, 65939.0)	(22.0, 96690.0)	(23.0, 128570.0)	(24.0, 155052.0)	(25.0, 183073.0)	(26.0, 209786.0)	(27.0, 234989.0)	(28.0, 269730.0)	(29.0, 308654.0)	(30.0, 352780.0)	(31.0, 424122.0)	(32.0, 500921.0)	(33.0, 623280.0)	(34.0, 831498.0)	(35.0, 1095311.0)	(36.0, 1844913.0)	(37.0, 3256356.0)	(38.0, 8716705.0)	(39.0, 68301858.0)	(40.0, 25131067.0)									
trimmed_fastp | fastqc_results | Only_MNP_C2_S58_L002_R1_filtered	(18.0, 598.0)	(19.0, 6097.0)	(20.0, 25629.0)	(21.0, 49703.0)	(22.0, 78605.0)	(23.0, 109625.0)	(24.0, 141200.0)	(25.0, 177327.0)	(26.0, 218502.0)	(27.0, 256003.0)	(28.0, 306649.0)	(29.0, 366945.0)	(30.0, 422440.0)	(31.0, 518906.0)	(32.0, 628888.0)	(33.0, 769716.0)	(34.0, 1059176.0)	(35.0, 1403902.0)	(36.0, 2360791.0)	(37.0, 4078144.0)	(38.0, 10099724.0)	(39.0, 72911098.0)	(40.0, 24329573.0)									
trimmed_fastp | fastqc_results | Only_MNP_C2_S58_L002_R2_filtered	(17.0, 2.0)	(18.0, 2802.0)	(19.0, 16183.0)	(20.0, 42783.0)	(21.0, 68448.0)	(22.0, 100334.0)	(23.0, 132304.0)	(24.0, 161275.0)	(25.0, 190111.0)	(26.0, 217630.0)	(27.0, 244069.0)	(28.0, 278965.0)	(29.0, 319814.0)	(30.0, 364915.0)	(31.0, 437391.0)	(32.0, 518004.0)	(33.0, 641944.0)	(34.0, 851554.0)	(35.0, 1118134.0)	(36.0, 1872215.0)	(37.0, 3309546.0)	(38.0, 8903379.0)	(39.0, 73219846.0)	(40.0, 27307593.0)								
trimmed_fastp | fastqc_results | Only_MNP_C3_S59_L002_R1_filtered	(18.0, 549.0)	(19.0, 5830.0)	(20.0, 24204.0)	(21.0, 47334.0)	(22.0, 75766.0)	(23.0, 106841.0)	(24.0, 137932.0)	(25.0, 174243.0)	(26.0, 215336.0)	(27.0, 252963.0)	(28.0, 303971.0)	(29.0, 366341.0)	(30.0, 422173.0)	(31.0, 520788.0)	(32.0, 633440.0)	(33.0, 778330.0)	(34.0, 1070964.0)	(35.0, 1426111.0)	(36.0, 2398448.0)	(37.0, 4124481.0)	(38.0, 10027016.0)	(39.0, 71807404.0)	(40.0, 27249879.0)									
trimmed_fastp | fastqc_results | Only_MNP_C3_S59_L002_R2_filtered	(17.0, 1.0)	(18.0, 2867.0)	(19.0, 16758.0)	(20.0, 44688.0)	(21.0, 71641.0)	(22.0, 104478.0)	(23.0, 137366.0)	(24.0, 167911.0)	(25.0, 196771.0)	(26.0, 226241.0)	(27.0, 253730.0)	(28.0, 292783.0)	(29.0, 334302.0)	(30.0, 382659.0)	(31.0, 460506.0)	(32.0, 546139.0)	(33.0, 679576.0)	(34.0, 908733.0)	(35.0, 1196579.0)	(36.0, 2017090.0)	(37.0, 3550275.0)	(38.0, 9404399.0)	(39.0, 73274868.0)	(40.0, 27899983.0)								
trimmed_fastp | fastqc_results | Only_MNP_C4_S60_L002_R1_filtered	(17.0, 2.0)	(18.0, 524.0)	(19.0, 5995.0)	(20.0, 25409.0)	(21.0, 50255.0)	(22.0, 79814.0)	(23.0, 110620.0)	(24.0, 143016.0)	(25.0, 180741.0)	(26.0, 222213.0)	(27.0, 262381.0)	(28.0, 316593.0)	(29.0, 379776.0)	(30.0, 440631.0)	(31.0, 543436.0)	(32.0, 660877.0)	(33.0, 815595.0)	(34.0, 1126814.0)	(35.0, 1505122.0)	(36.0, 2541166.0)	(37.0, 4375481.0)	(38.0, 10728316.0)	(39.0, 72725881.0)	(40.0, 22904655.0)								
trimmed_fastp | fastqc_results | Only_MNP_C4_S60_L002_R2_filtered	(17.0, 1.0)	(18.0, 2966.0)	(19.0, 17394.0)	(20.0, 46704.0)	(21.0, 73915.0)	(22.0, 106434.0)	(23.0, 138651.0)	(24.0, 166838.0)	(25.0, 196199.0)	(26.0, 226415.0)	(27.0, 253077.0)	(28.0, 292564.0)	(29.0, 335135.0)	(30.0, 384462.0)	(31.0, 463782.0)	(32.0, 553189.0)	(33.0, 688807.0)	(34.0, 926711.0)	(35.0, 1227135.0)	(36.0, 2083444.0)	(37.0, 3687556.0)	(38.0, 9814657.0)	(39.0, 73901816.0)	(40.0, 24557461.0)								
trimmed_fastp | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_filtered	(17.0, 1.0)	(18.0, 663.0)	(19.0, 6844.0)	(20.0, 27030.0)	(21.0, 51664.0)	(22.0, 81664.0)	(23.0, 114104.0)	(24.0, 146042.0)	(25.0, 182932.0)	(26.0, 225590.0)	(27.0, 265026.0)	(28.0, 317468.0)	(29.0, 379837.0)	(30.0, 436934.0)	(31.0, 535109.0)	(32.0, 649134.0)	(33.0, 792591.0)	(34.0, 1089944.0)	(35.0, 1446189.0)	(36.0, 2416604.0)	(37.0, 4137422.0)	(38.0, 9967144.0)	(39.0, 72366914.0)	(40.0, 28376812.0)								
trimmed_fastp | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_filtered	(18.0, 3181.0)	(19.0, 17876.0)	(20.0, 46690.0)	(21.0, 73691.0)	(22.0, 107991.0)	(23.0, 142529.0)	(24.0, 173364.0)	(25.0, 202885.0)	(26.0, 231602.0)	(27.0, 259375.0)	(28.0, 296968.0)	(29.0, 338530.0)	(30.0, 386592.0)	(31.0, 462767.0)	(32.0, 546709.0)	(33.0, 677755.0)	(34.0, 901492.0)	(35.0, 1186914.0)	(36.0, 1984626.0)	(37.0, 3489413.0)	(38.0, 9173574.0)	(39.0, 73409716.0)	(40.0, 29899422.0)									
trimmed_fastp | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_filtered	(18.0, 454.0)	(19.0, 5597.0)	(20.0, 24221.0)	(21.0, 47930.0)	(22.0, 76537.0)	(23.0, 107972.0)	(24.0, 138925.0)	(25.0, 177018.0)	(26.0, 219064.0)	(27.0, 257950.0)	(28.0, 313569.0)	(29.0, 375097.0)	(30.0, 435009.0)	(31.0, 540196.0)	(32.0, 658023.0)	(33.0, 812975.0)	(34.0, 1128108.0)	(35.0, 1513822.0)	(36.0, 2577543.0)	(37.0, 4480012.0)	(38.0, 11227196.0)	(39.0, 75214105.0)	(40.0, 22126379.0)									
trimmed_fastp | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_filtered	(18.0, 3180.0)	(19.0, 18112.0)	(20.0, 48455.0)	(21.0, 77147.0)	(22.0, 109903.0)	(23.0, 142098.0)	(24.0, 170228.0)	(25.0, 200810.0)	(26.0, 231084.0)	(27.0, 258121.0)	(28.0, 298830.0)	(29.0, 343275.0)	(30.0, 392422.0)	(31.0, 476381.0)	(32.0, 568125.0)	(33.0, 707836.0)	(34.0, 956183.0)	(35.0, 1271382.0)	(36.0, 2162547.0)	(37.0, 3854548.0)	(38.0, 10509401.0)	(39.0, 76415023.0)	(40.0, 23242611.0)									
trimmed_fastp | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_filtered	(18.0, 668.0)	(19.0, 6578.0)	(20.0, 25570.0)	(21.0, 48698.0)	(22.0, 75301.0)	(23.0, 104682.0)	(24.0, 134426.0)	(25.0, 167432.0)	(26.0, 204849.0)	(27.0, 239139.0)	(28.0, 283843.0)	(29.0, 339696.0)	(30.0, 390403.0)	(31.0, 474349.0)	(32.0, 575953.0)	(33.0, 701643.0)	(34.0, 953986.0)	(35.0, 1259337.0)	(36.0, 2089703.0)	(37.0, 3570454.0)	(38.0, 8574073.0)	(39.0, 63362768.0)	(40.0, 26064288.0)									
trimmed_fastp | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_filtered	(17.0, 1.0)	(18.0, 2792.0)	(19.0, 15598.0)	(20.0, 41311.0)	(21.0, 66026.0)	(22.0, 96860.0)	(23.0, 127972.0)	(24.0, 155432.0)	(25.0, 180852.0)	(26.0, 206182.0)	(27.0, 230400.0)	(28.0, 265569.0)	(29.0, 302019.0)	(30.0, 344669.0)	(31.0, 412183.0)	(32.0, 487424.0)	(33.0, 604425.0)	(34.0, 799263.0)	(35.0, 1047886.0)	(36.0, 1741358.0)	(37.0, 3041044.0)	(38.0, 7957593.0)	(39.0, 64380553.0)	(40.0, 27140427.0)								
trimmed_fastp | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_filtered	(18.0, 542.0)	(19.0, 6022.0)	(20.0, 25191.0)	(21.0, 49493.0)	(22.0, 78932.0)	(23.0, 109866.0)	(24.0, 140129.0)	(25.0, 178050.0)	(26.0, 218890.0)	(27.0, 258814.0)	(28.0, 310952.0)	(29.0, 372151.0)	(30.0, 430223.0)	(31.0, 530405.0)	(32.0, 649132.0)	(33.0, 798038.0)	(34.0, 1101184.0)	(35.0, 1468297.0)	(36.0, 2469322.0)	(37.0, 4232722.0)	(38.0, 10211827.0)	(39.0, 70558415.0)	(40.0, 25176048.0)									
trimmed_fastp | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_filtered	(18.0, 3022.0)	(19.0, 17315.0)	(20.0, 45621.0)	(21.0, 72646.0)	(22.0, 106143.0)	(23.0, 138779.0)	(24.0, 167289.0)	(25.0, 196866.0)	(26.0, 226638.0)	(27.0, 253616.0)	(28.0, 292120.0)	(29.0, 334900.0)	(30.0, 383477.0)	(31.0, 463324.0)	(32.0, 548225.0)	(33.0, 685645.0)	(34.0, 918904.0)	(35.0, 1220640.0)	(36.0, 2061234.0)	(37.0, 3621457.0)	(38.0, 9449763.0)	(39.0, 71208960.0)	(40.0, 26958061.0)									
trimmed_fastp | fastqc_results | RNP_Cas1_S65_L002_R1_filtered	(17.0, 1.0)	(18.0, 720.0)	(19.0, 7893.0)	(20.0, 32034.0)	(21.0, 63084.0)	(22.0, 100002.0)	(23.0, 140163.0)	(24.0, 179727.0)	(25.0, 226330.0)	(26.0, 280049.0)	(27.0, 330437.0)	(28.0, 397272.0)	(29.0, 477161.0)	(30.0, 548618.0)	(31.0, 677705.0)	(32.0, 822032.0)	(33.0, 1011873.0)	(34.0, 1393353.0)	(35.0, 1851852.0)	(36.0, 3126633.0)	(37.0, 5379246.0)	(38.0, 13230171.0)	(39.0, 93572231.0)	(40.0, 31974768.0)								
trimmed_fastp | fastqc_results | RNP_Cas1_S65_L002_R2_filtered	(17.0, 2.0)	(18.0, 3735.0)	(19.0, 21932.0)	(20.0, 57454.0)	(21.0, 90883.0)	(22.0, 133363.0)	(23.0, 176122.0)	(24.0, 213089.0)	(25.0, 249975.0)	(26.0, 284253.0)	(27.0, 319251.0)	(28.0, 365682.0)	(29.0, 416892.0)	(30.0, 473767.0)	(31.0, 570094.0)	(32.0, 673903.0)	(33.0, 833332.0)	(34.0, 1108135.0)	(35.0, 1458586.0)	(36.0, 2444635.0)	(37.0, 4327986.0)	(38.0, 11630142.0)	(39.0, 94054355.0)	(40.0, 35915787.0)								
trimmed_fastp | fastqc_results | RNP_Cas2_S66_L002_R1_filtered	(17.0, 1.0)	(18.0, 660.0)	(19.0, 7217.0)	(20.0, 29718.0)	(21.0, 58233.0)	(22.0, 91740.0)	(23.0, 128920.0)	(24.0, 166558.0)	(25.0, 210126.0)	(26.0, 260403.0)	(27.0, 305500.0)	(28.0, 366878.0)	(29.0, 439835.0)	(30.0, 506756.0)	(31.0, 623230.0)	(32.0, 757862.0)	(33.0, 926817.0)	(34.0, 1275919.0)	(35.0, 1697603.0)	(36.0, 2850682.0)	(37.0, 4910880.0)	(38.0, 12097638.0)	(39.0, 86123678.0)	(40.0, 29209017.0)								
trimmed_fastp | fastqc_results | RNP_Cas2_S66_L002_R2_filtered	(17.0, 1.0)	(18.0, 3733.0)	(19.0, 20984.0)	(20.0, 55576.0)	(21.0, 88212.0)	(22.0, 127213.0)	(23.0, 166230.0)	(24.0, 201036.0)	(25.0, 237520.0)	(26.0, 271782.0)	(27.0, 304162.0)	(28.0, 349509.0)	(29.0, 401695.0)	(30.0, 458167.0)	(31.0, 550365.0)	(32.0, 651718.0)	(33.0, 809494.0)	(34.0, 1076638.0)	(35.0, 1419233.0)	(36.0, 2385664.0)	(37.0, 4204984.0)	(38.0, 11268912.0)	(39.0, 87758168.0)	(40.0, 30234875.0)								
trimmed_fastp | fastqc_results | RNP_Cas3_S67_L002_R1_filtered	(18.0, 1059.0)	(19.0, 10776.0)	(20.0, 42208.0)	(21.0, 79299.0)	(22.0, 122824.0)	(23.0, 170528.0)	(24.0, 217110.0)	(25.0, 270950.0)	(26.0, 332191.0)	(27.0, 388319.0)	(28.0, 462847.0)	(29.0, 550343.0)	(30.0, 633323.0)	(31.0, 772598.0)	(32.0, 931973.0)	(33.0, 1137721.0)	(34.0, 1556355.0)	(35.0, 2054262.0)	(36.0, 3417442.0)	(37.0, 5822232.0)	(38.0, 13839350.0)	(39.0, 100939446.0)	(40.0, 42608206.0)									
trimmed_fastp | fastqc_results | RNP_Cas3_S67_L002_R2_filtered	(18.0, 4276.0)	(19.0, 23208.0)	(20.0, 62144.0)	(21.0, 100014.0)	(22.0, 148058.0)	(23.0, 195930.0)	(24.0, 239185.0)	(25.0, 280674.0)	(26.0, 321806.0)	(27.0, 361641.0)	(28.0, 415511.0)	(29.0, 477092.0)	(30.0, 545977.0)	(31.0, 655533.0)	(32.0, 779320.0)	(33.0, 965165.0)	(34.0, 1288388.0)	(35.0, 1694067.0)	(36.0, 2829679.0)	(37.0, 4947318.0)	(38.0, 12906215.0)	(39.0, 103382304.0)	(40.0, 43737857.0)									
trimmed_fastp | fastqc_results | RNP_Cas4_S68_L002_R1_filtered	(18.0, 821.0)	(19.0, 8624.0)	(20.0, 35069.0)	(21.0, 68386.0)	(22.0, 108699.0)	(23.0, 150575.0)	(24.0, 193439.0)	(25.0, 244714.0)	(26.0, 301313.0)	(27.0, 354971.0)	(28.0, 426597.0)	(29.0, 512793.0)	(30.0, 591520.0)	(31.0, 733692.0)	(32.0, 891614.0)	(33.0, 1102735.0)	(34.0, 1525639.0)	(35.0, 2030798.0)	(36.0, 3409897.0)	(37.0, 5821674.0)	(38.0, 13916917.0)	(39.0, 95184108.0)	(40.0, 33723078.0)									
trimmed_fastp | fastqc_results | RNP_Cas4_S68_L002_R2_filtered	(17.0, 2.0)	(18.0, 4941.0)	(19.0, 26457.0)	(20.0, 68367.0)	(21.0, 106435.0)	(22.0, 152106.0)	(23.0, 196763.0)	(24.0, 236706.0)	(25.0, 279008.0)	(26.0, 320390.0)	(27.0, 358239.0)	(28.0, 412485.0)	(29.0, 473833.0)	(30.0, 542170.0)	(31.0, 655872.0)	(32.0, 777642.0)	(33.0, 971043.0)	(34.0, 1303101.0)	(35.0, 1716784.0)	(36.0, 2876423.0)	(37.0, 5026647.0)	(38.0, 13122976.0)	(39.0, 97986322.0)	(40.0, 33722961.0)								
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R1_paired	(15.0, 9.0)	(16.0, 150.0)	(17.0, 727.0)	(18.0, 1724.0)	(19.0, 3529.0)	(20.0, 7071.0)	(21.0, 14010.0)	(22.0, 25860.0)	(23.0, 45977.0)	(24.0, 75423.0)	(25.0, 116274.0)	(26.0, 168230.0)	(27.0, 223898.0)	(28.0, 293766.0)	(29.0, 374023.0)	(30.0, 457109.0)	(31.0, 577272.0)	(32.0, 725137.0)	(33.0, 904826.0)	(34.0, 1245644.0)	(35.0, 1669769.0)	(36.0, 2742192.0)	(37.0, 4671024.0)	(38.0, 11048517.0)	(39.0, 77614016.0)	(40.0, 28854488.0)						
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R1_unpaired	(15.0, 39.0)	(16.0, 526.0)	(17.0, 1736.0)	(18.0, 2617.0)	(19.0, 3172.0)	(20.0, 4373.0)	(21.0, 6639.0)	(22.0, 10129.0)	(23.0, 14540.0)	(24.0, 19816.0)	(25.0, 25312.0)	(26.0, 30077.0)	(27.0, 33162.0)	(28.0, 35579.0)	(29.0, 37279.0)	(30.0, 37551.0)	(31.0, 40158.0)	(32.0, 42424.0)	(33.0, 45646.0)	(34.0, 53747.0)	(35.0, 59336.0)	(36.0, 75559.0)	(37.0, 89127.0)	(38.0, 129294.0)	(39.0, 406540.0)	(40.0, 125107.0)						
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R2_paired	(14.0, 9.0)	(15.0, 417.0)	(16.0, 3030.0)	(17.0, 7647.0)	(18.0, 10133.0)	(19.0, 12617.0)	(20.0, 16914.0)	(21.0, 24111.0)	(22.0, 35080.0)	(23.0, 51129.0)	(24.0, 73168.0)	(25.0, 101082.0)	(26.0, 135390.0)	(27.0, 173589.0)	(28.0, 226478.0)	(29.0, 288863.0)	(30.0, 364169.0)	(31.0, 472326.0)	(32.0, 600463.0)	(33.0, 777082.0)	(34.0, 1066224.0)	(35.0, 1431593.0)	(36.0, 2336214.0)	(37.0, 4014761.0)	(38.0, 10090240.0)	(39.0, 78037122.0)	(40.0, 31510814.0)					
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R2_unpaired	(14.0, 2.0)	(15.0, 122.0)	(16.0, 848.0)	(17.0, 2101.0)	(18.0, 2393.0)	(19.0, 2426.0)	(20.0, 2751.0)	(21.0, 3407.0)	(22.0, 4650.0)	(23.0, 6090.0)	(24.0, 7891.0)	(25.0, 9548.0)	(26.0, 10823.0)	(27.0, 11759.0)	(28.0, 12791.0)	(29.0, 13638.0)	(30.0, 14098.0)	(31.0, 15008.0)	(32.0, 15984.0)	(33.0, 16364.0)	(34.0, 18818.0)	(35.0, 20475.0)	(36.0, 24845.0)	(37.0, 28309.0)	(38.0, 33214.0)	(39.0, 60983.0)	(40.0, 14667.0)					
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R1_paired	(15.0, 9.0)	(16.0, 109.0)	(17.0, 582.0)	(18.0, 1394.0)	(19.0, 2719.0)	(20.0, 5898.0)	(21.0, 11661.0)	(22.0, 21550.0)	(23.0, 38659.0)	(24.0, 63924.0)	(25.0, 99428.0)	(26.0, 146273.0)	(27.0, 197808.0)	(28.0, 260975.0)	(29.0, 334438.0)	(30.0, 412446.0)	(31.0, 523152.0)	(32.0, 658702.0)	(33.0, 825621.0)	(34.0, 1140209.0)	(35.0, 1533762.0)	(36.0, 2507447.0)	(37.0, 4283233.0)	(38.0, 10201295.0)	(39.0, 74335337.0)	(40.0, 28445301.0)						
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R1_unpaired	(15.0, 32.0)	(16.0, 401.0)	(17.0, 1387.0)	(18.0, 2169.0)	(19.0, 2604.0)	(20.0, 3905.0)	(21.0, 5996.0)	(22.0, 9041.0)	(23.0, 13336.0)	(24.0, 18626.0)	(25.0, 23941.0)	(26.0, 29368.0)	(27.0, 33012.0)	(28.0, 35655.0)	(29.0, 37606.0)	(30.0, 38715.0)	(31.0, 41263.0)	(32.0, 43455.0)	(33.0, 47063.0)	(34.0, 55031.0)	(35.0, 61066.0)	(36.0, 77608.0)	(37.0, 92394.0)	(38.0, 130055.0)	(39.0, 450448.0)	(40.0, 146804.0)						
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R2_paired	(13.0, 2.0)	(14.0, 10.0)	(15.0, 430.0)	(16.0, 3241.0)	(17.0, 8143.0)	(18.0, 10468.0)	(19.0, 13017.0)	(20.0, 17651.0)	(21.0, 25077.0)	(22.0, 36102.0)	(23.0, 53072.0)	(24.0, 75338.0)	(25.0, 104147.0)	(26.0, 138963.0)	(27.0, 178347.0)	(28.0, 230566.0)	(29.0, 294007.0)	(30.0, 368514.0)	(31.0, 476570.0)	(32.0, 606940.0)	(33.0, 781705.0)	(34.0, 1069762.0)	(35.0, 1430326.0)	(36.0, 2317215.0)	(37.0, 3939794.0)	(38.0, 9896006.0)	(39.0, 75677406.0)	(40.0, 28299113.0)				
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R2_unpaired	(14.0, 1.0)	(15.0, 99.0)	(16.0, 731.0)	(17.0, 1757.0)	(18.0, 1931.0)	(19.0, 1900.0)	(20.0, 2260.0)	(21.0, 3076.0)	(22.0, 3957.0)	(23.0, 5343.0)	(24.0, 6855.0)	(25.0, 8254.0)	(26.0, 9606.0)	(27.0, 10225.0)	(28.0, 11208.0)	(29.0, 11907.0)	(30.0, 12236.0)	(31.0, 13191.0)	(32.0, 13666.0)	(33.0, 14276.0)	(34.0, 16251.0)	(35.0, 17067.0)	(36.0, 20792.0)	(37.0, 23239.0)	(38.0, 27290.0)	(39.0, 52075.0)	(40.0, 12118.0)					
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R1_paired	(15.0, 7.0)	(16.0, 110.0)	(17.0, 658.0)	(18.0, 1521.0)	(19.0, 3194.0)	(20.0, 6258.0)	(21.0, 12448.0)	(22.0, 22900.0)	(23.0, 41280.0)	(24.0, 67905.0)	(25.0, 103941.0)	(26.0, 151413.0)	(27.0, 201884.0)	(28.0, 262421.0)	(29.0, 334327.0)	(30.0, 409865.0)	(31.0, 517915.0)	(32.0, 647569.0)	(33.0, 807164.0)	(34.0, 1106964.0)	(35.0, 1483387.0)	(36.0, 2406797.0)	(37.0, 4089029.0)	(38.0, 9661534.0)	(39.0, 72121745.0)	(40.0, 29291804.0)						
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R1_unpaired	(14.0, 3.0)	(15.0, 28.0)	(16.0, 370.0)	(17.0, 1368.0)	(18.0, 2181.0)	(19.0, 2552.0)	(20.0, 3806.0)	(21.0, 5826.0)	(22.0, 8955.0)	(23.0, 13096.0)	(24.0, 18258.0)	(25.0, 23132.0)	(26.0, 28441.0)	(27.0, 31091.0)	(28.0, 33767.0)	(29.0, 35088.0)	(30.0, 35771.0)	(31.0, 37712.0)	(32.0, 40070.0)	(33.0, 42572.0)	(34.0, 49942.0)	(35.0, 55232.0)	(36.0, 71285.0)	(37.0, 84769.0)	(38.0, 118751.0)	(39.0, 397594.0)	(40.0, 135571.0)					
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R2_paired	(14.0, 15.0)	(15.0, 370.0)	(16.0, 2994.0)	(17.0, 7440.0)	(18.0, 9865.0)	(19.0, 12207.0)	(20.0, 16789.0)	(21.0, 23797.0)	(22.0, 34277.0)	(23.0, 50073.0)	(24.0, 71707.0)	(25.0, 98915.0)	(26.0, 132024.0)	(27.0, 168701.0)	(28.0, 218350.0)	(29.0, 277182.0)	(30.0, 345565.0)	(31.0, 448279.0)	(32.0, 567594.0)	(33.0, 728053.0)	(34.0, 991122.0)	(35.0, 1318397.0)	(36.0, 2133754.0)	(37.0, 3632604.0)	(38.0, 9126892.0)	(39.0, 73474615.0)	(40.0, 29862459.0)					
