Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R1_001	(1, 0.0021768757438921362)	(2, 0.008259845528606317)	(3, 0.02031589085112698)	(4, 0.04433505621385666)	(5, 0.0)	(6, 0.0005001804326166415)	(7, 0.193093888368018)	(8, 0.0)	(9, 0.1594411993903358)	(10, 0.08699260907050468)	(15, 0.11991304682357103)	(20, 0.04859006448861064)	(25, 0.14231369618221165)	(30, 0.12471801116042337)	(35, 0.13153581791673943)	(40, 0.044729867456791216)	(45, 0.1831350454603814)	(50, 0.014509434384734959)	(55, 0.05231127761992914)	(60, 0.16225513854791931)	(65, 0.0632903593227544)	(70, 0.11098995719303945)	(75, 0.0044710797572769)	(80, 0.0269286155496109)	(85, 0.038505489633776695)	(90, 0.0026880456011995476)	(95, 0.03030285375723703)	(100, 0.011125984453470983)	(105, 0.05400607316010708)	(110, 0.020602423939020134)	(115, 0.12560443754908324)	(120, 0.17814277607622608)	(125, 0.07424649252107834)	(130, 0.011783895452237491)	(135, 0.06911039096082326)	(140, 0.13700257187283738)	(145, 0.02727914587540913)	(150, 0.08702695102266333)
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R2_001	(1, 0.06977719046485437)	(2, 0.031516215530447284)	(3, 0.002429794120966464)	(4, 0.001547407961972324)	(5, 0.17122493323338667)	(6, 0.005086649149146622)	(7, 8.403677704706094e-05)	(8, 0.0035650986570349313)	(9, 0.00666153067284587)	(10, 0.0015575893407299489)	(15, 0.006138724954101173)	(20, 0.03723815039223236)	(25, 0.01969256421829907)	(30, 0.09506563437936792)	(35, 0.002892966049845073)	(40, 0.018109279016895116)	(45, 0.04432729897289847)	(50, 0.003692285086911926)	(55, 0.03254776696869996)	(60, 0.002618392041762464)	(65, 0.02750313620807687)	(70, 0.10173330620130569)	(75, 0.10966476186268195)	(80, 0.051936182697763324)	(85, 0.030960279928443656)	(90, 0.0694130849673793)	(95, 0.003978818174805078)	(100, 0.004465585044931515)	(105, 0.014514929097080343)	(110, 0.05477840346300691)	(115, 0.02740471621341983)	(120, 0.028847886250016476)	(125, 0.010600592987740222)	(130, 0.05357166766644843)	(135, 0.020073961898743425)	(140, 0.05256193346839067)	(145, 0.028783889012111402)	(150, 0.0014799361265547318)
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R1_001	(1, 0.0021597537949628255)	(2, 0.008316406574218314)	(3, 0.020599339312351632)	(4, 0.04381977093459163)	(5, 0.0)	(6, 0.0004646220630744809)	(7, 0.19270159021662234)	(8, 0.0)	(9, 0.16225735266672253)	(10, 0.08856041294755244)	(15, 0.12005440084066714)	(20, 0.04951541355373647)	(25, 0.14570153872237848)	(30, 0.1270961340234684)	(35, 0.13356209703835367)	(40, 0.04558500641945976)	(45, 0.18566248387234022)	(50, 0.014626893584251467)	(55, 0.052998273075313164)	(60, 0.164821147061412)	(65, 0.06313031759848578)	(70, 0.1107780489651073)	(75, 0.004324268734741608)	(80, 0.02736180672508586)	(85, 0.03908981982604895)	(90, 0.00262831611581603)	(95, 0.03089178516259979)	(100, 0.010959498656704557)	(105, 0.054933924709111084)	(110, 0.020679786242000568)	(115, 0.12707922375050137)	(120, 0.1801832270762103)	(125, 0.07453588627122333)	(130, 0.011959831600277988)	(135, 0.06942586446444127)	(140, 0.13781954556826442)	(145, 0.028513182883510357)	(150, 0.08878098529445723)
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R2_001	(1, 0.06910555434251255)	(2, 0.031654225042782785)	(3, 0.002410124341319215)	(4, 0.0014710295707234446)	(5, 0.17339596887495157)	(6, 0.005064873019734182)	(7, 6.156652779255489e-05)	(8, 0.0034887699082447768)	(9, 0.0066130659719576285)	(10, 0.0015414616785181274)	(15, 0.005970968131433143)	(20, 0.0364239070839276)	(25, 0.019781079113636715)	(30, 0.09626673627569839)	(35, 0.0027760757825181616)	(40, 0.018523644350001575)	(45, 0.043979679729444825)	(50, 0.0035848136916011623)	(55, 0.03203150472509556)	(60, 0.0025554213469096447)	(65, 0.02804133701450822)	(70, 0.1018223355662911)	(75, 0.11202136447170201)	(80, 0.05318740544869189)	(85, 0.03125543812009448)	(90, 0.06997897815012959)	(95, 0.0038645719938905317)	(100, 0.004371223473271397)	(105, 0.014636251696475934)	(110, 0.05500074491394194)	(115, 0.027371000659902882)	(120, 0.027632371092558207)	(125, 0.010857051954457745)	(130, 0.05327556871649083)	(135, 0.019799138628455865)	(140, 0.052655799003379106)	(145, 0.02859592829686355)	(150, 0.001413157034598443)
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_001	(1, 0.0021747105548479886)	(2, 0.008547025802734072)	(3, 0.020612059250116242)	(4, 0.04421673006419545)	(5, 0.0)	(6, 0.00046101320241660575)	(7, 0.19274008172619495)	(8, 0.0)	(9, 0.16000973405531393)	(10, 0.08695837685072756)	(15, 0.11993608195021556)	(20, 0.048752941005905055)	(25, 0.14229172492588538)	(30, 0.12450297411539635)	(35, 0.1308264855518542)	(40, 0.04483210320438672)	(45, 0.1828728094937816)	(50, 0.014571514537900317)	(55, 0.0522641129375518)	(60, 0.16223293048145054)	(65, 0.06347738475095184)	(70, 0.11121657362174976)	(75, 0.004485340519373977)	(80, 0.026899484480729752)	(85, 0.03866978741870489)	(90, 0.0027028091267197007)	(95, 0.030263768067882384)	(100, 0.01117543693678792)	(105, 0.054225167718590164)	(110, 0.02053257421521683)	(115, 0.1255943036445653)	(120, 0.17837443342868411)	(125, 0.07401487479763706)	(130, 0.011744867726807329)	(135, 0.06922462968438893)	(140, 0.1377493141514536)	(145, 0.02744125447860416)	(150, 0.08727297861885945)
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_001	(1, 0.06984667956751175)	(2, 0.031167671884758528)	(3, 0.002450523625948958)	(4, 0.0015348560239076996)	(5, 0.1700741291742778)	(6, 0.0048883296463140095)	(7, 6.9946830711485e-05)	(8, 0.003494956984527268)	(9, 0.0068373027020476596)	(10, 0.0015582246241681275)	(15, 0.006141490706538183)	(20, 0.037491342291286166)	(25, 0.019938344094308804)	(30, 0.09482040062269848)	(35, 0.0028385695663279012)	(40, 0.018026729004977878)	(45, 0.04460572982499319)	(50, 0.0037462886648792176)	(55, 0.03267121080491586)	(60, 0.002618396019656522)	(65, 0.027520580543433776)	(70, 0.10172081444245627)	(75, 0.10978186874181532)	(80, 0.05175922399587072)	(85, 0.030950359799343526)	(90, 0.06923226024773928)	(95, 0.00395787782778146)	(100, 0.00446435647016053)	(105, 0.014629061703167492)	(110, 0.054827982223267326)	(115, 0.027513108950153235)	(120, 0.029035247368477023)	(125, 0.010555930574781882)	(130, 0.054022003969387264)	(135, 0.020182840061659404)	(140, 0.052462348614590947)	(145, 0.028863082782884894)	(150, 0.001536048299431191)
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_001	(1, 0.0022433792802649625)	(2, 0.0080310561666936)	(3, 0.0205351770168024)	(4, 0.04434399618620689)	(5, 0.0)	(6, 0.00041806601309066986)	(7, 0.19489770327420763)	(8, 0.0)	(9, 0.16512640890461597)	(10, 0.08986647132646321)	(15, 0.12004117120541094)	(20, 0.05034207546689234)	(25, 0.14768878689116396)	(30, 0.12899793346505983)	(35, 0.1353064609951579)	(40, 0.04614917139880071)	(45, 0.18780121394448474)	(50, 0.014706096290156309)	(55, 0.05363311689865196)	(60, 0.16712732600773203)	(65, 0.06315745008859697)	(70, 0.11075350043289567)	(75, 0.0043710855750196745)	(80, 0.027654865385402006)	(85, 0.039411139440610275)	(90, 0.0026554844291998116)	(95, 0.03131386935045607)	(100, 0.011019865675309442)	(105, 0.05557168658478684)	(110, 0.020985463917221833)	(115, 0.12934398579497072)	(120, 0.18038895991894)	(125, 0.07503326363579493)	(130, 0.012129714139348604)	(135, 0.06951060354764536)	(140, 0.13838548898829425)	(145, 0.02858041037392066)	(150, 0.09004288068458818)
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_001	(1, 0.06948112143573953)	(2, 0.03144678051068721)	(3, 0.0023174873211211124)	(4, 0.001503104393886686)	(5, 0.17595101600271312)	(6, 0.004818633700016161)	(7, 5.9608641558207265e-05)	(8, 0.003492744186437658)	(9, 0.006560172660135676)	(10, 0.0015630352443181809)	(15, 0.005992601729839556)	(20, 0.035840581811273656)	(25, 0.02022553428957301)	(30, 0.09727791982982474)	(35, 0.002785979022881293)	(40, 0.01826940421984395)	(45, 0.04368153474272757)	(50, 0.0036163112893434555)	(55, 0.032036100539930244)	(60, 0.0025686491378488015)	(65, 0.0285559224995508)	(70, 0.10312294989569858)	(75, 0.11414797091298062)	(80, 0.053915210767215255)	(85, 0.03160111856099197)	(90, 0.07115161333929913)	(95, 0.0038694063593108703)	(100, 0.0043958956582628205)	(105, 0.014733967357695684)	(110, 0.05539221624236564)	(115, 0.027534037057919156)	(120, 0.027202967440616142)	(125, 0.010954296169595415)	(130, 0.052838388712688075)	(135, 0.019845972236840214)	(140, 0.053332979333184545)	(145, 0.02875037555457987)	(150, 0.0014213438922899557)
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_001	(1, 0.0023175218115390186)	(2, 0.008623734188554617)	(3, 0.02102670099763291)	(4, 0.04463072357543741)	(5, 0.0)	(6, 0.00048723693632821873)	(7, 0.19415762639883521)	(8, 0.0)	(9, 0.16174108779367735)	(10, 0.08963990978960948)	(15, 0.12043831834792086)	(20, 0.04981503245330612)	(25, 0.14571027341956924)	(30, 0.12737668019657114)	(35, 0.1336771392223091)	(40, 0.04540814516683343)	(45, 0.1862016405429459)	(50, 0.01484023024408395)	(55, 0.05330461979544427)	(60, 0.16440219255183008)	(65, 0.06335716281536434)	(70, 0.11113694725419243)	(75, 0.004537596235812393)	(80, 0.027371209119090543)	(85, 0.038935624979447504)	(90, 0.00274057292267566)	(95, 0.030866190228051517)	(100, 0.011023421048027952)	(105, 0.054712752520655564)	(110, 0.02100063112465594)	(115, 0.12750523163918173)	(120, 0.17983807444538097)	(125, 0.07475437190421383)	(130, 0.01205363051118688)	(135, 0.0691937578943396)	(140, 0.13705525538344224)	(145, 0.028183869987062335)	(150, 0.08743835396476111)
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_001	(1, 0.07027808481795417)	(2, 0.031243394321194176)	(3, 0.0024253971479954507)	(4, 0.0015983529018294704)	(5, 0.1724926629938351)	(6, 0.00493619560401891)	(7, 8.180546347946109e-05)	(8, 0.003637196760856039)	(9, 0.006821317108595063)	(10, 0.0015787555490398854)	(15, 0.006101069445520951)	(20, 0.036424646731196615)	(25, 0.01973327571352029)	(30, 0.09597506871524089)	(35, 0.0028827885745707233)	(40, 0.018682749728662067)	(45, 0.044099437543389484)	(50, 0.0038164496116011443)	(55, 0.03208104630877837)	(60, 0.002647979925550556)	(65, 0.028229717005056314)	(70, 0.10210041011146453)	(75, 0.11218765303127809)	(80, 0.053236118956794434)	(85, 0.03173512606320808)	(90, 0.07007060458750296)	(95, 0.00398257762974405)	(100, 0.004495704646821812)	(105, 0.014907832121596647)	(110, 0.054482978054003366)	(115, 0.027316012905270335)	(120, 0.027741221523136104)	(125, 0.01094718914359874)	(130, 0.05359840029506062)	(135, 0.019800338214350705)	(140, 0.052572146260905096)	(145, 0.02842407240290532)	(150, 0.0014742962649045733)
