Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R1_001 - illumina_universal_adapter	(1, 4.104435186170326e-06)	(2, 7.387983335106586e-06)	(3, 1.1492418521276911e-05)	(4, 1.6417740744681304e-05)	(5, 1.970128889361756e-05)	(6, 2.2984837042553822e-05)	(7, 3.283548148936261e-05)	(8, 3.693991667553293e-05)	(9, 5.0074109271277975e-05)	(10, 0.00011935697521383308)	(15, 0.00041257782491384114)	(20, 0.0009747212680117289)	(25, 0.0019092190711989885)	(30, 0.00315171369075647)	(35, 0.004635877454075659)	(40, 0.006421963469689538)	(45, 0.008497001722409808)	(50, 0.010796634668517317)	(55, 0.013317578759863133)	(60, 0.016204145937593)	(65, 0.0194548586050399)	(70, 0.02291686759587084)	(75, 0.026670619839734778)	(80, 0.030692309612551906)	(85, 0.03499260844580628)	(90, 0.03937433927315427)	(95, 0.043906456605723544)	(100, 0.04867039243760772)	(105, 0.053576013372118494)	(110, 0.05868816948519736)	(115, 0.06409748670575496)	(120, 0.07011360362423598)	(125, 0.07698015951329149)	(130, 0.08494818162890766)	(135, 0.09457439555973664)	(140, 0.10131716168357725)
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R2_001 - illumina_universal_adapter	(1, 5.746209260638456e-06)	(2, 9.029757409574716e-06)	(3, 1.3955079632979108e-05)	(4, 1.970128889361756e-05)	(5, 2.708927222872415e-05)	(6, 2.9551933340426344e-05)	(7, 3.693991667553293e-05)	(8, 4.022346482446919e-05)	(9, 5.41785444574483e-05)	(10, 0.00012526736188191834)	(15, 0.0004309656945478842)	(20, 0.001044004133954284)	(25, 0.002148753908663889)	(30, 0.00367872316866074)	(35, 0.005502241633172492)	(40, 0.007690890651845955)	(45, 0.010190655857631131)	(50, 0.012907956128283335)	(55, 0.01590846242678129)	(60, 0.019192174753124996)	(65, 0.02270852646582084)	(70, 0.02638692127966668)	(75, 0.03034802958913594)	(80, 0.0345255237216201)	(85, 0.0388988815011883)	(90, 0.043308194132987365)	(95, 0.04793996715187685)	(100, 0.05279337967081954)	(105, 0.05769785136347818)	(110, 0.06288224553583364)	(115, 0.06834393534936678)	(120, 0.07432311235117225)	(125, 0.08113483298614052)	(130, 0.08906788531397054)	(135, 0.09862711486256122)	(140, 0.10530831445860928)
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_001 - illumina_universal_adapter	(1, 3.974251744970739e-06)	(2, 7.948503489941478e-06)	(3, 1.112790488591807e-05)	(4, 1.4307306281894661e-05)	(5, 2.1460959422841993e-05)	(6, 2.4640360818818584e-05)	(7, 3.338371465775421e-05)	(8, 3.97425174497074e-05)	(9, 5.0075571986631315e-05)	(10, 0.00013130927765383325)	(15, 0.00041809128357092184)	(20, 0.001068119898978336)	(25, 0.0023325678341582267)	(30, 0.004109694244439343)	(35, 0.006439559587410988)	(40, 0.009094518723121241)	(45, 0.0120610591956372)	(50, 0.01531803798567562)	(55, 0.018823010084600213)	(60, 0.022571683300526415)	(65, 0.026538940362426)	(70, 0.03063114789918748)	(75, 0.03494273413227133)	(80, 0.039388809044405)	(85, 0.04390610254780854)	(90, 0.048487619959410796)	(95, 0.05329264928915023)	(100, 0.05811182695510175)	(105, 0.06287457024627469)	(110, 0.067884353025915)	(115, 0.0730174965797192)	(120, 0.07843710419930092)	(125, 0.0842512755321233)	(130, 0.09070212199448999)	(135, 0.09803270882312343)	(140, 0.1029394789975341)
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_001 - illumina_universal_adapter	(1, 5.39376682282161e-06)	(2, 8.98961137136935e-06)	(3, 8.98961137136935e-06)	(4, 1.3484417057054024e-05)	(5, 1.8878183879875635e-05)	(6, 2.337298956556031e-05)	(7, 2.9665717525518854e-05)	(8, 3.775636775975127e-05)	(9, 4.7644940268257555e-05)	(10, 0.00011686494782780154)	(15, 0.0004331194758725753)	(20, 0.0011607386202712104)	(25, 0.0023371191643286036)	(30, 0.0039498554443522646)	(35, 0.006105384458979207)	(40, 0.008585977820794868)	(45, 0.011466069511954178)	(50, 0.014735231583266357)	(55, 0.018230752068909614)	(60, 0.02203929082250395)	(65, 0.0262234155391941)	(70, 0.030697365326497205)	(75, 0.03553521458211333)	(80, 0.04055087835065514)	(85, 0.04578175341542755)	(90, 0.051233053751025916)	(95, 0.05680625321682007)	(100, 0.06246988817301018)	(105, 0.06823420677655963)	(110, 0.0741824528287673)	(115, 0.08020441369422021)	(120, 0.08649210747181077)	(125, 0.09323467558479263)	(130, 0.10047634692111296)	(135, 0.10828706065724092)	(140, 0.11349833836922373)
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_001 - illumina_universal_adapter	(1, 6.292727959958545e-06)	(2, 8.090650234232415e-06)	(3, 8.090650234232415e-06)	(4, 1.1686494782780154e-05)	(5, 1.7080261605601764e-05)	(6, 2.157506729128644e-05)	(7, 2.7867795251244986e-05)	(8, 3.416052321120353e-05)	(9, 4.584701799398369e-05)	(10, 0.0001134488955066812)	(15, 0.00043995158051481607)	(20, 0.0012729289701859)	(25, 0.0028108716835997687)	(30, 0.005041194264836504)	(35, 0.007959401908210423)	(40, 0.011306054429543804)	(45, 0.015112975053091296)	(50, 0.019346902216778834)	(55, 0.02381761574398824)	(60, 0.028524935842492084)	(65, 0.03347569461693261)	(70, 0.03864112531092144)	(75, 0.04410033650452662)	(80, 0.0496783903604613)	(85, 0.0553596449549393)	(90, 0.06125071707882507)	(95, 0.06723384282315364)	(100, 0.07322559859439874)	(105, 0.07926823556600579)	(110, 0.0856033944916372)	(115, 0.09200777342482816)	(120, 0.09859679897558704)	(125, 0.10559377309037868)	(130, 0.11311843739266965)	(135, 0.12117079188246005)	(140, 0.12648922576198957)
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_001 - illumina_universal_adapter	(1, 5.786475132796711e-06)	(2, 7.4397537421672e-06)	(3, 1.0746310960908178e-05)	(4, 1.4052868179649155e-05)	(5, 1.9839343312445866e-05)	(6, 2.8932375663983557e-05)	(7, 3.7198768710836e-05)	(8, 4.877171897642942e-05)	(9, 5.95180299373376e-05)	(10, 0.0001339155673590096)	(15, 0.00042224735683322285)	(20, 0.0010670260144877135)	(25, 0.002283012431679708)	(30, 0.0040768197228466885)	(35, 0.006292543715125018)	(40, 0.008870997034299232)	(45, 0.01168124001450719)	(50, 0.01477303634189094)	(55, 0.018196315030453474)	(60, 0.021911397393569905)	(65, 0.02589315359637779)	(70, 0.03005875438054767)	(75, 0.03440770376249674)	(80, 0.0389034642849579)	(85, 0.043704254710847934)	(90, 0.04859663677169708)	(95, 0.053536467928635166)	(100, 0.05860955334148852)	(105, 0.06373620498128546)	(110, 0.06894750448588217)	(115, 0.0741989786606866)	(120, 0.07963528938401865)	(125, 0.08526536436036891)	(130, 0.091413246197174)	(135, 0.09812390407260883)	(140, 0.10263222951250121)
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R2_001 - illumina_universal_adapter	(1, 9.486196843669108e-06)	(2, 1.0751023089491655e-05)	(3, 1.4545501826959299e-05)	(4, 1.7075154318604395e-05)	(5, 2.3399285547717132e-05)	(6, 2.7826177408096047e-05)	(7, 3.6679961128853885e-05)	(8, 4.363650548087789e-05)	(9, 5.8182007307837196e-05)	(10, 0.00013331268630969653)	(15, 0.000439906568297082)	(20, 0.0011431499609744187)	(25, 0.0024450356157995666)	(30, 0.004260187761179505)	(35, 0.006494629807049618)	(40, 0.009102195595437382)	(45, 0.01204658461308769)	(50, 0.015336777126345884)	(55, 0.01877761044548154)	(60, 0.022467993982917992)	(65, 0.026339880086629974)	(70, 0.030515324489339368)	(75, 0.034853046099387795)	(80, 0.03940781189321937)	(85, 0.04409272830774609)	(90, 0.048876048204197796)	(95, 0.05375283876021579)	(100, 0.05873018300277668)	(105, 0.06373623880111774)	(110, 0.06884816055623415)	(115, 0.07417624111676163)	(120, 0.07980800645891112)	(125, 0.08571272130490909)	(130, 0.09200131091651423)	(135, 0.09895659044229241)	(140, 0.10344760899333454)
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R2_001 - illumina_universal_adapter	(1, 6.894088062337061e-06)	(2, 9.651723287271885e-06)	(3, 1.5166993737141535e-05)	(4, 1.792462896207636e-05)	(5, 1.9992855380777478e-05)	(6, 2.4129308218179714e-05)	(7, 2.9644578668049363e-05)	(8, 3.6538666730386424e-05)	(9, 5.5842113304930195e-05)	(10, 0.00013981210590419563)	(15, 0.00046976316056764733)	(20, 0.0011735116699710146)	(25, 0.0024861460370399907)	(30, 0.004346860405064763)	(35, 0.006656242024186432)	(40, 0.00935582902763638)	(45, 0.012385780731033516)	(50, 0.015735204475239357)	(55, 0.019343294403544077)	(60, 0.023120151607614815)	(65, 0.02708632046987733)	(70, 0.031214776165127252)	(75, 0.035559292580250826)	(80, 0.04005754715916451)	(85, 0.04463315340613762)	(90, 0.04930155407842978)	(95, 0.054009802579722245)	(100, 0.058772928021990925)	(105, 0.06362457355498001)	(110, 0.06846560219235309)	(115, 0.07353468726282829)	(120, 0.07888449959920185)	(125, 0.08459321816010068)	(130, 0.09111778310229647)	(135, 0.09892340748823573)	(140, 0.1042882489365852)
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R1_001 - illumina_universal_adapter	(1, 7.834708293859695e-06)	(2, 1.1752062440789542e-05)	(3, 1.566941658771939e-05)	(4, 1.79079046716793e-05)	(5, 2.182525881860915e-05)	(6, 2.5182990944549017e-05)	(7, 3.4696565301378646e-05)	(8, 4.029278551127843e-05)	(9, 4.980635986810806e-05)	(10, 0.0001250195594891611)	(15, 0.00043292359543784713)	(20, 0.001076153146363728)	(25, 0.0021207436107436215)	(30, 0.003554159455307351)	(35, 0.00530823871789834)	(40, 0.007435809717298039)	(45, 0.009835245094494668)	(50, 0.01248818924719976)	(55, 0.01535949791249514)	(60, 0.018518676145387762)	(65, 0.02200601673138891)	(70, 0.02574921650538668)	(75, 0.029717384331822416)	(80, 0.033935927050449066)	(85, 0.03831877479443838)	(90, 0.042858316704304886)	(95, 0.04751392422132471)	(100, 0.05228951469964479)	(105, 0.05723780453364238)	(110, 0.06245247444963119)	(115, 0.06797325761110153)	(120, 0.07403217330795582)	(125, 0.08085374189501526)	(130, 0.0886811751026021)	(135, 0.09798220501585972)	(140, 0.10446016568203131)
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R2_001 - illumina_universal_adapter	(1, 8.95395233583965e-06)	(2, 1.231168446177952e-05)	(3, 1.510979456672941e-05)	(4, 1.9586770734649237e-05)	(5, 2.4063746902569063e-05)	(6, 2.742147902850893e-05)	(7, 3.58158093433586e-05)	(8, 4.029278551127843e-05)	(9, 4.980635986810806e-05)	(10, 0.00012401223985137916)	(15, 0.0004394152108813308)	(20, 0.0011340180633340915)	(25, 0.0024210367872068437)	(30, 0.004239360657807481)	(35, 0.006535042112312569)	(40, 0.009243500769499865)	(45, 0.0122905307493861)	(50, 0.01560629122375172)	(55, 0.019140304286303433)	(60, 0.022864141138374944)	(65, 0.026862976251560932)	(70, 0.031034622644828626)	(75, 0.03536128433791055)	(80, 0.03989198421984541)	(85, 0.04452822881493898)	(90, 0.04933650121928487)	(95, 0.05420957785366141)	(100, 0.05921797109271332)	(105, 0.06433067787647775)	(110, 0.06975285563784965)	(115, 0.07552099173259755)	(120, 0.08175383795357553)	(125, 0.08865476094321136)	(130, 0.09660452752458659)	(135, 0.10607008631201527)	(140, 0.11267541695016418)
