Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R2_001 - illumina_universal_adapter	(1, 4.881803840188001e-06)	(2, 9.1533822003525e-06)	(3, 1.15942841204465e-05)	(4, 1.40351860405405e-05)	(5, 1.8306764400705e-05)	(6, 2.440901920094e-05)	(7, 3.2952175921269e-05)	(8, 4.0274881681551005e-05)	(9, 4.82078129218565e-05)	(10, 0.00011582079610846031)	(15, 0.0004122683343038766)	(20, 0.0011038978933625115)	(25, 0.0023956231894762562)	(30, 0.0042239807727226675)	(35, 0.00650707838368259)	(40, 0.009204152960290455)	(45, 0.012168994477532632)	(50, 0.015452495740443082)	(55, 0.019031346135684905)	(60, 0.022889557755681487)	(65, 0.026942309258709562)	(70, 0.03122328509126642)	(75, 0.03572748140441588)	(80, 0.04044855185316569)	(85, 0.04530045464483254)	(90, 0.05021582088642183)	(95, 0.05527056262764849)	(100, 0.060447471509975856)	(105, 0.06566611981513683)	(110, 0.07089990171220238)	(115, 0.07645429607647228)	(120, 0.08214330618163537)	(125, 0.08820296724336472)	(130, 0.09478302859445813)	(135, 0.10202103505811286)	(140, 0.1067424716421507)
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R1_paired - illumina_universal_adapter	(1, 6.825386478977639e-06)	(2, 9.858891580745479e-06)	(3, 1.2892396682513319e-05)	(4, 1.3650772957955278e-05)	(5, 2.3509664538700755e-05)	(6, 2.9576674742236435e-05)	(7, 3.9435566322981916e-05)	(8, 4.626095280195955e-05)	(9, 6.142847831079875e-05)	(10, 0.0001475800232010054)	(15, 0.00042999934817559125)	(20, 0.001026993152203502)	(25, 0.0019666213574760904)	(30, 0.003249338989758621)	(35, 0.004877117827367244)	(40, 0.0068173476904579535)	(45, 0.00899373592572129)	(50, 0.011498501088250996)	(55, 0.014242154777544919)	(60, 0.01738122585685428)	(65, 0.020713834561656423)	(70, 0.02441000885290545)	(75, 0.028348408526530637)	(80, 0.03256452559222267)	(85, 0.037112963141813365)	(90, 0.041737541669458436)	(95, 0.0466327088521812)	(100, 0.05175811907212814)	(105, 0.057223130188217994)	(110, 0.06335627080297221)	(115, 0.07034273640285373)	(120, 0.0786152564906297)	(125, 0.08852313917876875)	(130, 0.10104453818733586)	(135, 0.11689050711218543)	(140, 0.12819895910581067)
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R2_paired - illumina_universal_adapter	(1, 5.308633928093719e-06)	(2, 1.0617267856187438e-05)	(3, 1.2892396682513319e-05)	(4, 1.7442654335165078e-05)	(5, 2.5784793365026638e-05)	(6, 3.261017984400427e-05)	(7, 3.867719004753996e-05)	(8, 4.701932907740151e-05)	(9, 6.370360713712463e-05)	(10, 0.00014166468825255809)	(15, 0.0004249940647576743)	(20, 0.001054749723884678)	(25, 0.002115111432207626)	(30, 0.00357771591702499)	(35, 0.005449843590581012)	(40, 0.007726792519967954)	(45, 0.010312248918204682)	(50, 0.013286752345743136)	(55, 0.01645691685234562)	(60, 0.019956823363510262)	(65, 0.023606888377212417)	(70, 0.027523901839870135)	(75, 0.03164840705148878)	(80, 0.036017412774309907)	(85, 0.04068749387848151)	(90, 0.04541278477550527)	(95, 0.05043854435285914)	(100, 0.055636303669483245)	(105, 0.06115652457842526)	(110, 0.06737490668653916)	(115, 0.07445434921778984)	(120, 0.08278056234586714)	(125, 0.09271771835823822)	(130, 0.10530721955634004)	(135, 0.12124783384036475)	(140, 0.13262105116791273)
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R2_unpaired - illumina_universal_adapter	(1, 0.00028248188584906994)	(2, 0.0005649637716981399)	(3, 0.0005649637716981399)	(4, 0.0005649637716981399)	(5, 0.0005649637716981399)	(6, 0.0005649637716981399)	(7, 0.0011299275433962798)	(8, 0.0011299275433962798)	(9, 0.0011299275433962798)	(10, 0.0011299275433962798)	(15, 0.0025988333498114433)	(20, 0.010508326153585401)	(25, 0.031186000197737325)	(30, 0.06824762362113529)	(35, 0.11310574709396759)	(40, 0.1636135082837813)	(45, 0.19389556644680161)	(50, 0.21084447959774583)	(55, 0.21869747602434994)	(60, 0.22677645795963333)	(65, 0.2329910594483129)	(70, 0.23965763195435094)	(75, 0.24655018996906822)	(80, 0.252708295080578)	(85, 0.2567195378596347)	(90, 0.2620301973135972)	(95, 0.2661544328469937)	(100, 0.2721430488269939)	(105, 0.2783576503156735)	(110, 0.28332933150661715)	(115, 0.2895439329952966)	(120, 0.2947980960720894)	(125, 0.3029335743845426)	(130, 0.31327241140661855)	(135, 0.3255321252524682)	(140, 0.33389358907360067)
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R2_paired - illumina_universal_adapter	(1, 1.586647636626466e-06)	(2, 6.346590546505864e-06)	(3, 1.1106533456385262e-05)	(4, 1.4279828729638194e-05)	(5, 2.379971454939699e-05)	(6, 3.173295273252932e-05)	(7, 4.283948618891458e-05)	(8, 4.997940055373368e-05)	(9, 6.346590546505863e-05)	(10, 0.00012233053278390052)	(15, 0.00039301261959237565)	(20, 0.0010386195429356846)	(25, 0.0021597447629759453)	(30, 0.003760037569277399)	(35, 0.0059377114505472246)	(40, 0.008593600929496265)	(45, 0.0115404815850026)	(50, 0.014845309947331867)	(55, 0.018425421674615822)	(60, 0.022332224150281167)	(65, 0.026528431154867187)	(70, 0.030953274083891074)	(75, 0.03566910818947226)	(80, 0.04063420463876745)	(85, 0.045766216419435755)	(90, 0.05097295930378918)	(95, 0.056233172213496885)	(100, 0.06153812858655748)	(105, 0.06688148183242444)	(110, 0.07229480623906662)	(115, 0.07776572595491833)	(120, 0.08348717733259337)	(125, 0.08951691434606493)	(130, 0.0958384358599121)	(135, 0.10292535619366787)	(140, 0.10753425024854042)
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R2_unpaired - illumina_universal_adapter	(1, 0.00033188300460321727)	(2, 0.00033188300460321727)	(3, 0.00033188300460321727)	(4, 0.00033188300460321727)	(5, 0.00033188300460321727)	(6, 0.0006637660092064345)	(7, 0.0006637660092064345)	(8, 0.0006637660092064345)	(9, 0.0006637660092064345)	(10, 0.0011947788165715823)	(15, 0.004115349257079895)	(20, 0.014470099000700273)	(25, 0.05535808516781664)	(30, 0.11038428733103008)	(35, 0.1841950675547856)	(40, 0.25926700319603335)	(45, 0.3075227920653411)	(50, 0.3311528619930902)	(55, 0.33958269031001187)	(60, 0.34980468685179095)	(65, 0.35909741098068104)	(70, 0.3677927457012854)	(75, 0.37529330160531804)	(80, 0.38266110430750955)	(85, 0.39055991981706606)	(90, 0.39859148852846393)	(95, 0.4046317592122425)	(100, 0.4104729000932591)	(105, 0.417376066589006)	(110, 0.42308445426818136)	(115, 0.4291247249519599)	(120, 0.43463398282837334)	(125, 0.43994411090202484)	(130, 0.4467809007968511)	(135, 0.4537504438935186)	(140, 0.4570028973386302)
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R1_paired - illumina_universal_adapter	(1, 5.656380995723453e-06)	(2, 7.2724898516444396e-06)	(3, 1.1312761991446906e-05)	(4, 1.6161088559209865e-05)	(5, 2.42416328388148e-05)	(6, 3.1514122690459236e-05)	(7, 3.959466697006417e-05)	(8, 5.090742896151107e-05)	(9, 6.787657194868143e-05)	(10, 0.00015078295625742803)	(15, 0.0004529953123146526)	(20, 0.0010507939781198255)	(25, 0.002046317033367153)	(30, 0.003485138747793608)	(35, 0.005330250228598598)	(40, 0.0074774124545752205)	(45, 0.009942463292511501)	(50, 0.012795057034097635)	(55, 0.015825745971606263)	(60, 0.019146526448752702)	(65, 0.022737681937494727)	(70, 0.026728824368077192)	(75, 0.030965130512102878)	(80, 0.03537371386016974)	(85, 0.04002875380876454)	(90, 0.044814213742032184)	(95, 0.04974787085738777)	(100, 0.0547523135406327)	(105, 0.0598002295521019)	(110, 0.0649994133524853)	(115, 0.07043955898328652)	(120, 0.07612777732347162)	(125, 0.08217105477930256)	(130, 0.08893430873044629)	(135, 0.09654828238334684)	(140, 0.10153203887323597)
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R2_paired - illumina_universal_adapter	(1, 6.464435423683946e-06)	(2, 7.2724898516444396e-06)	(3, 8.888598707565426e-06)	(4, 1.2928870847367892e-05)	(5, 2.1009415126972824e-05)	(6, 2.5857741694735783e-05)	(7, 3.070606826249874e-05)	(8, 4.040272139802466e-05)	(9, 5.656380995723453e-05)	(10, 0.0001417327466642705)	(15, 0.00044636926600537653)	(20, 0.0010766517198145611)	(25, 0.002209544027815173)	(30, 0.003879307697752736)	(35, 0.0060757612438349495)	(40, 0.008672848175299973)	(45, 0.011699335229783206)	(50, 0.015182211425178522)	(55, 0.018863222566309755)	(60, 0.022780670433062228)	(65, 0.026901748015660743)	(70, 0.03132600761963004)	(75, 0.035971835747746095)	(80, 0.040708004360908136)	(85, 0.045644732083089966)	(90, 0.05068456755027957)	(95, 0.055843995072807316)	(100, 0.06110572228591486)	(105, 0.06642207397835255)	(110, 0.07184169502668356)	(115, 0.07752910531244073)	(120, 0.08342951874540823)	(125, 0.08962163982686948)	(130, 0.09649769817615653)	(135, 0.10420863836041232)	(140, 0.10924249422483501)
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R2_unpaired - illumina_universal_adapter	(1, 0.0006350415952244872)	(2, 0.0006350415952244872)	(3, 0.0006350415952244872)	(4, 0.0006350415952244872)	(5, 0.0006350415952244872)	(6, 0.0006350415952244872)	(7, 0.0006350415952244872)	(8, 0.0009525623928367308)	(9, 0.0009525623928367308)	(10, 0.0009525623928367309)	(15, 0.002032133104718359)	(20, 0.010795707118816283)	(25, 0.0471835905251794)	(30, 0.10535340064774243)	(35, 0.1787007048961707)	(40, 0.2629072204229377)	(45, 0.31555216866704766)	(50, 0.33847717025465174)	(55, 0.3471772401092271)	(60, 0.35594081412332507)	(65, 0.36324379246840666)	(70, 0.37092779577062296)	(75, 0.37950085730615357)	(80, 0.38693084397028005)	(85, 0.3955039055058106)	(90, 0.40267987553184736)	(95, 0.4097923413983616)	(100, 0.4166507906267861)	(105, 0.42414428145043503)	(110, 0.42865307677652886)	(115, 0.4321458055502635)	(120, 0.43976630469295735)	(125, 0.4458627040071124)	(130, 0.4512605575665206)	(135, 0.45722994856163074)	(140, 0.46262780212103893)
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R1_paired - illumina_universal_adapter	(1, 6.2020234721780324e-06)	(2, 1.2404046944356065e-05)	(3, 1.772006706336581e-05)	(4, 2.215008382920726e-05)	(5, 3.0124114007721874e-05)	(6, 3.366812742039503e-05)	(7, 4.430016765841452e-05)	(8, 5.4932207896434004e-05)	(9, 6.999426490029494e-05)	(10, 0.00014530454991959962)	(15, 0.0004493809007269569)	(20, 0.001023511073580009)	(25, 0.0020213280499181375)	(30, 0.0034095181036622154)	(35, 0.005163095940252896)	(40, 0.007233508575936557)	(45, 0.009633160057657554)	(50, 0.012391465696741075)	(55, 0.015399801482088688)	(60, 0.01871841564171584)	(65, 0.02241429002912204)	(70, 0.026401127917708718)	(75, 0.030761150418649873)	(80, 0.03528224832919703)	(85, 0.0400193538572466)	(90, 0.04489963752716818)	(95, 0.0498901400142239)	(100, 0.0549701288399496)	(105, 0.0601885113894402)	(110, 0.06545066250457732)	(115, 0.0708448281193365)	(120, 0.07649168189041929)	(125, 0.08258330934479255)	(130, 0.08923595412239196)	(135, 0.09673845331635042)	(140, 0.10155281833679627)
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R2_paired - illumina_universal_adapter	(1, 7.974030178514613e-06)	(2, 1.0632040238019486e-05)	(3, 1.5948060357029227e-05)	(4, 2.0378077122870678e-05)	(5, 2.835210730138529e-05)	(6, 3.366812742039503e-05)	(7, 4.252816095207794e-05)	(8, 5.227419783692913e-05)	(9, 6.733625484079007e-05)	(10, 0.0001399885298005899)	(15, 0.00044902649938568953)	(20, 0.0010594828097186418)	(25, 0.002174606630016252)	(30, 0.0037928031542428173)	(35, 0.005890504693204063)	(40, 0.008394527369928285)	(45, 0.011352715365486571)	(50, 0.014741678191355283)	(55, 0.01842692053852347)	(60, 0.022354219001777233)	(65, 0.026556532905854434)	(70, 0.030943312708061277)	(75, 0.035693708286408374)	(80, 0.04054014662823893)	(85, 0.04554659717565167)	(90, 0.05067761979451988)	(95, 0.05587137145079239)	(100, 0.06122974253008358)	(105, 0.06661327610460474)	(110, 0.07208168880035944)	(115, 0.07765695350050622)	(120, 0.0834974876045916)	(125, 0.08968657542781336)	(130, 0.09643207335682483)	(135, 0.10402317288610012)	(140, 0.10887918006414488)
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R2_unpaired - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0012286921295041504)	(20, 0.010624573119830007)	(25, 0.04358243259358839)	(30, 0.09887357842127517)	(35, 0.16493384938402772)	(40, 0.23402971266673173)	(45, 0.28108139362597884)	(50, 0.30999179667313537)	(55, 0.32162823389961587)	(60, 0.33196370298897426)	(65, 0.3404199958802675)	(70, 0.34887628877156085)	(75, 0.35501974941908154)	(80, 0.36116321006660235)	(85, 0.36759577474459465)	(90, 0.37366695938449745)	(95, 0.37829262387204254)	(100, 0.3839301524662381)	(105, 0.3887726449766367)	(110, 0.3949161056241575)	(115, 0.39983087414217416)	(120, 0.40351695053068654)	(125, 0.4084317190487032)	(130, 0.41378014361242715)	(135, 0.4208631923589805)	(140, 0.4246215447551108)
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R2_unpaired - illumina_universal_adapter	(1, 0.00033337000403377704)	(2, 0.00033337000403377704)	(3, 0.00033337000403377704)	(4, 0.00033337000403377704)	(5, 0.00033337000403377704)	(6, 0.00033337000403377704)	(7, 0.00033337000403377704)	(8, 0.00033337000403377704)	(9, 0.00033337000403377704)	(10, 0.001000110012101331)	(15, 0.0034670480419512818)	(20, 0.014734954178292944)	(25, 0.04780525857844362)	(30, 0.0968773231722156)	(35, 0.157283967903136)	(40, 0.22195774868568874)	(45, 0.26816283124477025)	(50, 0.2917654275303617)	(55, 0.30370007367477087)	(60, 0.3123676937796491)	(65, 0.3206352698796867)	(70, 0.33010297799424604)	(75, 0.33590361606443375)	(80, 0.3425043421443026)	(85, 0.3493050902265916)	(90, 0.35530575029919953)	(95, 0.36037297436051297)	(100, 0.36717372244280205)	(105, 0.3728410125113763)	(110, 0.3776415405694627)	(115, 0.3814419586154477)	(120, 0.3851090286598192)	(125, 0.390109578720326)	(130, 0.3940433447679245)	(135, 0.3979104368147163)	(140, 0.4023775948687689)
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R2_paired - illumina_universal_adapter	(1, 7.36384514203495e-06)	(2, 1.2273075236724917e-05)	(3, 1.8000510347196544e-05)	(4, 2.1273330410323187e-05)	(5, 2.5364355489231493e-05)	(6, 3.190999561548478e-05)	(7, 3.681922571017475e-05)	(8, 4.0910250789083056e-05)	(9, 4.9910505962681327e-05)	(10, 0.00012273075236724916)	(15, 0.0004125389689571135)	(20, 0.0010677575455950677)	(25, 0.002213080926686237)	(30, 0.003854072906337936)	(35, 0.0059776422042976595)	(40, 0.008567915643259243)	(45, 0.011614583840023836)	(50, 0.014961696918583452)	(55, 0.01861776421110223)	(60, 0.022606022740028358)	(65, 0.026846942977827866)	(70, 0.031200448225798927)	(75, 0.03581299718176646)	(80, 0.0406309155966952)	(85, 0.0456044566056256)	(90, 0.050643781297824854)	(95, 0.055710761319557524)	(100, 0.06076023175395247)	(105, 0.06593603304278409)	(110, 0.07128823933301824)	(115, 0.07681095954854131)	(120, 0.08246099246452)	(125, 0.08840541554517692)	(130, 0.09495383756848386)	(135, 0.10239377577698652)	(140, 0.10718240245235025)
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R2_unpaired - illumina_universal_adapter	(1, 0.001682227268904029)	(2, 0.001682227268904029)	(3, 0.001682227268904029)	(4, 0.001682227268904029)	(5, 0.001682227268904029)	(6, 0.001682227268904029)	(7, 0.001682227268904029)	(8, 0.001682227268904029)	(9, 0.0020186727226848347)	(10, 0.002556985448734124)	(15, 0.0049121036251997645)	(20, 0.016687694507527967)	(25, 0.05706114896122466)	(30, 0.1228025906299941)	(35, 0.19096643956598533)	(40, 0.25354529396921527)	(45, 0.29997476659096645)	(50, 0.32567919925982)	(55, 0.336109008327025)	(60, 0.34499116830683824)	(65, 0.35468079737572544)	(70, 0.3628900664479771)	(75, 0.3716376482462781)	(80, 0.37675161914374633)	(85, 0.38300950458406924)	(90, 0.38946925729666076)	(95, 0.3965346118260577)	(100, 0.4035326772646985)	(105, 0.4095886954327529)	(110, 0.4156447136008075)	(115, 0.4179325426865169)	(120, 0.4214315754058374)	(125, 0.42614181175876864)	(130, 0.4319286735637985)	(135, 0.43899402809319543)	(140, 0.4420893262679788)
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R1_paired - illumina_universal_adapter	(1, 4.161002986801232e-06)	(2, 7.489805376242217e-06)	(3, 1.0818607765683203e-05)	(4, 1.5811811349844682e-05)	(5, 1.9140613739285667e-05)	(6, 2.2469416128726652e-05)	(7, 3.245582329704961e-05)	(8, 3.661682628385084e-05)	(9, 4.993203584161478e-05)	(10, 0.00011883824530304317)	(15, 0.0004042830501976077)	(20, 0.0009373907528665815)	(25, 0.001800216332209685)	(30, 0.002966795129589279)	(35, 0.004406502163022505)	(40, 0.006180254516236133)	(45, 0.008239285234224855)	(50, 0.010525340275173451)	(55, 0.013033093555258817)	(60, 0.01591100966105002)	(65, 0.019142611020719333)	(70, 0.02259108385606072)	(75, 0.026335487223823412)	(80, 0.030341035139037752)	(85, 0.03461421876636314)	(90, 0.038961801127092535)	(95, 0.043453853511523685)	(100, 0.048182583745844075)	(105, 0.05304446607574211)	(110, 0.05810690874960396)	(115, 0.06346661347684288)	(120, 0.06941085590366766)	(125, 0.07619695245478206)	(130, 0.08410918285424432)	(135, 0.09367882396340928)	(140, 0.10032344641297242)
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R2_paired - illumina_universal_adapter	(1, 4.9932035841614786e-06)	(2, 8.322005973602465e-06)	(3, 1.2483008960403695e-05)	(4, 1.830841314192542e-05)	(5, 2.5798218518167637e-05)	(6, 2.829482031024838e-05)	(7, 3.5784625686490596e-05)	(8, 3.8281227478571334e-05)	(9, 5.2428637633695525e-05)	(10, 0.00012316568840931648)	(15, 0.0004149352178438188)	(20, 0.0009665177737741903)	(25, 0.0018995810835344983)	(30, 0.0032151237878415757)	(35, 0.004866376213123777)	(40, 0.0069217452484841135)	(45, 0.00932647209461628)	(50, 0.01199117840736379)	(55, 0.014952148132771547)	(60, 0.01819406877984812)	(65, 0.021664678151079295)	(70, 0.02530722016572509)	(75, 0.029237537146938063)	(80, 0.03338405984334523)	(85, 0.03772648256037099)	(90, 0.04210635430427797)	(95, 0.0467020988831402)	(100, 0.051508223773015095)	(105, 0.0563684417017184)	(110, 0.06149746042336908)	(115, 0.06690293618346281)	(120, 0.07282620715523411)	(125, 0.07954739205975439)	(130, 0.08741584870779553)	(135, 0.09691292192487065)	(140, 0.10349246628772024)
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R2_unpaired - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00032103656285414347)	(9, 0.00032103656285414347)	(10, 0.0005136585005666295)	(15, 0.0011557316262749164)	(20, 0.006805975132507841)	(25, 0.029150119907156224)	(30, 0.06696822701137432)	(35, 0.11268383356180434)	(40, 0.15878468398765938)	(45, 0.18966840133422797)	(50, 0.20180358341011456)	(55, 0.20995791210660983)	(60, 0.2168923018642593)	(65, 0.22292778924591722)	(70, 0.22684443531273776)	(75, 0.2332009592572498)	(80, 0.23885120276348273)	(85, 0.2461066290839864)	(90, 0.24950961665024032)	(95, 0.2543893724056233)	(100, 0.25984699397414374)	(105, 0.2641488839163893)	(110, 0.2695422981723389)	(115, 0.2742294319900093)	(120, 0.2795586389333881)	(125, 0.28719930912931674)	(130, 0.29541784513838276)	(135, 0.304342661585728)	(140, 0.308837173465686)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_paired - illumina_universal_adapter	(1, 1.6118045080673112e-06)	(2, 5.6413157782355895e-06)	(3, 8.059022540336556e-06)	(4, 1.1282631556471179e-05)	(5, 1.8535751842774078e-05)	(6, 2.1759360858908703e-05)	(7, 2.9012481145211603e-05)	(8, 3.5459699177480846e-05)	(9, 4.593642847991837e-05)	(10, 0.0001195958944985945)	(15, 0.0003723268413635489)	(20, 0.0009474186898419657)	(25, 0.002004117725330895)	(30, 0.0034881061359084684)	(35, 0.00554267334234187)	(40, 0.007990843209645309)	(45, 0.010789741737904196)	(50, 0.013961128287977437)	(55, 0.017397979040529362)	(60, 0.021082402965520435)	(65, 0.024997798476517542)	(70, 0.029028760370743083)	(75, 0.033275059347246415)	(80, 0.037669805518942744)	(85, 0.0421322474799779)	(90, 0.04665464856871317)	(95, 0.05139722215325042)	(100, 0.056153979617458674)	(105, 0.06084787670585229)	(110, 0.0657782255155794)	(115, 0.07081495342283893)	(120, 0.0761347142017151)	(125, 0.08186113325797664)	(130, 0.0882227644708675)	(135, 0.09545589838127036)	(140, 0.10024779318375449)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_unpaired - illumina_universal_adapter	(1, 0.000630127663864699)	(2, 0.000630127663864699)	(3, 0.000630127663864699)	(4, 0.000630127663864699)	(5, 0.000630127663864699)	(6, 0.000630127663864699)	(7, 0.001260255327729398)	(8, 0.001260255327729398)	(9, 0.001260255327729398)	(10, 0.001260255327729398)	(15, 0.001890382991594097)	(20, 0.008065634097468147)	(25, 0.03780765983188194)	(30, 0.09533831554272895)	(35, 0.17026049477624167)	(40, 0.23661293778119447)	(45, 0.28670808705843803)	(50, 0.30636807017101664)	(55, 0.3184035085508324)	(60, 0.3272252958449382)	(65, 0.33403067461467695)	(70, 0.3429784874415557)	(75, 0.3490907257810433)	(80, 0.3540687343255744)	(85, 0.35999193436590254)	(90, 0.366356223770936)	(95, 0.37007397698773775)	(100, 0.3729725642415153)	(105, 0.37587115149529293)	(110, 0.38047108344150526)	(115, 0.3866463345473793)	(120, 0.3937667771490504)	(125, 0.3989338239927409)	(130, 0.40460497296752324)	(135, 0.40914189214734903)	(140, 0.41462400282297196)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_unpaired - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0003354500229783266)	(4, 0.0003354500229783266)	(5, 0.0003354500229783266)	(6, 0.0003354500229783266)	(7, 0.0003354500229783266)	(8, 0.0003354500229783266)	(9, 0.0006709000459566532)	(10, 0.0009392600643393145)	(15, 0.0022139701516569557)	(20, 0.00972805066637147)	(25, 0.03696659253221159)	(30, 0.07695223527122812)	(35, 0.12921534885125138)	(40, 0.1779226921877044)	(45, 0.2125411345590677)	(50, 0.23018580576772768)	(55, 0.23756570627325088)	(60, 0.24474433676498702)	(65, 0.25118497720617095)	(70, 0.25715598761518516)	(75, 0.2626573679920297)	(80, 0.26735366831372626)	(85, 0.2736601287457188)	(90, 0.2786247890857981)	(95, 0.2829185493799206)	(100, 0.2892250098119132)	(105, 0.2935187701060357)	(110, 0.29808089041854097)	(115, 0.30331391077700287)	(120, 0.3078760310895081)	(125, 0.3132432314571614)	(130, 0.31941551187996253)	(135, 0.32451435222923314)	(140, 0.32773467244982507)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_paired - illumina_universal_adapter	(1, 3.6460631587467643e-06)	(2, 7.2921263174935285e-06)	(3, 7.2921263174935285e-06)	(4, 1.1849705265926985e-05)	(5, 1.731880000404713e-05)	(6, 2.1876378952480586e-05)	(7, 2.8256989480287424e-05)	(8, 3.554911579778095e-05)	(9, 4.557578948433455e-05)	(10, 0.00011138722949971365)	(15, 0.0004076298611478882)	(20, 0.001077411663409669)	(25, 0.002161386240505082)	(30, 0.0036743201482270517)	(35, 0.005767889613979444)	(40, 0.008216221025077897)	(45, 0.011066895505744054)	(50, 0.014321918390715227)	(55, 0.017795340458895335)	(60, 0.021579954017674475)	(65, 0.025730267711275918)	(70, 0.030173177973366782)	(75, 0.03497103248396165)	(80, 0.03994663257354542)	(85, 0.045139173421074624)	(90, 0.050549931148654824)	(95, 0.05606806543626012)	(100, 0.0616418021870363)	(105, 0.06733184835257648)	(110, 0.07319362409289366)	(115, 0.0791250396395429)	(120, 0.08529089704729956)	(125, 0.09191706992884799)	(130, 0.09903309139577406)	(135, 0.10672446162915035)	(140, 0.11178373886822736)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_paired - illumina_universal_adapter	(1, 4.557578948433455e-06)	(2, 6.380610527806837e-06)	(3, 6.380610527806837e-06)	(4, 1.0026673686553602e-05)	(5, 1.549576842467375e-05)	(6, 2.0053347373107204e-05)	(7, 2.643395790091404e-05)	(8, 3.1903052639034186e-05)	(9, 4.375275790496117e-05)	(10, 0.00010792346949890421)	(15, 0.00040525992009470284)	(20, 0.0011211644213146301)	(25, 0.002370670265817146)	(30, 0.004211567554668388)	(35, 0.006804465370011148)	(40, 0.009912916516000703)	(45, 0.01352379516526556)	(50, 0.01764566956622878)	(55, 0.022042821735677377)	(60, 0.02667660340412864)	(65, 0.03157381313579936)	(70, 0.0366679102780424)	(75, 0.04207210509193685)	(80, 0.04759242701743739)	(85, 0.053194238454535914)	(90, 0.05901517828747512)	(95, 0.06493055115622588)	(100, 0.07085576839550525)	(105, 0.07683458276321818)	(110, 0.08307226761520214)	(115, 0.0893640965050935)	(120, 0.0958210920560761)	(125, 0.10268535286189069)	(130, 0.11007865743203944)	(135, 0.11800975631810333)	(140, 0.12315489834456883)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_unpaired - illumina_universal_adapter	(1, 0.0006884634184962582)	(2, 0.0006884634184962582)	(3, 0.0006884634184962582)	(4, 0.0006884634184962582)	(5, 0.0006884634184962582)	(6, 0.0006884634184962582)	(7, 0.0006884634184962582)	(8, 0.0006884634184962582)	(9, 0.0006884634184962582)	(10, 0.0006884634184962582)	(15, 0.003166931725082788)	(20, 0.01611004399281244)	(25, 0.05776208081183606)	(30, 0.12812304218215365)	(35, 0.21087634508540393)	(40, 0.2872269381966389)	(45, 0.34698556292211413)	(50, 0.37335371185052085)	(55, 0.38491989728125797)	(60, 0.3969680071049425)	(65, 0.4058491852035441)	(70, 0.4130092047559053)	(75, 0.4215461511452589)	(80, 0.4306338682694095)	(85, 0.43765619513807136)	(90, 0.4457800634763272)	(95, 0.45183854155909425)	(100, 0.4576216342744628)	(105, 0.4626474172294855)	(110, 0.4699451294655458)	(115, 0.4749709124205685)	(120, 0.4814424685544334)	(125, 0.4877074856627493)	(130, 0.49569366131730597)	(135, 0.5016144467163738)	(140, 0.5049879174670054)
