Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_unpaired	Plasmid_Ko_P3_S63_L002_R2_unpaired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	290502.0	0.0	50-151	43.0	97.29099275929026	135.79224583651748	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	fail	pass
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_paired	Plasmid_Ko_P4_S64_L002_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119343399.0	0.0	50-151	39.0	90.85662598012676	150.2928570184263	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_unpaired	Plasmid_Ko_P4_S64_L002_R1_unpaired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1184069.0	0.0	50-151	43.0	97.82065084408971	141.8410954091358	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	warn	pass
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_paired	Plasmid_Ko_P4_S64_L002_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119343399.0	0.0	50-151	39.0	90.66869589538801	150.12700749372826	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	warn	pass
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_unpaired	Plasmid_Ko_P4_S64_L002_R2_unpaired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	311956.0	0.0	50-151	43.0	96.6311130830136	136.28590891023094	151	pass	pass	fail	pass	pass	fail	pass	warn	pass	fail	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R1_paired	RNP_Cas1_S65_L002_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155976537.0	0.0	50-151	39.0	89.95943054679823	150.30343806132842	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R1_unpaired	RNP_Cas1_S65_L002_R1_unpaired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1606491.0	0.0	50-151	43.0	96.36332129545733	142.92902481246392	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	warn	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_paired	RNP_Cas1_S65_L002_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155976537.0	0.0	50-151	40.0	89.50318024940948	150.11887695647454	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	warn	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_unpaired	RNP_Cas1_S65_L002_R2_unpaired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	391981.0	0.0	50-151	43.0	95.72324115206398	136.7361479255372	151	pass	pass	fail	pass	pass	fail	pass	warn	pass	fail	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R1_paired	RNP_Cas2_S66_L002_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143140696.0	0.0	50-151	39.0	90.265337044302	150.29599222432174	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R1_unpaired	RNP_Cas2_S66_L002_R1_unpaired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1415087.0	0.0	50-151	43.0	97.50902492764867	142.05523547315465	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	warn	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_paired	RNP_Cas2_S66_L002_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143140696.0	0.0	50-151	40.0	89.77834026450631	150.1091590402774	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	warn	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_unpaired	RNP_Cas2_S66_L002_R2_unpaired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	356744.0	0.0	50-151	43.0	96.4567398529195	136.4132178817303	151	pass	pass	fail	pass	pass	fail	pass	warn	pass	fail	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_paired	RNP_Cas3_S67_L002_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	176414779.0	0.0	50-151	39.0	89.34101656861307	150.2846817556028	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_unpaired	RNP_Cas3_S67_L002_R1_unpaired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1601904.0	0.0	50-151	43.0	97.19210538063018	141.2253237397497	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	warn	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_paired	RNP_Cas3_S67_L002_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	176414779.0	0.0	50-151	39.0	89.0014949502125	150.10699456194655	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	warn	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_unpaired	RNP_Cas3_S67_L002_R2_unpaired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	472405.0	0.0	50-151	43.0	97.06370134491111	136.10928546480244	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	fail	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R1_paired	RNP_Cas4_S68_L002_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	161325396.0	0.0	50-151	39.0	89.42072033303705	150.29228238807485	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R1_unpaired	RNP_Cas4_S68_L002_R1_unpaired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1895936.0	0.0	50-151	43.0	97.08970372167046	142.45140658756415	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	warn	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_paired	RNP_Cas4_S68_L002_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	161325396.0	0.0	50-151	40.0	88.97999705156899	150.10887207120197	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	warn	pass
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_unpaired	RNP_Cas4_S68_L002_R2_unpaired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	429550.0	0.0	50-151	43.0	96.81274029536033	135.85870329414504	151	pass	pass	fail	pass	pass	warn	pass	warn	pass	fail	pass
