Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R2_001	(1.0, 86.12905437486516)	(2.0, 7.008426723959298)	(3.0, 1.122561768956577)	(4.0, 0.48229019033021026)	(5.0, 0.3070368451704458)	(6.0, 0.2313686171988348)	(7.0, 0.20053454044758967)	(8.0, 0.14272689133588853)	(9.0, 0.1318014888311345)	('>10', 1.750634725701837)	('>50', 1.1101536067853777)	('>100', 0.7519568559554608)	('>500', 0.20699247240911106)	('>1k', 0.1812523653501044)	('>5k', 0.027228934592446345)	('>10k+', 0.2159795981105593)
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R1_001	(1.0, 86.90751307933363)	(2.0, 6.804254088506648)	(3.0, 1.0193617393526269)	(4.0, 0.44147274009889964)	(5.0, 0.3207492625544575)	(6.0, 0.24890806464738952)	(7.0, 0.18700800174028737)	(8.0, 0.1430650523419065)	(9.0, 0.11910319037351684)	('>10', 1.696441487545222)	('>50', 1.089868272133777)	('>100', 0.6804414778878056)	('>500', 0.18710637133226285)	('>1k', 0.10857007683475796)	('>5k', 0.019321810821767663)	('>10k+', 0.026815284495088368)
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R2_001	(1.0, 86.44274452466624)	(2.0, 7.0277822050129375)	(3.0, 1.0540549727417974)	(4.0, 0.4923613289077286)	(5.0, 0.33402668315951556)	(6.0, 0.2543641356842201)	(7.0, 0.19459408129083652)	(8.0, 0.14176292106535002)	(9.0, 0.11885037032552534)	('>10', 1.6576234816571267)	('>50', 1.041756658430877)	('>100', 0.6752187144359806)	('>500', 0.20509908060693474)	('>1k', 0.094562268347233)	('>5k', 0.030099845889145122)	('>10k+', 0.23509872777859384)
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_001	(1.0, 86.42243752506288)	(2.0, 7.008163601155501)	(3.0, 1.0971164528649018)	(4.0, 0.5233108892629351)	(5.0, 0.35867107921819086)	(6.0, 0.24187483159796305)	(7.0, 0.17997873667246353)	(8.0, 0.1550435661194243)	(9.0, 0.13008844929507582)	('>10', 1.8262491918484225)	('>50', 1.074231536811655)	('>100', 0.622848068567277)	('>500', 0.17124552797336837)	('>1k', 0.13053135008649186)	('>5k', 0.018863881414171266)	('>10k+', 0.039345312049169905)
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_001	(1.0, 86.34996548105144)	(2.0, 6.919646284893993)	(3.0, 1.0858303157004927)	(4.0, 0.4703826794681784)	(5.0, 0.34096457849713463)	(6.0, 0.2653008286939943)	(7.0, 0.1935675211438937)	(8.0, 0.13774746345760172)	(9.0, 0.13880115062526985)	('>10', 1.8495031366393893)	('>50', 1.0067282704010323)	('>100', 0.6617096957104887)	('>500', 0.17658954625275908)	('>1k', 0.13524356379789013)	('>5k', 0.014592820458835521)	('>10k+', 0.2534266632075386)
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_001	(1.0, 86.47296004972345)	(2.0, 6.989807962546207)	(3.0, 0.979268821676163)	(4.0, 0.46237005860163005)	(5.0, 0.33667772273232577)	(6.0, 0.23487029147941854)	(7.0, 0.17997345343301632)	(8.0, 0.16104139282702332)	(9.0, 0.12508272331827228)	('>10', 1.8150348364672502)	('>50', 1.1416659661661765)	('>100', 0.7123839021366237)	('>500', 0.2018932311387362)	('>1k', 0.1480251250875834)	('>5k', 0.030055157367582096)	('>10k+', 0.008889305298584923)
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_001	(1.0, 86.04424919794997)	(2.0, 7.023924550832675)	(3.0, 1.0368351860417588)	(4.0, 0.4952124334441498)	(5.0, 0.3040262766214533)	(6.0, 0.25030014956843205)	(7.0, 0.20052084563084685)	(8.0, 0.14670903595840942)	(9.0, 0.12580158368649233)	('>10', 1.816007037684016)	('>50', 1.1629992475690685)	('>100', 0.7750937751859779)	('>500', 0.2032473427680123)	('>1k', 0.16046461185437855)	('>5k', 0.02162049922714774)	('>10k+', 0.2329882259771387)
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_001	(1.0, 87.18761730574049)	(2.0, 6.45793873141801)	(3.0, 0.9803098596202693)	(4.0, 0.4853830357045347)	(5.0, 0.3037514219227232)	(6.0, 0.2429111173789788)	(7.0, 0.20701786057252697)	(8.0, 0.15108130959637517)	(9.0, 0.14314168460862708)	('>10', 1.8808346432528724)	('>50', 0.9451683615759604)	('>100', 0.6220101176641174)	('>500', 0.2350350239251594)	('>1k', 0.12104511060841266)	('>5k', 0.03675441641090717)	('>10k+', 0.0)
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_001	(1.0, 86.76915660448023)	(2.0, 6.593164372585983)	(3.0, 1.0749508944388342)	(4.0, 0.4624683294595758)	(5.0, 0.2971509248977983)	(6.0, 0.2573814862467023)	(7.0, 0.18563817446808367)	(8.0, 0.14578200439349054)	(9.0, 0.11488030728287095)	('>10', 1.867450198980315)	('>50', 1.0042892120079294)	('>100', 0.6359067499699818)	('>500', 0.2219963388005664)	('>1k', 0.12543453721692996)	('>5k', 0.03843796576989566)	('>10k+', 0.20591189900081752)
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_001	(1.0, 86.61820714790153)	(2.0, 6.9305408337547965)	(3.0, 1.0392644603226355)	(4.0, 0.478400147374643)	(5.0, 0.32372871353432026)	(6.0, 0.22190627359482468)	(7.0, 0.2189984750470221)	(8.0, 0.16806860773360577)	(9.0, 0.14411863250707893)	('>10', 1.7228295166928087)	('>50', 1.0787058588799894)	('>100', 0.6657646145681441)	('>500', 0.2156683339183083)	('>1k', 0.14062049789510567)	('>5k', 0.02488569437532628)	('>10k+', 0.00829219189994633)
