Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
trimmed_fastp | fastqc_results | Only_MNP_C3_S59_L002_R2_filtered	(1.0, 86.31692739595279)	(2.0, 7.088456403965967)	(3.0, 1.1138597777029233)	(4.0, 0.4742841906808175)	(5.0, 0.3036667979370107)	(6.0, 0.22884312602202384)	(7.0, 0.18994795779347554)	(8.0, 0.14401977683723569)	(9.0, 0.1310718793448773)	('>10', 1.7553989764640061)	('>50', 1.121076234565377)	('>100', 0.7154977564907271)	('>500', 0.2031524343961189)	('>1k', 0.1615661949635389)	('>5k', 0.029796731130454612)	('>10k+', 0.022434365752602957)
trimmed_fastp | fastqc_results | Only_MNP_C4_S60_L002_R1_filtered	(1.0, 87.03069707039229)	(2.0, 6.797608154801717)	(3.0, 1.0007418091637605)	(4.0, 0.44562616919417086)	(5.0, 0.30986962156786474)	(6.0, 0.24899929053723863)	(7.0, 0.19207967872724122)	(8.0, 0.14612161102975296)	(9.0, 0.11514386815086844)	('>10', 1.6851042343621776)	('>50', 1.0751602359064674)	('>100', 0.6597760025293218)	('>500', 0.18513436290173815)	('>1k', 0.08897776700271967)	('>5k', 0.018960123732597298)	('>10k+', 0.0)
trimmed_fastp | fastqc_results | Only_MNP_C4_S60_L002_R2_filtered	(1.0, 86.64315353006364)	(2.0, 7.091124465937465)	(3.0, 1.0493861168124448)	(4.0, 0.49544542401281827)	(5.0, 0.33076813183409703)	(6.0, 0.25492788521575843)	(7.0, 0.19202592349506797)	(8.0, 0.13707575494069052)	(9.0, 0.12111749216316527)	('>10', 1.6544887250200302)	('>50', 1.0495521116345115)	('>100', 0.6481383336938601)	('>500', 0.19369742499729267)	('>1k', 0.0851792126443989)	('>5k', 0.022092056213140518)	('>10k+', 0.031827411321550016)
trimmed_fastp | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_filtered	(1.0, 86.56655419971743)	(2.0, 6.984276711329818)	(3.0, 1.0866169581970595)	(4.0, 0.5145537350156826)	(5.0, 0.35683514434278174)	(6.0, 0.23898639661563129)	(7.0, 0.1910664782991897)	(8.0, 0.15311522965513405)	(9.0, 0.12214131568652573)	('>10', 1.8344411338993334)	('>50', 1.0524908469193126)	('>100', 0.6029658276455205)	('>500', 0.16210955240122854)	('>1k', 0.11939881518796445)	('>5k', 0.01444765508752511)	('>10k+', 0.0)
trimmed_fastp | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_filtered	(1.0, 86.51781422564187)	(2.0, 6.9917746252326705)	(3.0, 1.0882278833676804)	(4.0, 0.4704248973148912)	(5.0, 0.3407216944813786)	(6.0, 0.26689022127129264)	(7.0, 0.19499881868429694)	(8.0, 0.14005588093913968)	(9.0, 0.13911182084167223)	('>10', 1.845825244978803)	('>50', 1.0052157247334501)	('>100', 0.6581011454456203)	('>500', 0.1644495694531387)	('>1k', 0.12119984350387708)	('>5k', 0.022537015666425804)	('>10k+', 0.03265138844366627)
trimmed_fastp | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_filtered	(1.0, 86.63344893612044)	(2.0, 6.96689791793101)	(3.0, 0.9705736341602054)	(4.0, 0.4575155697389474)	(5.0, 0.3287868575513052)	(6.0, 0.23094504999917376)	(7.0, 0.17903082448711213)	(8.0, 0.16209434855474336)	(9.0, 0.12412309543823113)	('>10', 1.805806931248409)	('>50', 1.103299023037749)	('>100', 0.6860501066245811)	('>500', 0.20713963587466236)	('>1k', 0.1305835625602591)	('>5k', 0.013704506673260406)	('>10k+', 0.0)
trimmed_fastp | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_filtered	(1.0, 86.27893092974746)	(2.0, 7.073802034130382)	(3.0, 1.0380499329731288)	(4.0, 0.4942746292502434)	(5.0, 0.30967275952843426)	(6.0, 0.24084438114249684)	(7.0, 0.1969535638810875)	(8.0, 0.1550270321149696)	(9.0, 0.12107074021063538)	('>10', 1.8070860462824807)	('>50', 1.1484209511576728)	('>100', 0.7380094283535212)	('>500', 0.2079186398896832)	('>1k', 0.1372137454089042)	('>5k', 0.029453468750813883)	('>10k+', 0.02327171717808236)
trimmed_fastp | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_filtered	(1.0, 87.35828282706062)	(2.0, 6.427745934131873)	(3.0, 0.9825783738292798)	(4.0, 0.4595461921597571)	(5.0, 0.3138341466066523)	(6.0, 0.2429830599428999)	(7.0, 0.20207856007361877)	(8.0, 0.15312969423710715)	(9.0, 0.13717900122586726)	('>10', 1.8593499540344387)	('>50', 0.9191405535591606)	('>100', 0.5889250815559703)	('>500', 0.23456872884065086)	('>1k', 0.10630661673881779)	('>5k', 0.014351276003249782)	('>10k+', 0.0)
trimmed_fastp | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_filtered	(1.0, 86.9999997504431)	(2.0, 6.65254977828013)	(3.0, 1.0631794538206694)	(4.0, 0.45642815537926246)	(5.0, 0.2987628842540045)	(6.0, 0.24691734953175534)	(7.0, 0.1860230518648158)	(8.0, 0.14508448089472487)	(9.0, 0.11511976778485351)	('>10', 1.8553283546359691)	('>50', 1.0117918213970303)	('>100', 0.6038254231759849)	('>500', 0.20291224593676876)	('>1k', 0.10990947673259921)	('>5k', 0.02658649846396125)	('>10k+', 0.025581507404181254)
trimmed_fastp | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_filtered	(1.0, 86.71792093970589)	(2.0, 6.940994500235378)	(3.0, 1.0225153342125703)	(4.0, 0.47451103434818165)	(5.0, 0.3228033524792423)	(6.0, 0.2299567341521737)	(7.0, 0.20704817077096638)	(8.0, 0.16710915928506728)	(9.0, 0.14715798174353117)	('>10', 1.7134103739727322)	('>50', 1.0619028940863684)	('>100', 0.6374529345582186)	('>500', 0.20401231632408154)	('>1k', 0.13483484076690552)	('>5k', 0.01836943335858746)	('>10k+', 0.0)
trimmed_fastp | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_filtered	(1.0, 86.66763475820457)	(2.0, 6.913340528774301)	(3.0, 1.0871534565523302)	(4.0, 0.4454312733285285)	(5.0, 0.336712001939188)	(6.0, 0.25388979005608026)	(7.0, 0.18899752727360103)	(8.0, 0.1530624008938996)	(9.0, 0.1301077568885347)	('>10', 1.7357320458138068)	('>50', 1.0435394303102543)	('>100', 0.6752978709320294)	('>500', 0.19437454242910687)	('>1k', 0.12284032225119378)	('>5k', 0.029838629437437408)	('>10k+', 0.02204766491520578)
trimmed_fastp | fastqc_results | RNP_Cas1_S65_L002_R1_filtered	(1.0, 85.28112007936653)	(2.0, 7.913419761127491)	(3.0, 1.2432675804327153)	(4.0, 0.479486509542766)	(5.0, 0.3387464372063032)	(6.0, 0.26888537779913085)	(7.0, 0.19997916644844274)	(8.0, 0.15003267575716986)	(9.0, 0.1400755879014635)	('>10', 1.6399681184472332)	('>50', 1.0788382956231455)	('>100', 0.9446288877829513)	('>500', 0.16355666299534719)	('>1k', 0.11769047427591364)	('>5k', 0.026159409257908165)	('>10k+', 0.014144976035490505)
trimmed_fastp | fastqc_results | RNP_Cas1_S65_L002_R2_filtered	(1.0, 84.70191268400592)	(2.0, 8.479308446659415)	(3.0, 1.222843468822934)	(4.0, 0.5012777705616503)	(5.0, 0.3036604607543564)	(6.0, 0.22881793637200468)	(7.0, 0.20290396052869314)	(8.0, 0.172973860578057)	(9.0, 0.13702342427120284)	('>10', 1.624159199056182)	('>50', 1.0368479197090175)	('>100', 1.027413234590177)	('>500', 0.16628951415894544)	('>1k', 0.13506999649905668)	('>5k', 0.014015515587754584)	('>10k+', 0.04548260784470253)
trimmed_fastp | fastqc_results | RNP_Cas2_S66_L002_R1_filtered	(1.0, 85.72930057126837)	(2.0, 7.7158430767637745)	(3.0, 1.1210470390838772)	(4.0, 0.4553668831375879)	(5.0, 0.31167624091153173)	(6.0, 0.2218475120855573)	(7.0, 0.18793683321008367)	(8.0, 0.13500202195336364)	(9.0, 0.1210442896894442)	('>10', 1.6882850998272203)	('>50', 1.086960000429858)	('>100', 0.8197928300716848)	('>500', 0.15091981459461026)	('>1k', 0.23281151118246732)	('>5k', 0.02216627579040418)	('>10k+', 0.0)
trimmed_fastp | fastqc_results | RNP_Cas2_S66_L002_R2_filtered	(1.0, 85.23326663534901)	(2.0, 8.009635794612565)	(3.0, 1.1993730246475756)	(4.0, 0.4571596114269605)	(5.0, 0.35447309713612346)	(6.0, 0.25770756340527656)	(7.0, 0.18785286464479606)	(8.0, 0.14393783340178973)	(9.0, 0.10899120282476507)	('>10', 1.6513937504985907)	('>50', 1.0863160554218372)	('>100', 0.8343306702311601)	('>500', 0.16657102664254259)	('>1k', 0.2489574951189952)	('>5k', 0.01450564839658069)	('>10k+', 0.04552772624162511)
trimmed_fastp | fastqc_results | RNP_Cas3_S67_L002_R1_filtered	(1.0, 84.03022739422181)	(2.0, 9.032790264856345)	(3.0, 1.333986590649272)	(4.0, 0.5563189544261893)	(5.0, 0.37764531914956034)	(6.0, 0.255832611508711)	(7.0, 0.19492797489661862)	(8.0, 0.145987618650947)	(9.0, 0.12802557516102203)	('>10', 1.6776911128259877)	('>50', 1.04281949410942)	('>100', 0.8558758213397093)	('>500', 0.1307456081735309)	('>1k', 0.20375192260323116)	('>5k', 0.01959568294259476)	('>10k+', 0.013778054484942794)
trimmed_fastp | fastqc_results | RNP_Cas3_S67_L002_R2_filtered	(1.0, 83.69565796381126)	(2.0, 9.229881107714276)	(3.0, 1.3564306002083866)	(4.0, 0.5551069305091855)	(5.0, 0.3755030139388831)	(6.0, 0.27871060759026356)	(7.0, 0.22383140144577482)	(8.0, 0.17391856078762735)	(9.0, 0.1409741466950892)	('>10', 1.6802797151552795)	('>50', 0.9793429306053906)	('>100', 0.872981318876727)	('>500', 0.13554011220068135)	('>1k', 0.2418782665374055)	('>5k', 0.024436472139077556)	('>10k+', 0.03552685178484932)
trimmed_fastp | fastqc_results | RNP_Cas4_S68_L002_R1_filtered	(1.0, 84.53548492149133)	(2.0, 8.262589693402385)	(3.0, 1.1878676609748813)	(4.0, 0.4982609787469627)	(5.0, 0.334608028904144)	(6.0, 0.27876032311875004)	(7.0, 0.2208788950146116)	(8.0, 0.17895760362031501)	(9.0, 0.13200981397704634)	('>10', 1.6175710792739502)	('>50', 1.259366578353735)	('>100', 1.090548884356187)	('>500', 0.15994681017776172)	('>1k', 0.2067954690652398)	('>5k', 0.02250180471492996)	('>10k+', 0.013851454807823387)
trimmed_fastp | fastqc_results | RNP_Cas4_S68_L002_R2_filtered	(1.0, 84.05809636399928)	(2.0, 8.64932557918791)	(3.0, 1.2831851855004959)	(4.0, 0.48408920972745895)	(5.0, 0.33946723432933595)	(6.0, 0.26067220146600045)	(7.0, 0.23277985140381588)	(8.0, 0.18588213367975845)	(9.0, 0.1509513068071623)	('>10', 1.614369300014387)	('>50', 1.128583333396933)	('>100', 1.176444245311616)	('>500', 0.14210602501024863)	('>1k', 0.23056169053225326)	('>5k', 0.017284936138603175)	('>10k+', 0.046201403494784105)
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R1_paired	(1.0, 86.4330890693462)	(2.0, 7.227709337017033)	(3.0, 1.0603083550575723)	(4.0, 0.47742048616874305)	(5.0, 0.3387180328736983)	(6.0, 0.21990076807285452)	(7.0, 0.20198580942505928)	(8.0, 0.15804908271438606)	(9.0, 0.11908230601424663)	('>10', 1.657381196332353)	('>50', 1.098026305841641)	('>100', 0.6700584160557104)	('>500', 0.1654470967639827)	('>1k', 0.1072616722715406)	('>5k', 0.0317009912321316)	('>10k+', 0.0338610748129457)
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R1_unpaired	(1.0, 94.73011188070599)	(2.0, 1.670105521943559)	(3.0, 0.566184788128104)	(4.0, 0.32850920674929407)	(5.0, 0.16140986115238543)	(6.0, 0.1285456353160864)	(7.0, 0.06848294822701798)	(8.0, 0.032953893629002376)	(9.0, 0.022320180576880375)	('>10', 0.13369253169541287)	('>50', 0.022710954267840897)	('>100', 0.19880130701660526)	('>500', 0.10532223608897706)	('>1k', 0.9353121064846429)	('>5k', 0.8955369480182258)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R2_paired	(1.0, 85.88659659481844)	(2.0, 7.553308185465495)	(3.0, 1.075610809512322)	(4.0, 0.484658323535843)	(5.0, 0.3352002669476341)	(6.0, 0.21956009505893476)	(7.0, 0.17970860138029585)	(8.0, 0.1807759042948874)	(9.0, 0.14787313178037206)	('>10', 1.6751148250074055)	('>50', 1.0188294539751146)	('>100', 0.7281720409183711)	('>500', 0.20339667624165184)	('>1k', 0.10162995056920482)	('>5k', 0.026582846762964456)	('>10k+', 0.1829822937310093)
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R2_unpaired	(1.0, 94.82682631076992)	(2.0, 0.5393378975695398)	(3.0, 0.11038996345765403)	(4.0, 0.041804476246977605)	(5.0, 0.030613466065354165)	(6.0, 0.013444057040327799)	(7.0, 0.015057710483849232)	(8.0, 0.007172669765254414)	(9.0, 0.015831420947535098)	('>10', 0.1315681265500873)	('>50', 0.0)	('>100', 0.07260904232697069)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 4.195344858776511)
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R1_paired	(1.0, 86.64237783277378)	(2.0, 6.978904026473402)	(3.0, 1.0672705817232706)	(4.0, 0.46643037699460665)	(5.0, 0.3267313359799131)	(6.0, 0.23590008944464383)	(7.0, 0.19799505170553933)	(8.0, 0.15305714133295628)	(9.0, 0.14711349026838297)	('>10', 1.735947093814357)	('>50', 1.0181098531625952)	('>100', 0.6670821620394509)	('>500', 0.2039290468552422)	('>1k', 0.11090462537063404)	('>5k', 0.03529262630826008)	('>10k+', 0.012954665753024182)
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R1_unpaired	(1.0, 95.6250514063932)	(2.0, 1.7023510898050382)	(3.0, 0.6095724764093028)	(4.0, 0.29664858746042916)	(5.0, 0.17413648186444267)	(6.0, 0.12138210819651506)	(7.0, 0.06464163771278071)	(8.0, 0.05677650536876218)	(9.0, 0.0313103921405688)	('>10', 0.11331043054089636)	('>50', 0.0365474454352781)	('>100', 0.1166071304136705)	('>500', 0.055926000466203496)	('>1k', 0.995738307792938)	('>5k', 0.0)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R2_paired	(1.0, 86.27192664518721)	(2.0, 7.184975916000691)	(3.0, 1.0424967013075517)	(4.0, 0.4945361739712129)	(5.0, 0.32018042777410793)	(6.0, 0.22651081477790794)	(7.0, 0.2236064966064637)	(8.0, 0.15478946097263077)	(9.0, 0.133871384768642)	('>10', 1.6958237835497654)	('>50', 1.0588897718308752)	('>100', 0.6708210223634584)	('>500', 0.17174608601141333)	('>1k', 0.12964350114571488)	('>5k', 0.023741004565012606)	('>10k+', 0.19644080916747828)
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R2_unpaired	(1.0, 96.00654983966731)	(2.0, 0.5427459506406129)	(3.0, 0.07754729174203305)	(4.0, 0.02924046989317578)	(5.0, 0.02446116156573855)	(6.0, 0.019384838249375994)	(7.0, 0.024387957926878794)	(8.0, 0.02460706570217403)	(9.0, 0.018226659910597135)	('>10', 0.08207386550920928)	('>50', 0.04252458275746817)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 3.108250316435406)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R1_paired	(1.0, 86.92460061902618)	(2.0, 6.879204132952839)	(3.0, 1.0506254916326023)	(4.0, 0.4965520809990979)	(5.0, 0.3438294398224782)	(6.0, 0.23297896618884054)	(7.0, 0.18405802924481357)	(8.0, 0.14510456473772387)	(9.0, 0.14816679681480852)	('>10', 1.759170724751534)	('>50', 0.9807376140900459)	('>100', 0.5657904252866918)	('>500', 0.16517763344310618)	('>1k', 0.08221672046018552)	('>5k', 0.028271420987012973)	('>10k+', 0.013515339562027972)
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R1_unpaired	(1.0, 95.84821539734556)	(2.0, 1.6443447281658925)	(3.0, 0.5511252283245481)	(4.0, 0.32434631901644667)	(5.0, 0.1593259874755837)	(6.0, 0.07675833319670043)	(7.0, 0.05354384624148276)	(8.0, 0.03876292023285924)	(9.0, 0.01742017425383809)	('>10', 0.09894563515173535)	('>50', 0.04080590378613065)	('>100', 0.09835908456273318)	('>500', 0.05588230081733732)	('>1k', 0.9921641414291549)	('>5k', 0.0)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R2_paired	(1.0, 86.51914589968729)	(2.0, 7.201979861448912)	(3.0, 1.0479321806369382)	(4.0, 0.47580097978065655)	(5.0, 0.3173295682552533)	(6.0, 0.21463390383134312)	(7.0, 0.19374835094540388)	(8.0, 0.1578591528714006)	(9.0, 0.13393492890021613)	('>10', 1.6990065927116615)	('>50', 1.0102703486495412)	('>100', 0.5809024904518116)	('>500', 0.1612699788476825)	('>1k', 0.07555013415117255)	('>5k', 0.031065001797640587)	('>10k+', 0.1795706270331277)
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R2_unpaired	(1.0, 95.34548400072379)	(2.0, 0.5511256842902702)	(3.0, 0.08546016017922732)	(4.0, 0.03324310524026492)	(5.0, 0.01460661294264189)	(6.0, 0.0124975658100121)	(7.0, 0.014113215280186957)	(8.0, 0.015789697584058696)	(9.0, 0.017515780108156555)	('>10', 0.11037145720692278)	('>50', 0.03753115320015768)	('>100', 0.04983127903886482)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 3.7124302883954288)
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R1_paired	(1.0, 87.14564887177502)	(2.0, 6.4448032504631065)	(3.0, 0.9993994950148593)	(4.0, 0.4634644479227927)	(5.0, 0.32177158089826186)	(6.0, 0.2419360120132896)	(7.0, 0.19003432952479588)	(8.0, 0.16810515263463338)	(9.0, 0.12513390841570668)	('>10', 1.9021760022947483)	('>50', 1.0342397398434675)	('>100', 0.603615705405097)	('>500', 0.2077582209845203)	('>1k', 0.11976796088247048)	('>5k', 0.022213856794497902)	('>10k+', 0.00993146513274528)
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R1_unpaired	(1.0, 95.84293554566366)	(2.0, 1.6251650839096707)	(3.0, 0.5646288703656933)	(4.0, 0.2808054201337546)	(5.0, 0.13975248949340668)	(6.0, 0.08788678170181106)	(7.0, 0.047832188005592864)	(8.0, 0.02158536869196814)	(9.0, 0.03235625434758906)	('>10', 0.08993907940365997)	('>50', 0.04212488555791768)	('>100', 0.1521226968743809)	('>500', 0.14993911749340894)	('>1k', 0.922926218357488)	('>5k', 0.0)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R2_paired	(1.0, 86.54343506656764)	(2.0, 6.809522880206541)	(3.0, 1.029608819150039)	(4.0, 0.49259797279807094)	(5.0, 0.33320065637423085)	(6.0, 0.21857333438122045)	(7.0, 0.20269486804418965)	(8.0, 0.15383709123334585)	(9.0, 0.10893324262454104)	('>10', 1.8464027014124085)	('>50', 1.0762405313147256)	('>100', 0.6615145317762964)	('>500', 0.205497843697099)	('>1k', 0.11664927073214885)	('>5k', 0.03035121903318614)	('>10k+', 0.1709399706541469)
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R2_unpaired	(1.0, 95.4977685787705)	(2.0, 0.5299174331051267)	(3.0, 0.08585264579723462)	(4.0, 0.037447206598379405)	(5.0, 0.023921882368159585)	(6.0, 0.01611089688127675)	(7.0, 0.02360790302955367)	(8.0, 0.017731150390610927)	(9.0, 0.02636262327987063)	('>10', 0.10336764334245002)	('>50', 0.027786849202027262)	('>100', 0.051965016689505525)	('>500', 0.0)	('>1k', 0.0)	('>5k', 3.558160170545309)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R1_paired	(1.0, 86.61818712158474)	(2.0, 7.0214969791640325)	(3.0, 1.0434296709434752)	(4.0, 0.4794787715523649)	(5.0, 0.3267812494113345)	(6.0, 0.23194155558666874)	(7.0, 0.19003139689460705)	(8.0, 0.15208854381845024)	(9.0, 0.13313298927335368)	('>10', 1.9313403516946892)	('>50', 0.9142302909773504)	('>100', 0.5923330330527798)	('>500', 0.20920238250566495)	('>1k', 0.1270321573459253)	('>5k', 0.02929350619462509)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R1_unpaired	(1.0, 96.91215171745965)	(2.0, 1.4814948438505202)	(3.0, 0.421318649486674)	(4.0, 0.17734838966947467)	(5.0, 0.10306385483369665)	(6.0, 0.043896527871204884)	(7.0, 0.02360655373539476)	(8.0, 0.03014579721716962)	(9.0, 0.010013705020799664)	('>10', 0.08374723973919225)	('>50', 0.02765634294428777)	('>100', 0.12393439688003359)	('>500', 0.11062537177715108)	('>1k', 0.4509966095146995)	('>5k', 0.0)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R2_paired	(1.0, 86.3012075504958)	(2.0, 7.202084058633883)	(3.0, 1.0879942219189356)	(4.0, 0.47289166413279454)	(5.0, 0.33834866587614176)	(6.0, 0.2296540105820437)	(7.0, 0.15283366635948195)	(8.0, 0.1548961688979662)	(9.0, 0.1389649035955942)	('>10', 1.8700664016099575)	('>50', 0.9461449555029705)	('>100', 0.6286919316550922)	('>500', 0.18883685109712178)	('>1k', 0.12336241571384822)	('>5k', 0.03444273217683006)	('>10k+', 0.12957980175156084)
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R2_unpaired	(1.0, 97.12230591903386)	(2.0, 0.4341974519421982)	(3.0, 0.09929222804238105)	(4.0, 0.04428051926843434)	(5.0, 0.02658796012121291)	(6.0, 0.030428516372693053)	(7.0, 0.022145256620788006)	(8.0, 0.016549213446424443)	(9.0, 0.009192740193662018)	('>10', 0.06145415062295727)	('>50', 0.02127582219343456)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 2.1122902221419246)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R1_paired	(1.0, 86.58127416185326)	(2.0, 6.817274795048553)	(3.0, 1.092091301532055)	(4.0, 0.4633810459376385)	(5.0, 0.3157083016988044)	(6.0, 0.24887248051005875)	(7.0, 0.1979799932005081)	(8.0, 0.1620502443275485)	(9.0, 0.14910749715019847)	('>10', 1.7495147583960449)	('>50', 1.0919064242748406)	('>100', 0.7430615366797894)	('>500', 0.1942965709330602)	('>1k', 0.16236694634721352)	('>5k', 0.0311139421103314)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R1_unpaired	(1.0, 96.52452551362349)	(2.0, 1.505582056542532)	(3.0, 0.53555359692348)	(4.0, 0.23235270540439967)	(5.0, 0.1278842904992398)	(6.0, 0.07416981770274841)	(7.0, 0.05416169479821763)	(8.0, 0.03629610140464641)	(9.0, 0.02100530767211185)	('>10', 0.0820789341222091)	('>50', 0.035825726211741016)	('>100', 0.07538515093686446)	('>500', 0.1842846909105189)	('>1k', 0.5108944132478304)	('>5k', 0.0)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R2_paired	(1.0, 86.1056233472145)	(2.0, 7.072815942516733)	(3.0, 1.1302827685447216)	(4.0, 0.4856035585742947)	(5.0, 0.3032531395364737)	(6.0, 0.2405069123536594)	(7.0, 0.19068769147677542)	(8.0, 0.15381148446774018)	(9.0, 0.12689674673413778)	('>10', 1.77006359130793)	('>50', 1.122596923242168)	('>100', 0.7432154334240423)	('>500', 0.19953791025327317)	('>1k', 0.17709030647866644)	('>5k', 0.02841414240532843)	('>10k+', 0.1496001014696662)
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R2_unpaired	(1.0, 96.30972688129306)	(2.0, 0.5518158622782343)	(3.0, 0.10608127164012039)	(4.0, 0.045924106402453826)	(5.0, 0.02473035876025204)	(6.0, 0.013079298989654119)	(7.0, 0.022232542400190694)	(8.0, 0.027711642102367207)	(9.0, 0.018482415746188488)	('>10', 0.08610988895570872)	('>50', 0.04853202336578951)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 2.745573708066009)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R1_paired	(1.0, 86.96007759319968)	(2.0, 6.801056917871508)	(3.0, 1.0055074067284493)	(4.0, 0.44252827785868226)	(5.0, 0.31879349946965535)	(6.0, 0.23494601523385594)	(7.0, 0.19603684966612503)	(8.0, 0.14708906077980333)	(9.0, 0.12112388210136867)	('>10', 1.709013388388049)	('>50', 1.068751712952252)	('>100', 0.6683602210167413)	('>500', 0.19080531314961724)	('>1k', 0.09861049632468849)	('>5k', 0.02498345720637096)	('>10k+', 0.012315908053119095)
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R1_unpaired	(1.0, 95.71241600292613)	(2.0, 1.4424449629594063)	(3.0, 0.5555114501721777)	(4.0, 0.264964187013796)	(5.0, 0.14609303363723808)	(6.0, 0.08085588141185374)	(7.0, 0.048956402354643005)	(8.0, 0.032623045784175575)	(9.0, 0.02711359669693997)	('>10', 0.08426044576294649)	('>50', 0.045251144832305475)	('>100', 0.14869212761765166)	('>500', 0.07455042352242897)	('>1k', 0.9220710277774109)	('>5k', 0.41419626753086364)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R2_paired	(1.0, 86.44714462205005)	(2.0, 7.0715788555993715)	(3.0, 1.0577911370466768)	(4.0, 0.4867277356963741)	(5.0, 0.3372598795090239)	(6.0, 0.2625339124897483)	(7.0, 0.19873044061695977)	(8.0, 0.1398688441756765)	(9.0, 0.11793876171502532)	('>10', 1.6671041804035083)	('>50', 1.0572484949993517)	('>100', 0.6698363645676673)	('>500', 0.19674988447452207)	('>1k', 0.09676773086576143)	('>5k', 0.030538517479226566)	('>10k+', 0.1621806383111049)
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R2_unpaired	(1.0, 95.68354582877897)	(2.0, 0.477560593956208)	(3.0, 0.08324658157004881)	(4.0, 0.0558029248303806)	(5.0, 0.023928285860023542)	(6.0, 0.016811069409594186)	(7.0, 0.018995493472808964)	(8.0, 0.01860393615489645)	(9.0, 0.014746365021183419)	('>10', 0.0992603180280049)	('>50', 0.04050671297359003)	('>100', 0.04369621793214042)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 3.42329567201214)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_paired	(1.0, 86.49552183418014)	(2.0, 6.981249023056031)	(3.0, 1.0843041167976237)	(4.0, 0.5193982378286215)	(5.0, 0.34973652908157793)	(6.0, 0.24191573461800397)	(7.0, 0.18501044788154994)	(8.0, 0.15407103453738982)	(9.0, 0.12410740390435175)	('>10', 1.8600805862533019)	('>50', 1.049082153601468)	('>100', 0.617281589820066)	('>500', 0.16530411014858057)	('>1k', 0.13142079351915636)	('>5k', 0.027896826388516486)	('>10k+', 0.013619578383666078)
