Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
trimmed_fastp | fastqc_results | Only_MNP_C1_S57_L002_R1_filtered	(50, 30988.0)	(55, 32967.0)	(60, 33601.0)	(65, 35503.0)	(70, 37501.0)	(75, 38954.0)	(80, 39188.0)	(85, 61231.0)	(90, 68994.0)	(95, 72389.0)	(100, 75931.0)	(105, 77294.0)	(110, 77311.0)	(115, 78547.0)	(120, 78773.0)	(125, 81142.0)	(130, 83678.0)	(135, 86769.0)	(140, 89758.0)	(145, 73160.0)	(150, 111536812.0)
trimmed_fastp | fastqc_results | Only_MNP_C1_S57_L002_R2_filtered	(50, 31543.0)	(55, 33572.0)	(60, 34214.0)	(65, 36104.0)	(70, 38096.0)	(75, 39450.0)	(80, 39419.0)	(85, 61385.0)	(90, 68962.0)	(95, 73034.0)	(100, 77789.0)	(105, 78320.0)	(110, 77732.0)	(115, 79136.0)	(120, 79394.0)	(125, 81665.0)	(130, 84387.0)	(135, 88176.0)	(140, 90934.0)	(145, 73160.0)	(150, 111524019.0)
trimmed_fastp | fastqc_results | Only_MNP_C2_S58_L002_R1_filtered	(50, 32494.0)	(55, 34457.0)	(60, 35129.0)	(65, 37183.0)	(70, 39712.0)	(75, 40484.0)	(80, 41284.0)	(85, 63750.0)	(90, 72117.0)	(95, 74779.0)	(100, 79254.0)	(105, 80468.0)	(110, 80733.0)	(115, 80871.0)	(120, 80992.0)	(125, 82689.0)	(130, 85296.0)	(135, 88642.0)	(140, 91789.0)	(145, 75005.0)	(150, 119022113.0)
trimmed_fastp | fastqc_results | Only_MNP_C2_S58_L002_R2_filtered	(50, 33156.0)	(55, 35232.0)	(60, 35947.0)	(65, 37989.0)	(70, 40360.0)	(75, 41216.0)	(80, 41730.0)	(85, 64049.0)	(90, 72186.0)	(95, 75739.0)	(100, 81184.0)	(105, 81614.0)	(110, 81282.0)	(115, 81568.0)	(120, 81752.0)	(125, 83360.0)	(130, 86279.0)	(135, 90055.0)	(140, 93079.0)	(145, 75005.0)	(150, 119006459.0)
trimmed_fastp | fastqc_results | Only_MNP_C3_S59_L002_R1_filtered	(50, 34910.0)	(55, 36447.0)	(60, 37894.0)	(65, 39363.0)	(70, 41698.0)	(75, 42888.0)	(80, 43389.0)	(85, 68799.0)	(90, 77204.0)	(95, 80785.0)	(100, 85258.0)	(105, 86803.0)	(110, 87225.0)	(115, 88123.0)	(120, 88215.0)	(125, 90402.0)	(130, 92851.0)	(135, 97284.0)	(140, 99567.0)	(145, 82831.0)	(150, 120768408.0)
trimmed_fastp | fastqc_results | Only_MNP_C3_S59_L002_R2_filtered	(50, 35481.0)	(55, 37053.0)	(60, 38425.0)	(65, 39926.0)	(70, 42288.0)	(75, 43428.0)	(80, 43640.0)	(85, 68795.0)	(90, 77205.0)	(95, 81243.0)	(100, 86795.0)	(105, 87943.0)	(110, 87678.0)	(115, 88624.0)	(120, 88571.0)	(125, 90918.0)	(130, 93501.0)	(135, 98505.0)	(140, 100482.0)	(145, 82831.0)	(150, 120757012.0)
trimmed_fastp | fastqc_results | Only_MNP_C4_S60_L002_R1_filtered	(50, 29280.0)	(55, 30524.0)	(60, 31614.0)	(65, 33583.0)	(70, 35398.0)	(75, 36697.0)	(80, 37307.0)	(85, 60641.0)	(90, 68414.0)	(95, 72734.0)	(100, 76124.0)	(105, 77862.0)	(110, 78210.0)	(115, 78580.0)	(120, 79948.0)	(125, 81565.0)	(130, 84885.0)	(135, 89507.0)	(140, 94106.0)	(145, 79224.0)	(150, 118889110.0)
trimmed_fastp | fastqc_results | Only_MNP_C4_S60_L002_R2_filtered	(50, 29968.0)	(55, 31243.0)	(60, 32263.0)	(65, 34324.0)	(70, 36144.0)	(75, 37211.0)	(80, 37566.0)	(85, 60802.0)	(90, 68634.0)	(95, 73741.0)	(100, 77967.0)	(105, 78909.0)	(110, 78813.0)	(115, 79253.0)	(120, 80601.0)	(125, 82186.0)	(130, 85864.0)	(135, 91189.0)	(140, 95467.0)	(145, 79224.0)	(150, 118873944.0)
trimmed_fastp | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_filtered	(50, 32190.0)	(55, 33585.0)	(60, 35201.0)	(65, 36474.0)	(70, 38382.0)	(75, 39580.0)	(80, 40321.0)	(85, 65875.0)	(90, 74486.0)	(95, 78207.0)	(100, 81396.0)	(105, 83078.0)	(110, 83425.0)	(115, 83582.0)	(120, 84755.0)	(125, 86110.0)	(130, 88023.0)	(135, 91506.0)	(140, 94465.0)	(145, 77243.0)	(150, 122685778.0)
trimmed_fastp | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_filtered	(50, 32921.0)	(55, 34371.0)	(60, 35870.0)	(65, 37293.0)	(70, 39091.0)	(75, 40279.0)	(80, 40691.0)	(85, 66116.0)	(90, 74669.0)	(95, 79025.0)	(100, 83368.0)	(105, 84434.0)	(110, 84085.0)	(115, 84187.0)	(120, 85401.0)	(125, 86713.0)	(130, 89089.0)	(135, 93169.0)	(140, 95878.0)	(145, 77243.0)	(150, 122669769.0)
