Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R2_unpaired	(50, 6595.0)	(55, 6064.0)	(60, 5435.0)	(65, 5009.0)	(70, 4415.0)	(75, 4059.0)	(80, 3801.0)	(85, 3467.0)	(90, 3452.0)	(95, 3185.0)	(100, 3080.0)	(105, 2905.0)	(110, 2778.0)	(115, 2627.0)	(120, 2598.0)	(125, 2454.0)	(130, 2462.0)	(135, 2402.0)	(140, 2321.0)	(145, 6724.0)	(150, 224134.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R1_paired	(50, 57823.0)	(55, 64083.0)	(60, 70140.0)	(65, 74798.0)	(70, 77668.0)	(75, 80183.0)	(80, 84859.0)	(85, 86940.0)	(90, 89672.0)	(95, 91531.0)	(100, 95369.0)	(105, 96397.0)	(110, 98265.0)	(115, 104903.0)	(120, 104185.0)	(125, 102861.0)	(130, 101963.0)	(135, 105503.0)	(140, 107522.0)	(145, 330967.0)	(150, 120193125.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R1_unpaired	(50, 13837.0)	(55, 13251.0)	(60, 12589.0)	(65, 11450.0)	(70, 10611.0)	(75, 9775.0)	(80, 9343.0)	(85, 8803.0)	(90, 8408.0)	(95, 8102.0)	(100, 7938.0)	(105, 7723.0)	(110, 7536.0)	(115, 7715.0)	(120, 7488.0)	(125, 7129.0)	(130, 6502.0)	(135, 6707.0)	(140, 6578.0)	(145, 19928.0)	(150, 931130.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R2_paired	(50, 77632.0)	(55, 81930.0)	(60, 86030.0)	(65, 91737.0)	(70, 95751.0)	(75, 100081.0)	(80, 103411.0)	(85, 107589.0)	(90, 113523.0)	(95, 116939.0)	(100, 119270.0)	(105, 122901.0)	(110, 127859.0)	(115, 130383.0)	(120, 132621.0)	(125, 135700.0)	(130, 140008.0)	(135, 140947.0)	(140, 146230.0)	(145, 421826.0)	(150, 119626389.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R2_unpaired	(50, 6929.0)	(55, 5984.0)	(60, 5433.0)	(65, 4950.0)	(70, 4508.0)	(75, 4082.0)	(80, 3715.0)	(85, 3613.0)	(90, 3365.0)	(95, 3150.0)	(100, 3036.0)	(105, 2960.0)	(110, 2855.0)	(115, 2686.0)	(120, 2590.0)	(125, 2499.0)	(130, 2450.0)	(135, 2336.0)	(140, 2239.0)	(145, 6637.0)	(150, 221208.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R1_paired	(50, 57336.0)	(55, 64100.0)	(60, 69232.0)	(65, 72531.0)	(70, 75237.0)	(75, 77082.0)	(80, 81719.0)	(85, 83144.0)	(90, 85664.0)	(95, 88010.0)	(100, 90221.0)	(105, 91787.0)	(110, 94693.0)	(115, 100665.0)	(120, 100437.0)	(125, 98338.0)	(130, 98624.0)	(135, 101536.0)	(140, 104150.0)	(145, 327089.0)	(150, 118201741.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R1_unpaired	(50, 14511.0)	(55, 13832.0)	(60, 13014.0)	(65, 12201.0)	(70, 11157.0)	(75, 10191.0)	(80, 10085.0)	(85, 9354.0)	(90, 8908.0)	(95, 8572.0)	(100, 8468.0)	(105, 8176.0)	(110, 8018.0)	(115, 8045.0)	(120, 7607.0)	(125, 7279.0)	(130, 7133.0)	(135, 6960.0)	(140, 6928.0)	(145, 20656.0)	(150, 1010972.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R2_paired	(50, 75219.0)	(55, 77957.0)	(60, 80672.0)	(65, 86192.0)	(70, 89518.0)	(75, 93464.0)	(80, 96329.0)	(85, 99178.0)	(90, 104202.0)	(95, 106996.0)	(100, 110288.0)	(105, 113774.0)	(110, 118322.0)	(115, 120849.0)	(120, 122299.0)	(125, 125529.0)	(130, 129564.0)	(135, 129602.0)	(140, 135335.0)	(145, 401716.0)	(150, 117746331.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R2_unpaired	(50, 6804.0)	(55, 6251.0)	(60, 5468.0)	(65, 5040.0)	(70, 4564.0)	(75, 4250.0)	(80, 3956.0)	(85, 3503.0)	(90, 3420.0)	(95, 3315.0)	(100, 3072.0)	(105, 3074.0)	(110, 2996.0)	(115, 2758.0)	(120, 2741.0)	(125, 2625.0)	(130, 2460.0)	(135, 2395.0)	(140, 2455.0)	(145, 7101.0)	(150, 233243.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_paired	(50, 59550.0)	(55, 66337.0)	(60, 72416.0)	(65, 75634.0)	(70, 79229.0)	(75, 81282.0)	(80, 86051.0)	(85, 87563.0)	(90, 90589.0)	(95, 92422.0)	(100, 95120.0)	(105, 96531.0)	(110, 99321.0)	(115, 105147.0)	(120, 105029.0)	(125, 102533.0)	(130, 101926.0)	(135, 106292.0)	(140, 108113.0)	(145, 332372.0)	(150, 122041070.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_unpaired	(50, 13939.0)	(55, 13708.0)	(60, 12534.0)	(65, 11925.0)	(70, 10833.0)	(75, 10163.0)	(80, 9464.0)	(85, 9108.0)	(90, 8616.0)	(95, 8410.0)	(100, 8236.0)	(105, 7964.0)	(110, 7781.0)	(115, 7849.0)	(120, 7567.0)	(125, 7218.0)	(130, 6890.0)	(135, 6813.0)	(140, 6907.0)	(145, 20161.0)	(150, 1088828.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_paired	(50, 80499.0)	(55, 84572.0)	(60, 88286.0)	(65, 94345.0)	(70, 98256.0)	(75, 102842.0)	(80, 105124.0)	(85, 109279.0)	(90, 114382.0)	(95, 117631.0)	(100, 121324.0)	(105, 124891.0)	(110, 129785.0)	(115, 131656.0)	(120, 134575.0)	(125, 137728.0)	(130, 140646.0)	(135, 140572.0)	(140, 146597.0)	(145, 420739.0)	(150, 121460798.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_unpaired	(50, 6931.0)	(55, 6431.0)	(60, 5355.0)	(65, 5026.0)	(70, 4612.0)	(75, 4169.0)	(80, 3907.0)	(85, 3569.0)	(90, 3442.0)	(95, 3275.0)	(100, 3004.0)	(105, 3091.0)	(110, 2935.0)	(115, 2799.0)	(120, 2634.0)	(125, 2688.0)	(130, 2563.0)	(135, 2449.0)	(140, 2471.0)	(145, 6965.0)	(150, 239080.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_paired	(50, 56221.0)	(55, 63087.0)	(60, 68378.0)	(65, 71708.0)	(70, 74900.0)	(75, 76204.0)	(80, 81194.0)	(85, 83187.0)	(90, 85659.0)	(95, 87244.0)	(100, 90325.0)	(105, 91592.0)	(110, 94599.0)	(115, 100461.0)	(120, 100241.0)	(125, 98311.0)	(130, 97963.0)	(135, 101901.0)	(140, 104195.0)	(145, 327474.0)	(150, 120496863.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_unpaired	(50, 14441.0)	(55, 13907.0)	(60, 12897.0)	(65, 12066.0)	(70, 11237.0)	(75, 10465.0)	(80, 9855.0)	(85, 9510.0)	(90, 9193.0)	(95, 8730.0)	(100, 8481.0)	(105, 8304.0)	(110, 8251.0)	(115, 8222.0)	(120, 7939.0)	(125, 7517.0)	(130, 6954.0)	(135, 7096.0)	(140, 6970.0)	(145, 21312.0)	(150, 1067191.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_paired	(50, 76185.0)	(55, 79479.0)	(60, 83081.0)	(65, 87699.0)	(70, 90003.0)	(75, 94591.0)	(80, 97380.0)	(85, 100247.0)	(90, 105749.0)	(95, 108903.0)	(100, 112262.0)	(105, 114802.0)	(110, 119949.0)	(115, 122401.0)	(120, 125526.0)	(125, 127885.0)	(130, 132100.0)	(135, 132112.0)	(140, 137785.0)	(145, 412906.0)	(150, 119990662.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_unpaired	(50, 6629.0)	(55, 5859.0)	(60, 5270.0)	(65, 4751.0)	(70, 4441.0)	(75, 4089.0)	(80, 3810.0)	(85, 3434.0)	(90, 3385.0)	(95, 3117.0)	(100, 3136.0)	(105, 2988.0)	(110, 2853.0)	(115, 2679.0)	(120, 2575.0)	(125, 2567.0)	(130, 2517.0)	(135, 2346.0)	(140, 2278.0)	(145, 6862.0)	(150, 222521.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_paired	(50, 56127.0)	(55, 62974.0)	(60, 68371.0)	(65, 73060.0)	(70, 75678.0)	(75, 78754.0)	(80, 83343.0)	(85, 85086.0)	(90, 87713.0)	(95, 89604.0)	(100, 91437.0)	(105, 92701.0)	(110, 95868.0)	(115, 101306.0)	(120, 100474.0)	(125, 99025.0)	(130, 97987.0)	(135, 101578.0)	(140, 103244.0)	(145, 309224.0)	(150, 107753816.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_unpaired	(50, 13914.0)	(55, 13393.0)	(60, 12596.0)	(65, 11271.0)	(70, 10457.0)	(75, 9618.0)	(80, 9040.0)	(85, 8266.0)	(90, 8122.0)	(95, 7815.0)	(100, 7556.0)	(105, 7345.0)	(110, 7224.0)	(115, 7303.0)	(120, 6874.0)	(125, 6700.0)	(130, 6297.0)	(135, 6337.0)	(140, 6112.0)	(145, 17807.0)	(150, 937642.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_paired	(50, 74238.0)	(55, 78693.0)	(60, 82556.0)	(65, 88485.0)	(70, 92153.0)	(75, 97253.0)	(80, 99947.0)	(85, 104189.0)	(90, 108383.0)	(95, 111478.0)	(100, 114771.0)	(105, 119015.0)	(110, 122646.0)	(115, 124874.0)	(120, 126139.0)	(125, 129036.0)	(130, 132137.0)	(135, 132257.0)	(140, 137336.0)	(145, 388455.0)	(150, 107243329.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_unpaired	(50, 7000.0)	(55, 6153.0)	(60, 5439.0)	(65, 4956.0)	(70, 4482.0)	(75, 4129.0)	(80, 3816.0)	(85, 3521.0)	(90, 3362.0)	(95, 3167.0)	(100, 2956.0)	(105, 2914.0)	(110, 2706.0)	(115, 2639.0)	(120, 2584.0)	(125, 2451.0)	(130, 2487.0)	(135, 2332.0)	(140, 2257.0)	(145, 6546.0)	(150, 214605.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_paired	(50, 58356.0)	(55, 64720.0)	(60, 70453.0)	(65, 74023.0)	(70, 76927.0)	(75, 79025.0)	(80, 83733.0)	(85, 85613.0)	(90, 87313.0)	(95, 90235.0)	(100, 91800.0)	(105, 93962.0)	(110, 97016.0)	(115, 102179.0)	(120, 101781.0)	(125, 99493.0)	(130, 99959.0)	(135, 103500.0)	(140, 105401.0)	(145, 327769.0)	(150, 117350141.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_unpaired	(50, 14466.0)	(55, 13878.0)	(60, 13099.0)	(65, 11937.0)	(70, 11130.0)	(75, 10030.0)	(80, 9814.0)	(85, 9078.0)	(90, 8730.0)	(95, 8375.0)	(100, 8206.0)	(105, 7940.0)	(110, 7785.0)	(115, 7851.0)	(120, 7665.0)	(125, 7204.0)	(130, 6870.0)	(135, 7002.0)	(140, 6984.0)	(145, 21006.0)	(150, 985019.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_paired	(50, 76539.0)	(55, 80181.0)	(60, 83698.0)	(65, 88934.0)	(70, 92423.0)	(75, 96722.0)	(80, 99628.0)	(85, 102856.0)	(90, 107681.0)	(95, 110631.0)	(100, 113901.0)	(105, 117247.0)	(110, 122596.0)	(115, 124548.0)	(120, 127700.0)	(125, 129577.0)	(130, 133929.0)	(135, 135131.0)	(140, 140644.0)	(145, 409351.0)	(150, 116849482.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_unpaired	(50, 7028.0)	(55, 6441.0)	(60, 5578.0)	(65, 5112.0)	(70, 4685.0)	(75, 4241.0)	(80, 3961.0)	(85, 3701.0)	(90, 3556.0)	(95, 3234.0)	(100, 3224.0)	(105, 3125.0)	(110, 2922.0)	(115, 2878.0)	(120, 2755.0)	(125, 2649.0)	(130, 2630.0)	(135, 2390.0)	(140, 2408.0)	(145, 7163.0)	(150, 232275.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R1_paired	(50, 74363.0)	(55, 82445.0)	(60, 90347.0)	(65, 95369.0)	(70, 98582.0)	(75, 101908.0)	(80, 107582.0)	(85, 110873.0)	(90, 113112.0)	(95, 115789.0)	(100, 119413.0)	(105, 121332.0)	(110, 125147.0)	(115, 132155.0)	(120, 131935.0)	(125, 129120.0)	(130, 128779.0)	(135, 133475.0)	(140, 135865.0)	(145, 420545.0)	(150, 153408401.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R1_unpaired	(50, 17265.0)	(55, 16700.0)	(60, 15390.0)	(65, 14518.0)	(70, 13368.0)	(75, 12230.0)	(80, 11533.0)	(85, 10881.0)	(90, 10389.0)	(95, 10016.0)	(100, 9775.0)	(105, 9612.0)	(110, 9237.0)	(115, 9453.0)	(120, 9004.0)	(125, 8576.0)	(130, 8187.0)	(135, 8272.0)	(140, 8051.0)	(145, 24079.0)	(150, 1369955.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_paired	(50, 102222.0)	(55, 106880.0)	(60, 111170.0)	(65, 118362.0)	(70, 122334.0)	(75, 128055.0)	(80, 131341.0)	(85, 136594.0)	(90, 143350.0)	(95, 145962.0)	(100, 149998.0)	(105, 154578.0)	(110, 160220.0)	(115, 162845.0)	(120, 165456.0)	(125, 168190.0)	(130, 172308.0)	(135, 172309.0)	(140, 179640.0)	(145, 518080.0)	(150, 152726643.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_unpaired	(50, 8481.0)	(55, 7561.0)	(60, 6906.0)	(65, 6255.0)	(70, 5700.0)	(75, 5331.0)	(80, 4893.0)	(85, 4449.0)	(90, 4408.0)	(95, 4116.0)	(100, 3979.0)	(105, 3720.0)	(110, 3686.0)	(115, 3402.0)	(120, 3382.0)	(125, 3161.0)	(130, 3042.0)	(135, 2853.0)	(140, 3002.0)	(145, 8624.0)	(150, 295030.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R1_paired	(50, 68868.0)	(55, 75779.0)	(60, 83729.0)	(65, 87914.0)	(70, 91392.0)	(75, 94813.0)	(80, 100116.0)	(85, 102117.0)	(90, 105051.0)	(95, 107476.0)	(100, 111284.0)	(105, 113003.0)	(110, 116396.0)	(115, 123650.0)	(120, 122229.0)	(125, 120468.0)	(130, 120118.0)	(135, 124014.0)	(140, 125906.0)	(145, 389239.0)	(150, 140757134.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R1_unpaired	(50, 16728.0)	(55, 15862.0)	(60, 15260.0)	(65, 14191.0)	(70, 12924.0)	(75, 11946.0)	(80, 11314.0)	(85, 10778.0)	(90, 9981.0)	(95, 9801.0)	(100, 9706.0)	(105, 9477.0)	(110, 9196.0)	(115, 9483.0)	(120, 8816.0)	(125, 8480.0)	(130, 8049.0)	(135, 8106.0)	(140, 8078.0)	(145, 23699.0)	(150, 1183212.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_paired	(50, 93158.0)	(55, 97196.0)	(60, 101895.0)	(65, 108183.0)	(70, 112903.0)	(75, 118054.0)	(80, 121626.0)	(85, 126115.0)	(90, 133027.0)	(95, 136143.0)	(100, 140995.0)	(105, 144542.0)	(110, 150282.0)	(115, 153881.0)	(120, 156194.0)	(125, 159425.0)	(130, 164139.0)	(135, 164876.0)	(140, 171278.0)	(145, 498878.0)	(150, 140087906.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_unpaired	(50, 7945.0)	(55, 7033.0)	(60, 6408.0)	(65, 5811.0)	(70, 5241.0)	(75, 4828.0)	(80, 4521.0)	(85, 4254.0)	(90, 4080.0)	(95, 3770.0)	(100, 3674.0)	(105, 3507.0)	(110, 3450.0)	(115, 3205.0)	(120, 3153.0)	(125, 3058.0)	(130, 3055.0)	(135, 2799.0)	(140, 2892.0)	(145, 7974.0)	(150, 266086.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_paired	(50, 88205.0)	(55, 97480.0)	(60, 106680.0)	(65, 111734.0)	(70, 115349.0)	(75, 119104.0)	(80, 125138.0)	(85, 128057.0)	(90, 130547.0)	(95, 133756.0)	(100, 137759.0)	(105, 139128.0)	(110, 143894.0)	(115, 151570.0)	(120, 150249.0)	(125, 147611.0)	(130, 145497.0)	(135, 151344.0)	(140, 154180.0)	(145, 481938.0)	(150, 173455559.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_unpaired	(50, 21445.0)	(55, 20357.0)	(60, 19138.0)	(65, 17531.0)	(70, 16120.0)	(75, 14805.0)	(80, 13667.0)	(85, 13292.0)	(90, 12516.0)	(95, 11766.0)	(100, 11640.0)	(105, 11057.0)	(110, 11047.0)	(115, 11020.0)	(120, 10557.0)	(125, 9907.0)	(130, 9338.0)	(135, 9460.0)	(140, 9309.0)	(145, 27270.0)	(150, 1320662.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_paired	(50, 110572.0)	(55, 118238.0)	(60, 123181.0)	(65, 132728.0)	(70, 139780.0)	(75, 146625.0)	(80, 151356.0)	(85, 157890.0)	(90, 165930.0)	(95, 170339.0)	(100, 175329.0)	(105, 180636.0)	(110, 187274.0)	(115, 191330.0)	(120, 195434.0)	(125, 198457.0)	(130, 205275.0)	(135, 206355.0)	(140, 214002.0)	(145, 610687.0)	(150, 172633361.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_unpaired	(50, 10984.0)	(55, 9966.0)	(60, 8744.0)	(65, 8005.0)	(70, 7200.0)	(75, 6610.0)	(80, 5953.0)	(85, 5409.0)	(90, 5257.0)	(95, 4999.0)	(100, 4843.0)	(105, 4564.0)	(110, 4397.0)	(115, 4210.0)	(120, 4085.0)	(125, 3907.0)	(130, 3869.0)	(135, 3654.0)	(140, 3672.0)	(145, 10479.0)	(150, 351598.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R1_paired	(50, 78185.0)	(55, 87199.0)	(60, 95030.0)	(65, 100277.0)	(70, 103751.0)	(75, 107216.0)	(80, 113279.0)	(85, 115978.0)	(90, 118925.0)	(95, 121869.0)	(100, 125433.0)	(105, 127045.0)	(110, 130744.0)	(115, 138455.0)	(120, 137571.0)	(125, 135315.0)	(130, 134841.0)	(135, 140515.0)	(140, 142913.0)	(145, 448250.0)	(150, 158622605.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R1_unpaired	(50, 22238.0)	(55, 21001.0)	(60, 19616.0)	(65, 17967.0)	(70, 16643.0)	(75, 14992.0)	(80, 14426.0)	(85, 13404.0)	(90, 12746.0)	(95, 12420.0)	(100, 12325.0)	(105, 11614.0)	(110, 11572.0)	(115, 11627.0)	(120, 11076.0)	(125, 10540.0)	(130, 9963.0)	(135, 9984.0)	(140, 9989.0)	(145, 30506.0)	(150, 1601287.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_paired	(50, 106073.0)	(55, 110698.0)	(60, 115461.0)	(65, 123142.0)	(70, 127992.0)	(75, 134061.0)	(80, 137602.0)	(85, 141776.0)	(90, 149669.0)	(95, 152024.0)	(100, 157372.0)	(105, 162005.0)	(110, 167807.0)	(115, 171316.0)	(120, 175343.0)	(125, 177435.0)	(130, 184155.0)	(135, 183724.0)	(140, 191306.0)	(145, 562508.0)	(150, 157893927.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_unpaired	(50, 10527.0)	(55, 9176.0)	(60, 8071.0)	(65, 7203.0)	(70, 6588.0)	(75, 5941.0)	(80, 5473.0)	(85, 5055.0)	(90, 4794.0)	(95, 4516.0)	(100, 4468.0)	(105, 4274.0)	(110, 4214.0)	(115, 3871.0)	(120, 3826.0)	(125, 3693.0)	(130, 3535.0)	(135, 3443.0)	(140, 3458.0)	(145, 9720.0)	(150, 317704.0)
